Fitness,Migration Rate,2L2T - Persistence
0.6,0.02,0.1049
0.6,0.025,0.00850744
0.6,0.03,0.000142119
0.6,0.035,0
0.6,0.04,0
0.6,0.045,0
0.6,0.05,0
0.6,0.055,0
0.6,0.06,0
0.6,0.065,0
0.6,0.07,0
0.6,0.075,0
0.6,0.08,0
0.6,0.085,0
0.6,0.09,0
0.6,0.095,0
0.6,0.1,0
0.62,0.02,0.1366362
0.62,0.025,0.028946901
0.62,0.03,0.000408224
0.62,0.035,0
0.62,0.04,0
0.62,0.045,0
0.62,0.05,0
0.62,0.055,0
0.62,0.06,0
0.62,0.065,0
0.62,0.07,0
0.62,0.075,0
0.62,0.08,0
0.62,0.085,0
0.62,0.09,0
0.62,0.095,0
0.62,0.1,0
0.64,0.02,0.1873891
0.64,0.025,0.050215
0.64,0.03,0.000767055
0.64,0.035,0
0.64,0.04,0
0.64,0.045,0
0.64,0.05,0
0.64,0.055,0
0.64,0.06,0
0.64,0.065,0
0.64,0.07,0
0.64,0.075,0
0.64,0.08,0
0.64,0.085,0
0.64,0.09,0
0.64,0.095,0
0.64,0.1,0
0.66,0.02,0.2494352
0.66,0.025,0.08936637
0.66,0.03,0.008298947
0.66,0.035,0
0.66,0.04,0
0.66,0.045,0
0.66,0.05,0
0.66,0.055,0
0.66,0.06,0
0.66,0.065,0
0.66,0.07,0
0.66,0.075,0
0.66,0.08,0
0.66,0.085,0
0.66,0.09,0
0.66,0.095,0
0.66,0.1,0
0.68,0.02,0.2898884
0.68,0.025,0.13161193
0.68,0.03,0.026134271
0.68,0.035,0.000143264
0.68,0.04,0
0.68,0.045,0
0.68,0.05,0
0.68,0.055,0
0.68,0.06,0
0.68,0.065,0
0.68,0.07,0
0.68,0.075,0
0.68,0.08,0
0.68,0.085,0
0.68,0.09,0
0.68,0.095,0
0.68,0.1,0
0.7,0.02,0.3624417
0.7,0.025,0.2058005
0.7,0.03,0.060930278
0.7,0.035,0.002358407
0.7,0.04,2.35E-05
0.7,0.045,0
0.7,0.05,0
0.7,0.055,0
0.7,0.06,0
0.7,0.065,0
0.7,0.07,0
0.7,0.075,0
0.7,0.08,0
0.7,0.085,0
0.7,0.09,0
0.7,0.095,0
0.7,0.1,0
0.72,0.02,0.4430989
0.72,0.025,0.2548887
0.72,0.03,0.11641839
0.72,0.035,0.011655437
0.72,0.04,7.27E-05
0.72,0.045,0
0.72,0.05,0
0.72,0.055,0
0.72,0.06,0
0.72,0.065,0
0.72,0.07,0
0.72,0.075,0
0.72,0.08,0
0.72,0.085,0
0.72,0.09,0
0.72,0.095,0
0.72,0.1,0
0.74,0.02,0.4716654
0.74,0.025,0.3616919
0.74,0.03,0.1950364
0.74,0.035,0.051474365
0.74,0.04,0.000353249
0.74,0.045,4.76E-05
0.74,0.05,0
0.74,0.055,0
0.74,0.06,0
0.74,0.065,0
0.74,0.07,0
0.74,0.075,0
0.74,0.08,0
0.74,0.085,0
0.74,0.09,0
0.74,0.095,0
0.74,0.1,0
0.76,0.02,0.5740944
0.76,0.025,0.4204012
0.76,0.03,0.2802602
0.76,0.035,0.10453854
0.76,0.04,0.008488849
0.76,0.045,0.000326276
0.76,0.05,2.41E-05
0.76,0.055,0
0.76,0.06,0
0.76,0.065,0
0.76,0.07,0
0.76,0.075,0
0.76,0.08,0
0.76,0.085,0
0.76,0.09,0
0.76,0.095,0
0.76,0.1,0
0.78,0.02,0.6544011
0.78,0.025,0.4917829
0.78,0.03,0.3510168
0.78,0.035,0.1929835
0.78,0.04,0.028035953
0.78,0.045,0.000791179
0.78,0.05,2.37E-05
0.78,0.055,0
0.78,0.06,0
0.78,0.065,0
