Fitness,Migration Rate,Normal Allele - Persistance
0.6,0.02,0.000967806
0.6,0.025,0.000665644
0.6,0.03,0.000396366
0.6,0.035,0.000291621
0.6,0.04,0.000400549
0.6,0.045,0.000164562
0.6,0.05,4.75E-05
0.6,0.055,7.27E-05
0.6,0.06,2.43E-05
0.6,0.065,0.000137512
0.6,0.07,0.000258652
0.6,0.075,0.000116479
0.6,0.08,7.01E-05
0.6,0.085,0.000191313
0.6,0.09,2.27E-05
0.6,0.095,0
0.6,0.1,0
0.62,0.02,0.002159362
0.62,0.025,0.001942932
0.62,0.03,0.001229039
0.62,0.035,0.000600654
0.62,0.04,0.00032645
0.62,0.045,0.000167084
0.62,0.05,0.000413158
0.62,0.055,0.00023736
0.62,0.06,0.000144491
0.62,0.065,0.000191998
0.62,0.07,0.000369733
0.62,0.075,0.000380652
0.62,0.08,4.74E-05
0.62,0.085,9.48E-05
0.62,0.09,2.30E-05
0.62,0.095,0.000189584
0.62,0.1,0.000116638
0.64,0.02,0.003631376
0.64,0.025,0.001753926
0.64,0.03,0.000852264
0.64,0.035,0.001251683
0.64,0.04,0.000400755
0.64,0.045,0.000365452
0.64,0.05,0.000400943
0.64,0.055,0.000565816
0.64,0.06,0.000277342
0.64,0.065,0.000327446
0.64,0.07,0.000327891
0.64,0.075,0.000239345
0.64,0.08,0.000217773
0.64,0.085,0.000403923
0.64,0.09,0.000219813
0.64,0.095,0.000255656
0.64,0.1,0.000164073
0.66,0.02,0.005352925
0.66,0.025,0.002314558
0.66,0.03,0.001382487
0.66,0.035,0.001051985
0.66,0.04,0.001482041
0.66,0.045,0.000918505
0.66,0.05,0.000821506
0.66,0.055,0.000934501
0.66,0.06,0.000399
0.66,0.065,0.000562057
0.66,0.07,0.000520479
0.66,0.075,0.000336182
0.66,0.08,0.000609659
0.66,0.085,0.00016421
0.66,0.09,0.000444011
0.66,0.095,0.000332588
0.66,0.1,0.000312568
0.68,0.02,0.006751916
0.68,0.025,0.003685625
0.68,0.03,0.004748507
0.68,0.035,0.002882738
