Fitness,Migration Rate,Normal Allele - Invasion
0.6,0.02,0.000103881
0.6,0.025,0.000144309
0.6,0.03,4.62E-05
0.6,0.035,0.000162134
0.6,0.04,0.000115781
0.6,0.045,0.000214173
0.6,0.05,5.79E-05
0.6,0.055,5.80E-05
0.6,0.06,0.000120798
0.6,0.065,0.000168382
0.6,0.07,0.000167737
0.6,0.075,6.95E-05
0.6,0.08,0.000133206
0.6,0.085,8.66E-05
0.6,0.09,6.39E-05
0.6,0.095,2.32E-05
0.6,0.1,2.88E-05
0.62,0.02,8.64E-05
0.62,0.025,0.000167888
0.62,0.03,0.000328283
0.62,0.035,0.000265168
0.62,0.04,5.79E-05
0.62,0.045,0.000149657
0.62,0.05,0.000149488
0.62,0.055,6.34E-05
0.62,0.06,0.000150756
0.62,0.065,0.000201155
0.62,0.07,0.000156101
0.62,0.075,0.000196291
0.62,0.08,9.84E-05
0.62,0.085,0.000127227
0.62,0.09,0.00013309
0.62,0.095,0.000149669
0.62,0.1,8.68E-05
0.64,0.02,0.000208782
0.64,0.025,0.000398674
0.64,0.03,0.000213876
0.64,0.035,0.000237865
0.64,0.04,0.000202391
0.64,0.045,0.000189765
0.64,0.05,0.000289332
0.64,0.055,0.000126194
0.64,0.06,0.000116214
0.64,0.065,0.000278144
0.64,0.07,0.000346897
0.64,0.075,0.000265235
0.64,0.08,0.000271469
0.64,0.085,0.000272777
0.64,0.09,0.000207556
0.64,0.095,0.000127429
0.64,0.1,0.000115772
0.66,0.02,0.000242924
0.66,0.025,0.000381017
0.66,0.03,0.000225586
0.66,0.035,0.000433122
0.66,0.04,0.000341295
0.66,0.045,0.000473024
0.66,0.05,0.000377375
0.66,0.055,0.000370099
0.66,0.06,0.000376492
0.66,0.065,0.000365013
0.66,0.07,0.000300788
0.66,0.075,0.0003982
0.66,0.08,0.000289868
0.66,0.085,0.00025474
0.66,0.09,0.000249677
0.66,0.095,0.000179157
0.66,0.1,0.000364731
0.68,0.02,0.000585424
0.68,0.025,0.000730054
0.68,0.03,0.000578594
0.68,0.035,0.000810228
0.68,0.04,0.000850797
0.68,0.045,0.000775409
0.68,0.05,0.00054259
0.68,0.055,0.000653709
0.68,0.06,0.000589663
0.68,0.065,0.000559321
0.68,0.07,0.000498133
0.68,0.075,0.000364541
0.68,0.08,0.000566218
