Fitness,Relative Center Density,RCT - Persistance
0.6,1,0
0.6,1.25,0
0.6,1.5,0
0.6,1.75,0
0.6,2,0
0.6,2.25,0
0.6,2.5,0
0.6,2.75,0
0.6,3,0
0.6,3.25,0
0.6,3.5,0
0.6,3.75,0
0.6,4,0
0.6,4.25,0
0.6,4.5,0
0.6,4.75,0
0.6,5,0
0.6,5.25,0
0.6,5.5,0
0.6,5.75,0
0.6,6,0
0.62,1,0
0.62,1.25,0
0.62,1.5,0
0.62,1.75,0
0.62,2,0
0.62,2.25,0
0.62,2.5,0
0.62,2.75,0
0.62,3,0
0.62,3.25,0
0.62,3.5,0
0.62,3.75,0
0.62,4,0
0.62,4.25,0
0.62,4.5,0
0.62,4.75,0
0.62,5,0
0.62,5.25,0
0.62,5.5,0
0.62,5.75,0
0.62,6,0
0.64,1,0
0.64,1.25,0
0.64,1.5,0
0.64,1.75,0
0.64,2,0
0.64,2.25,0
0.64,2.5,0
0.64,2.75,0
0.64,3,0
0.64,3.25,0
0.64,3.5,0
0.64,3.75,0
0.64,4,0
0.64,4.25,0
0.64,4.5,0
0.64,4.75,0
0.64,5,0
0.64,5.25,0
0.64,5.5,0
0.64,5.75,0
0.64,6,0
0.66,1,0
0.66,1.25,0
0.66,1.5,0
0.66,1.75,0
0.66,2,0
0.66,2.25,0
0.66,2.5,0
0.66,2.75,0
0.66,3,0
0.66,3.25,0
0.66,3.5,0
0.66,3.75,0
0.66,4,0
0.66,4.25,0
0.66,4.5,0
0.66,4.75,0
0.66,5,0
0.66,5.25,0
0.66,5.5,0
0.66,5.75,0
0.66,6,0
0.68,1,0
0.68,1.25,0
0.68,1.5,0
0.68,1.75,0
0.68,2,0
0.68,2.25,0
0.68,2.5,0
0.68,2.75,0
0.68,3,0
0.68,3.25,0
0.68,3.5,0
0.68,3.75,0
0.68,4,0
0.68,4.25,0
0.68,4.5,0
0.68,4.75,0
0.68,5,0
0.68,5.25,0
0.68,5.5,0
0.68,5.75,0
0.68,6,0
0.7,1,0
0.7,1.25,0
0.7,1.5,0
0.7,1.75,0
0.7,2,0
0.7,2.25,0
0.7,2.5,0
0.7,2.75,0
0.7,3,0
0.7,3.25,0
0.7,3.5,0
0.7,3.75,0
0.7,4,0
0.7,4.25,0
0.7,4.5,0
0.7,4.75,0
0.7,5,0
0.7,5.25,0
0.7,5.5,0
0.7,5.75,0
0.7,6,0
0.72,1,0
0.72,1.25,0
0.72,1.5,0
0.72,1.75,0
0.72,2,0
0.72,2.25,0
0.72,2.5,0
0.72,2.75,0
0.72,3,0
0.72,3.25,0
0.72,3.5,0
0.72,3.75,0
0.72,4,0
0.72,4.25,0
0.72,4.5,0
0.72,4.75,0
0.72,5,0
0.72,5.25,0
0.72,5.5,0
0.72,5.75,0
0.72,6,0
0.74,1,0
0.74,1.25,0
0.74,1.5,0
0.74,1.75,0
0.74,2,0
0.74,2.25,0
0.74,2.5,0
0.74,2.75,0
0.74,3,0
0.74,3.25,0
0.74,3.5,0
0.74,3.75,0
0.74,4,0
0.74,4.25,0
0.74,4.5,0
0.74,4.75,0
0.74,5,0
0.74,5.25,5.36E-06
0.74,5.5,1.52E-05
0.74,5.75,0.011988583
0.74,6,0.000156297
0.76,1,0
0.76,1.25,0
0.76,1.5,0
0.76,1.75,0
0.76,2,0
0.76,2.25,0
0.76,2.5,0
0.76,2.75,0
0.76,3,0
0.76,3.25,0
0.76,3.5,0
0.76,3.75,0
0.76,4,0
0.76,4.25,0
0.76,4.5,2.49E-05
0.76,4.75,1.18E-05
0.76,5,0.048474611
0.76,5.25,0.06366655
0.76,5.5,0.466004173
0.76,5.75,0.68553201
0.76,6,0.7612426
0.78,1,0
0.78,1.25,0
0.78,1.5,0
0.78,1.75,0
0.78,2,0
0.78,2.25,0
0.78,2.5,0
0.78,2.75,0
0.78,3,8.97E-06
0.78,3.25,0
0.78,3.5,1.56E-05
0.78,3.75,1.47E-05
0.78,4,0
0.78,4.25,0.023831711
0.78,4.5,0.097059402
0.78,4.75,0.58745866
0.78,5,0.654307241
0.78,5.25,0.971548
0.78,5.5,0.9333712
0.78,5.75,0.9780583
0.78,6,0.9839867
0.8,1,0
0.8,1.25,0
0.8,1.5,0
0.8,1.75,0
0.8,2,0
0.8,2.25,0
0.8,2.5,0
0.8,2.75,0
0.8,3,0
0.8,3.25,0
0.8,3.5,1.56E-05
0.8,3.75,0.041710846
0.8,4,0.075250902
0.8,4.25,0.4069033
0.8,4.5,0.8639381
0.8,4.75,0.9647494
0.8,5,0.9780759
0.8,5.25,0.9811631
0.8,5.5,0.98361
0.8,5.75,0.9846605
0.8,6,0.9869584
0.82,1,0
0.82,1.25,0
0.82,1.5,0
0.82,1.75,0
0.82,2,0
0.82,2.25,0
0.82,2.5,2.14E-05
0.82,2.75,9.70E-06
0.82,3,3.59E-05
0.82,3.25,0.00036302
0.82,3.5,0.199529074
0.82,3.75,0.8105253
0.82,4,0.955267
0.82,4.25,0.9679188
0.82,4.5,0.973724
0.82,4.75,0.9796804
0.82,5,0.9835217
0.82,5.25,0.9847595
0.82,5.5,0.9852243
0.82,5.75,0.9877131
0.82,6,0.9890381
0.84,1,0
0.84,1.25,0
0.84,1.5,0
0.84,1.75,0
0.84,2,0
0.84,2.25,0
0.84,2.5,0
0.84,2.75,7.83E-05
0.84,3,0.015697632
0.84,3.25,0.404547006
0.84,3.5,0.8913868
0.84,3.75,0.9511994
0.84,4,0.970888
0.84,4.25,0.9774961
0.84,4.5,0.9800798
0.84,4.75,0.9834895
0.84,5,0.9865235
0.84,5.25,0.9864911
0.84,5.5,0.9881207
0.84,5.75,0.9895051
0.84,6,0.9906833
0.86,1,0
0.86,1.25,0
0.86,1.5,0
0.86,1.75,0
0.86,2,1.33E-05
0.86,2.25,1.18E-05
0.86,2.5,0.000698446
0.86,2.75,0.097083404
0.86,3,0.49560113
0.86,3.25,0.8757816
0.86,3.5,0.9667551
0.86,3.75,0.9731963
0.86,4,0.9782422
0.86,4.25,0.9815896
0.86,4.5,0.9838273
0.86,4.75,0.9861604
0.86,5,0.9873455
0.86,5.25,0.9896504
0.86,5.5,0.9905916
0.86,5.75,0.9911788
0.86,6,0.9927438
0.88,1,0
0.88,1.25,0
0.88,1.5,0
0.88,1.75,0
0.88,2,0
0.88,2.25,0.002203811
0.88,2.5,0.060602445
0.88,2.75,0.5005894
0.88,3,0.9323413
0.88,3.25,0.964488
0.88,3.5,0.9742326
0.88,3.75,0.9782641
0.88,4,0.9819776
0.88,4.25,0.9856071
0.88,4.5,0.9871533
0.88,4.75,0.9874517
0.88,5,0.9895851
0.88,5.25,0.9905006
0.88,5.5,0.9921416
0.88,5.75,0.9925972
0.88,6,0.9934703
0.9,1,0
0.9,1.25,0
0.9,1.5,0
0.9,1.75,0
0.9,2,0.000117847
0.9,2.25,0.073080707
0.9,2.5,0.7046114
0.9,2.75,0.941978
0.9,3,0.9643091
0.9,3.25,0.9716574
0.9,3.5,0.9771454
0.9,3.75,0.9816765
0.9,4,0.9854908
0.9,4.25,0.9874446
0.9,4.5,0.9889349
0.9,4.75,0.9902209
0.9,5,0.9915454
0.9,5.25,0.9929532
0.9,5.5,0.9932363
0.9,5.75,0.9938713
0.9,6,0.994123
0.92,1,0
0.92,1.25,0
0.92,1.5,0
0.92,1.75,0.000161388
0.92,2,0.004868962
0.92,2.25,0.6243784
0.92,2.5,0.9330383
0.92,2.75,0.9625171
0.92,3,0.9724833
0.92,3.25,0.9802189
0.92,3.5,0.9816784
0.92,3.75,0.9847125
0.92,4,0.9874636
0.92,4.25,0.9897369
0.92,4.5,0.9909161
0.92,4.75,0.9914657
0.92,5,0.9927298
0.92,5.25,0.9934062
0.92,5.5,0.9942288
0.92,5.75,0.9949317
0.92,6,0.9954513
0.94,1,0
0.94,1.25,0
0.94,1.5,5.07E-05
0.94,1.75,0.000372828
0.94,2,0.167249614
0.94,2.25,0.8766052
0.94,2.5,0.9536863
0.94,2.75,0.9703197
0.94,3,0.9772271
0.94,3.25,0.9821317
0.94,3.5,0.9867049
0.94,3.75,0.9879856
0.94,4,0.9884362
0.94,4.25,0.9908703
0.94,4.5,0.9923932
0.94,4.75,0.9930578
0.94,5,0.9942932
0.94,5.25,0.9947744
0.94,5.5,0.9954474
0.94,5.75,0.9957319
0.94,6,0.99603
0.96,1,0
0.96,1.25,0
0.96,1.5,8.48E-05
0.96,1.75,0.024582396
0.96,2,0.6853498
0.96,2.25,0.9390054
0.96,2.5,0.9651629
0.96,2.75,0.9753105
0.96,3,0.9820409
0.96,3.25,0.9855993
0.96,3.5,0.9869333
0.96,3.75,0.9900968
0.96,4,0.9915809
0.96,4.25,0.9928094
0.96,4.5,0.9939657
0.96,4.75,0.9939329
0.96,5,0.995514
0.96,5.25,0.9958787
0.96,5.5,0.9959851
0.96,5.75,0.9966989
0.96,6,0.9969366
0.98,1,0
0.98,1.25,0
0.98,1.5,0.001463226
0.98,1.75,0.180764938
0.98,2,0.8980671
0.98,2.25,0.9580618
0.98,2.5,0.9728493
0.98,2.75,0.979749
0.98,3,0.9855823
0.98,3.25,0.9877914
0.98,3.5,0.9890767
0.98,3.75,0.9912271
0.98,4,0.9929941
0.98,4.25,0.9944953
0.98,4.5,0.9948944
0.98,4.75,0.9959391
0.98,5,0.9961859
0.98,5.25,0.9966906
0.98,5.5,0.9967541
0.98,5.75,0.9974461
0.98,6,0.9978363
1,1,0
1,1.25,6.05E-05
1,1.5,0.008490131
1,1.75,0.7917772
1,2,0.9428496
1,2.25,0.9672771
1,2.5,0.9779657
1,2.75,0.9839036
1,3,0.9873227
1,3.25,0.989898
1,3.5,0.991928
1,3.75,0.9933749
1,4,0.993959
1,4.25,0.9951377
1,4.5,0.9958592
1,4.75,0.9964195
1,5,0.9969069
1,5.25,0.9973122
1,5.5,0.9978108
1,5.75,0.9979993
1,6,0.9984085
