Fitness,Relative Center Density,Normal Allele - Persistance
0.6,1,4.67E-05
0.6,1.25,0.000312521
0.6,1.5,0.000305441
0.6,1.75,0.000502708
0.6,2,0.000617621
0.6,2.25,0.00053274
0.6,2.5,0.000645605
0.6,2.75,0.000471101
0.6,3,0.000616814
0.6,3.25,0.00085745
0.6,3.5,0.000605475
0.6,3.75,0.000936977
0.6,4,0.001000073
0.6,4.25,0.000804726
0.6,4.5,0.000916026
0.6,4.75,0.001078785
0.6,5,0.000992195
0.6,5.25,0.00076406
0.6,5.5,0.000909928
0.6,5.75,0.000940167
0.6,6,0.000815117
0.62,1,0.000260198
0.62,1.25,0.000395873
0.62,1.5,0.00064801
0.62,1.75,0.000307023
0.62,2,0.000878322
0.62,2.25,0.000726092
0.62,2.5,0.000720631
0.62,2.75,0.000981006
0.62,3,0.000882006
0.62,3.25,0.00144625
0.62,3.5,0.001095607
0.62,3.75,0.001421548
0.62,4,0.00128143
0.62,4.25,0.00120145
0.62,4.5,0.001323289
0.62,4.75,0.001316175
0.62,5,0.00161827
0.62,5.25,0.001802058
0.62,5.5,0.001845229
0.62,5.75,0.001402935
0.62,6,0.00173294
0.64,1,0.000491022
0.64,1.25,0.000658028
0.64,1.5,0.000461491
0.64,1.75,0.000873263
0.64,2,0.001134654
0.64,2.25,0.001653078
0.64,2.5,0.002124442
0.64,2.75,0.001469365
0.64,3,0.001624894
0.64,3.25,0.002085998
0.64,3.5,0.00205183
0.64,3.75,0.001962585
0.64,4,0.002227559
0.64,4.25,0.001952716
0.64,4.5,0.002166949
0.64,4.75,0.002756069
0.64,5,0.002487304
0.64,5.25,0.002697808
0.64,5.5,0.002904329
0.64,5.75,0.002977216
0.64,6,0.003078672
0.66,1,0.000673945
0.66,1.25,0.001006279
0.66,1.5,0.001158711
0.66,1.75,0.001153341
0.66,2,0.001709428
0.66,2.25,0.001780243
0.66,2.5,0.002495051
0.66,2.75,0.002632055
0.66,3,0.002602222
0.66,3.25,0.003069197
0.66,3.5,0.002917885
0.66,3.75,0.003675041
0.66,4,0.002989736
0.66,4.25,0.003318822
0.66,4.5,0.004054118
0.66,4.75,0.00374378
0.66,5,0.004117185
0.66,5.25,0.004252095
0.66,5.5,0.004768339
0.66,5.75,0.00449534
0.66,6,0.00432448
0.68,1,0.000442856
0.68,1.25,0.001937711
0.68,1.5,0.001669562
0.68,1.75,0.003808044
0.68,2,0.003500031
0.68,2.25,0.003756402
0.68,2.5,0.003544246
0.68,2.75,0.004461023
0.68,3,0.004217842
0.68,3.25,0.005696663
0.68,3.5,0.005381032
0.68,3.75,0.00490694
0.68,4,0.005081721
0.68,4.25,0.005406373
0.68,4.5,0.005711458
0.68,4.75,0.00678168
0.68,5,0.006634427
0.68,5.25,0.006474795
0.68,5.5,0.007011802
0.68,5.75,0.006739075
0.68,6,0.007217028
0.7,1,0.002328145
0.7,1.25,0.001836953
0.7,1.5,0.002407023
0.7,1.75,0.003654674
0.7,2,0.003967015
0.7,2.25,0.004871101
0.7,2.5,0.006297707
0.7,2.75,0.005686394
0.7,3,0.007300825
0.7,3.25,0.008371951
0.7,3.5,0.007959706
0.7,3.75,0.007850432
