Fitness,Relative Center Density,1L1T - Invasion
0.6,1,0
0.6,1.25,0
0.6,1.5,0
0.6,1.75,0
0.6,2,0
0.6,2.25,0
0.6,2.5,0
0.6,2.75,0
0.6,3,0
0.6,3.25,0
0.6,3.5,0
0.6,3.75,0
0.6,4,0
0.6,4.25,0
0.6,4.5,0
0.6,4.75,0
0.6,5,0
0.6,5.25,0
0.6,5.5,0
0.6,5.75,0
0.6,6,0
0.62,1,0
0.62,1.25,0
0.62,1.5,0
0.62,1.75,0
0.62,2,0
0.62,2.25,0
0.62,2.5,0
0.62,2.75,0
0.62,3,0
0.62,3.25,0
0.62,3.5,0
0.62,3.75,0
0.62,4,0
0.62,4.25,0
0.62,4.5,0
0.62,4.75,0
0.62,5,0
0.62,5.25,0
0.62,5.5,0
0.62,5.75,0
0.62,6,0
0.64,1,0
0.64,1.25,0
0.64,1.5,0
0.64,1.75,0
0.64,2,0
0.64,2.25,0
0.64,2.5,0
0.64,2.75,0
0.64,3,0
0.64,3.25,0
0.64,3.5,0
0.64,3.75,0
0.64,4,0
0.64,4.25,0
0.64,4.5,0
0.64,4.75,0
0.64,5,0
0.64,5.25,0
0.64,5.5,0
0.64,5.75,0
0.64,6,0
0.66,1,0
0.66,1.25,0
0.66,1.5,0
0.66,1.75,0
0.66,2,0
0.66,2.25,0
0.66,2.5,0
0.66,2.75,0
0.66,3,0
0.66,3.25,0
0.66,3.5,0
0.66,3.75,0
0.66,4,0
0.66,4.25,0
0.66,4.5,0
0.66,4.75,0
0.66,5,0
0.66,5.25,0
0.66,5.5,0
0.66,5.75,0
0.66,6,0
0.68,1,0
0.68,1.25,0
0.68,1.5,0
0.68,1.75,0
0.68,2,0
0.68,2.25,0
0.68,2.5,0
0.68,2.75,0
0.68,3,0
0.68,3.25,0
0.68,3.5,0
0.68,3.75,0
0.68,4,0
0.68,4.25,0
0.68,4.5,0
0.68,4.75,0
0.68,5,0
0.68,5.25,0
0.68,5.5,0
0.68,5.75,0.03234864
0.68,6,0.044694397
0.7,1,0
0.7,1.25,0
0.7,1.5,0
0.7,1.75,0
0.7,2,0
0.7,2.25,0
0.7,2.5,0
0.7,2.75,0
0.7,3,0
0.7,3.25,0
0.7,3.5,0
0.7,3.75,0
0.7,4,0
0.7,4.25,0
0.7,4.5,8.41E-05
0.7,4.75,6.24E-05
0.7,5,0.052307268
0.7,5.25,0.09871344
0.7,5.5,0.16000651
0.7,5.75,0.19575753
0.7,6,0.2138111
0.72,1,0
0.72,1.25,0
0.72,1.5,0
0.72,1.75,0
0.72,2,0
0.72,2.25,0
0.72,2.5,0
0.72,2.75,0
0.72,3,0
0.72,3.25,0
0.72,3.5,0
0.72,3.75,0
0.72,4,0.00114201
0.72,4.25,0.03953453
0.72,4.5,0.039456044
0.72,4.75,0.1360603
0.72,5,0.1908407
0.72,5.25,0.2020562
0.72,5.5,0.2090674
0.72,5.75,0.2185027
0.72,6,0.2303823
0.74,1,0
0.74,1.25,0
0.74,1.5,0
0.74,1.75,0
0.74,2,0
0.74,2.25,0
0.74,2.5,0
0.74,2.75,0
0.74,3,0
0.74,3.25,0
0.74,3.5,0
0.74,3.75,0.002266388
0.74,4,0.089705786
0.74,4.25,0.110287992
0.74,4.5,0.17344142
0.74,4.75,0.193134
0.74,5,0.2045062
0.74,5.25,0.2130409
0.74,5.5,0.2277652
0.74,5.75,0.2329002
0.74,6,0.2401568
0.76,1,0
0.76,1.25,0
0.76,1.5,0
0.76,1.75,0
0.76,2,0
0.76,2.25,0
0.76,2.5,0
0.76,2.75,0
0.76,3,0
0.76,3.25,0
0.76,3.5,0.040777073
0.76,3.75,0.118383726
0.76,4,0.1689366
0.76,4.25,0.1898513
0.76,4.5,0.1973252
0.76,4.75,0.2094937
0.76,5,0.219089
0.76,5.25,0.2278777
0.76,5.5,0.2398553
0.76,5.75,0.2477815
0.76,6,0.2570644
0.78,1,0
0.78,1.25,0
0.78,1.5,0
0.78,1.75,0
0.78,2,0
0.78,2.25,0
0.78,2.5,0
0.78,2.75,0
0.78,3,0.001303611
0.78,3.25,0.063016898
0.78,3.5,0.15444314
0.78,3.75,0.1739436
0.78,4,0.1877845
0.78,4.25,0.2003701
0.78,4.5,0.2104412
0.78,4.75,0.2234859
0.78,5,0.232403
0.78,5.25,0.2417271
0.78,5.5,0.2521522
0.78,5.75,0.2602768
0.78,6,0.2697097
0.8,1,0
0.8,1.25,0
0.8,1.5,0
0.8,1.75,0
0.8,2,0
0.8,2.25,0
0.8,2.5,0
0.8,2.75,0.000961817
0.8,3,0.087158202
0.8,3.25,0.1513099
0.8,3.5,0.1747336
0.8,3.75,0.1884772
0.8,4,0.2005675
0.8,4.25,0.2132841
0.8,4.5,0.2259432
0.8,4.75,0.2333543
0.8,5,0.2493657
0.8,5.25,0.2612267
0.8,5.5,0.266371
0.8,5.75,0.2772024
0.8,6,0.2888467
0.82,1,0
0.82,1.25,0
0.82,1.5,0
0.82,1.75,0
0.82,2,0
0.82,2.25,0
0.82,2.5,0.000138095
0.82,2.75,0.054754539
0.82,3,0.1524629
0.82,3.25,0.1712113
0.82,3.5,0.1880283
0.82,3.75,0.2041971
0.82,4,0.2122414
0.82,4.25,0.2247019
0.82,4.5,0.2394594
0.82,4.75,0.2536489
0.82,5,0.2596939
0.82,5.25,0.2712871
0.82,5.5,0.2802672
0.82,5.75,0.2905474
0.82,6,0.3011512
0.84,1,0
0.84,1.25,0
0.84,1.5,0
0.84,1.75,0
0.84,2,0
0.84,2.25,1.69E-05
0.84,2.5,0.028572783
0.84,2.75,0.1435717
0.84,3,0.1682902
0.84,3.25,0.1862297
0.84,3.5,0.1973457
0.84,3.75,0.2162283
0.84,4,0.2314646
0.84,4.25,0.2440737
0.84,4.5,0.2581108
0.84,4.75,0.2663936
0.84,5,0.275792
0.84,5.25,0.2898968
0.84,5.5,0.299672
0.84,5.75,0.3124658
0.84,6,0.3185239
0.86,1,0
0.86,1.25,0
0.86,1.5,0
0.86,1.75,0
0.86,2,0
0.86,2.25,0.012276566
0.86,2.5,0.12843457
0.86,2.75,0.1631483
0.86,3,0.1822888
0.86,3.25,0.2030267
0.86,3.5,0.2153073
0.86,3.75,0.2353033
0.86,4,0.2479383
0.86,4.25,0.257322
0.86,4.5,0.2725901
0.86,4.75,0.2880217
0.86,5,0.2978185
0.86,5.25,0.3075107
0.86,5.5,0.3174506
0.86,5.75,0.3282055
0.86,6,0.3381069
0.88,1,0
0.88,1.25,0
0.88,1.5,0
0.88,1.75,0
0.88,2,0.000236897
0.88,2.25,0.07609923
0.88,2.5,0.152493
0.88,2.75,0.1786757
0.88,3,0.1977488
0.88,3.25,0.216204
0.88,3.5,0.2355026
0.88,3.75,0.2459672
0.88,4,0.2650717
0.88,4.25,0.2774308
0.88,4.5,0.2912313
0.88,4.75,0.2985308
0.88,5,0.3145292
0.88,5.25,0.3195651
0.88,5.5,0.3362893
0.88,5.75,0.3446305
0.88,6,0.3587602
0.9,1,0
0.9,1.25,0
0.9,1.5,0
0.9,1.75,5.68E-06
0.9,2,0.022568929
0.9,2.25,0.1317006
0.9,2.5,0.1713061
0.9,2.75,0.1994292
0.9,3,0.2164357
0.9,3.25,0.2347632
0.9,3.5,0.2507317
0.9,3.75,0.2672222
0.9,4,0.2774076
0.9,4.25,0.2984349
0.9,4.5,0.3089723
0.9,4.75,0.3178975
0.9,5,0.3377932
0.9,5.25,0.347238
0.9,5.5,0.3627208
0.9,5.75,0.3688824
0.9,6,0.3736542
0.92,1,0
0.92,1.25,0
0.92,1.5,0
0.92,1.75,0.000670712
0.92,2,0.09690458
0.92,2.25,0.159182
0.92,2.5,0.1850346
0.92,2.75,0.2144184
0.92,3,0.2322466
0.92,3.25,0.2515801
0.92,3.5,0.2668553
0.92,3.75,0.2838605
0.92,4,0.2991143
0.92,4.25,0.3165611
0.92,4.5,0.3306799
0.92,4.75,0.341458
0.92,5,0.3565148
0.92,5.25,0.3689888
0.92,5.5,0.378793
0.92,5.75,0.3928848
0.92,6,0.4034852
0.94,1,0
0.94,1.25,0
0.94,1.5,0
0.94,1.75,0.016240927
0.94,2,0.1316321
0.94,2.25,0.1724162
0.94,2.5,0.2049836
0.94,2.75,0.2310701
0.94,3,0.2518631
0.94,3.25,0.274937
0.94,3.5,0.2881056
0.94,3.75,0.3031251
0.94,4,0.3247563
0.94,4.25,0.3407994
0.94,4.5,0.3533029
0.94,4.75,0.3661923
0.94,5,0.3829936
0.94,5.25,0.3882752
0.94,5.5,0.4000628
0.94,5.75,0.4147449
0.94,6,0.4362124
0.96,1,0
0.96,1.25,0
0.96,1.5,0.000329639
0.96,1.75,0.06317098
0.96,2,0.160794
0.96,2.25,0.1969021
0.96,2.5,0.2209866
0.96,2.75,0.2453631
0.96,3,0.2743459
0.96,3.25,0.2917491
0.96,3.5,0.3092637
0.96,3.75,0.3237121
0.96,4,0.3487918
0.96,4.25,0.3619992
0.96,4.5,0.3737758
0.96,4.75,0.391874
0.96,5,0.4065438
0.96,5.25,0.4235344
0.96,5.5,0.4350585
0.96,5.75,0.4504684
0.96,6,0.4669052
0.98,1,0
0.98,1.25,0
0.98,1.5,0.003498106
0.98,1.75,0.1255107
0.98,2,0.1795183
0.98,2.25,0.2164829
0.98,2.5,0.246805
0.98,2.75,0.2699622
0.98,3,0.2959024
0.98,3.25,0.3156208
0.98,3.5,0.3348152
0.98,3.75,0.3535774
0.98,4,0.3659769
0.98,4.25,0.393089
0.98,4.5,0.4032576
0.98,4.75,0.4197608
0.98,5,0.43471
0.98,5.25,0.4549649
0.98,5.5,0.4590273
0.98,5.75,0.4789501
0.98,6,0.4997386
1,1,0
1,1.25,0
1,1.5,0.034983464
1,1.75,0.1500664
1,2,0.197639
1,2.25,0.2389843
1,2.5,0.2688547
1,2.75,0.2945444
1,3,0.3209336
1,3.25,0.3457022
1,3.5,0.3592334
1,3.75,0.3853005
1,4,0.3979809
1,4.25,0.417999
1,4.5,0.4443773
1,4.75,0.4584482
1,5,0.4658069
1,5.25,0.4931645
1,5.5,0.5070794
1,5.75,0.518151
1,6,0.5354955
