Fitness,Relative Center Density,Normal Allele - Invasion
0.6,1,6.32E-05
0.6,1.25,8.59E-05
0.6,1.5,8.52E-05
0.6,1.75,0.000272191
0.6,2,0.000376069
0.6,2.25,0.000206117
0.6,2.5,0.000386791
0.6,2.75,0.000318879
0.6,3,0.0003118
0.6,3.25,0.000522697
0.6,3.5,0.000372572
0.6,3.75,0.000620448
0.6,4,0.000601083
0.6,4.25,0.000573908
0.6,4.5,0.000756941
0.6,4.75,0.000478627
0.6,5,0.000675508
0.6,5.25,0.000642063
0.6,5.5,0.000730422
0.6,5.75,0.000705216
0.6,6,0.000801055
0.62,1,0.000103858
0.62,1.25,0.000223802
0.62,1.5,0.000346098
0.62,1.75,0.000248748
0.62,2,0.000343209
0.62,2.25,0.00043586
0.62,2.5,0.000470896
0.62,2.75,0.0006944
0.62,3,0.000709828
0.62,3.25,0.000796254
0.62,3.5,0.001002063
0.62,3.75,0.000949987
0.62,4,0.000878535
0.62,4.25,0.000948015
0.62,4.5,0.000945739
0.62,4.75,0.001047633
0.62,5,0.001144385
0.62,5.25,0.001106532
0.62,5.5,0.00104713
0.62,5.75,0.001100939
0.62,6,0.000875384
0.64,1,0.000318002
0.64,1.25,0.000475303
0.64,1.5,0.000307479
0.64,1.75,0.000644945
0.64,2,0.000677112
0.64,2.25,0.001217905
0.64,2.5,0.001240887
0.64,2.75,0.001274873
0.64,3,0.001364417
0.64,3.25,0.001188169
0.64,3.5,0.001460814
0.64,3.75,0.001484067
0.64,4,0.001110971
0.64,4.25,0.00131607
0.64,4.5,0.001516399
0.64,4.75,0.001894901
0.64,5,0.001633831
0.64,5.25,0.001911264
0.64,5.5,0.002223011
0.64,5.75,0.002020707
0.64,6,0.002261623
0.66,1,0.000267117
0.66,1.25,0.000539432
0.66,1.5,0.00056576
0.66,1.75,0.00103778
0.66,2,0.00115052
0.66,2.25,0.001367162
0.66,2.5,0.001508505
0.66,2.75,0.001615067
0.66,3,0.001772933
0.66,3.25,0.001663394
0.66,3.5,0.002130922
0.66,3.75,0.002428546
0.66,4,0.002497206
0.66,4.25,0.00259295
0.66,4.5,0.00253556
0.66,4.75,0.00267982
0.66,5,0.003043484
0.66,5.25,0.002835582
0.66,5.5,0.00304031
0.66,5.75,0.003042202
0.66,6,0.003077496
0.68,1,0.000329941
0.68,1.25,0.001011871
0.68,1.5,0.000975109
0.68,1.75,0.001723527
0.68,2,0.001975373
0.68,2.25,0.001801766
0.68,2.5,0.002489142
0.68,2.75,0.003000129
0.68,3,0.003096969
0.68,3.25,0.003242475
0.68,3.5,0.00338405
0.68,3.75,0.003104403
0.68,4,0.003168966
0.68,4.25,0.003715596
0.68,4.5,0.004309487
0.68,4.75,0.004519782
0.68,5,0.004318475
0.68,5.25,0.004406586
0.68,5.5,0.004410857
0.68,5.75,0.004856278
0.68,6,0.005307696
0.7,1,0.000698889
0.7,1.25,0.001233505
0.7,1.5,0.00170896
0.7,1.75,0.00211029
0.7,2,0.002118932
0.7,2.25,0.002924802
0.7,2.5,0.003461232
0.7,2.75,0.003856731
0.7,3,0.004385602
0.7,3.25,0.004156897
0.7,3.5,0.005006939
0.7,3.75,0.005445789
0.7,4,0.005170936
0.7,4.25,0.00509557
0.7,4.5,0.005742071
0.7,4.75,0.005895265
0.7,5,0.006401128
0.7,5.25,0.006851992
0.7,5.5,0.00775531
0.7,5.75,0.006993183
0.7,6,0.007773533
0.72,1,0.001760013
0.72,1.25,0.002046921
0.72,1.5,0.002579383
0.72,1.75,0.003271069
0.72,2,0.003724406
0.72,2.25,0.004752411
0.72,2.5,0.005430052
0.72,2.75,0.005953027
0.72,3,0.006623244
0.72,3.25,0.007318304
0.72,3.5,0.007821222
0.72,3.75,0.008742495
0.72,4,0.008171062
0.72,4.25,0.009381708
0.72,4.5,0.00843906
0.72,4.75,0.009566611
0.72,5,0.010695518
0.72,5.25,0.011638118
0.72,5.5,0.011529148
0.72,5.75,0.010470099
0.72,6,0.011786149
0.74,1,0.002026617
0.74,1.25,0.002646648
0.74,1.5,0.003996509
0.74,1.75,0.004920473
0.74,2,0.006314337
0.74,2.25,0.007200318
0.74,2.5,0.008266471
0.74,2.75,0.008361761
0.74,3,0.009112733
0.74,3.25,0.010875117
0.74,3.5,0.010177036
0.74,3.75,0.011495516
0.74,4,0.01391327
0.74,4.25,0.01434847
0.74,4.5,0.01434575
0.74,4.75,0.01421293
0.74,5,0.01554392
0.74,5.25,0.01609452
0.74,5.5,0.01608561
0.74,5.75,0.01633691
0.74,6,0.01751795
