Fitness,Migration Rate,2L2T - Persistance
0.6,0.02,0.2147004
0.6,0.025,0.0715051
0.6,0.03,0.005680722
0.6,0.035,1.29E-05
0.6,0.04,0
0.6,0.045,0
0.6,0.05,0
0.6,0.055,0
0.6,0.06,0
0.6,0.065,0
0.6,0.07,0
0.6,0.075,0
0.6,0.08,0
0.6,0.085,0
0.6,0.09,0
0.6,0.095,0
0.6,0.1,0
0.62,0.02,0.3131554
0.62,0.025,0.17021887
0.62,0.03,0.042320373
0.62,0.035,0.00069241
0.62,0.04,0
0.62,0.045,0
0.62,0.05,0
0.62,0.055,0
0.62,0.06,0
0.62,0.065,0
0.62,0.07,0
0.62,0.075,0
0.62,0.08,0
0.62,0.085,0
0.62,0.09,0
0.62,0.095,0
0.62,0.1,0
0.64,0.02,0.5249316
0.64,0.025,0.3710783
0.64,0.03,0.16775692
0.64,0.035,0.025345709
0.64,0.04,0.004056065
0.64,0.045,0
0.64,0.05,0
0.64,0.055,0
0.64,0.06,0
0.64,0.065,0
0.64,0.07,0
0.64,0.075,0
0.64,0.08,0
0.64,0.085,0
0.64,0.09,0
0.64,0.095,0
0.64,0.1,0
0.66,0.02,0.7238326
0.66,0.025,0.6164372
0.66,0.03,0.4597551
0.66,0.035,0.2595531
0.66,0.04,0.036920497
0.66,0.045,0.004004415
0.66,0.05,3.88E-05
0.66,0.055,0
0.66,0.06,0
0.66,0.065,0
0.66,0.07,0
0.66,0.075,0
0.66,0.08,0
0.66,0.085,0
0.66,0.09,0
0.66,0.095,0
0.66,0.1,0
0.68,0.02,0.7866446
0.68,0.025,0.7532693
0.68,0.03,0.66502
0.68,0.035,0.5769858
0.68,0.04,0.42047636
0.68,0.045,0.088970868
0.68,0.05,0.012022499
0.68,0.055,4.04E-05
0.68,0.06,0
0.68,0.065,0
0.68,0.07,0
0.68,0.075,0
0.68,0.08,0
0.68,0.085,0
0.68,0.09,0
0.68,0.095,0
0.68,0.1,0
0.7,0.02,0.8262902
0.7,0.025,0.8157395
0.7,0.03,0.7800489
0.7,0.035,0.7499845
0.7,0.04,0.658363
0.7,0.045,0.5429467
0.7,0.05,0.34521887
0.7,0.055,0.017070324
0.7,0.06,0.000372191
0.7,0.065,1.35E-05
0.7,0.07,0
0.7,0.075,0
0.7,0.08,0
0.7,0.085,0
0.7,0.09,0
0.7,0.095,0
0.7,0.1,0
0.72,0.02,0.8494629
0.72,0.025,0.8243091
0.72,0.03,0.8148134
0.72,0.035,0.7915488
0.72,0.04,0.7658753
0.72,0.045,0.7392144
0.72,0.05,0.6979376
0.72,0.055,0.534114
0.72,0.06,0.137804091
0.72,0.065,0.000818896
0.72,0.07,0
0.72,0.075,0
0.72,0.08,0
0.72,0.085,0
0.72,0.09,0
0.72,0.095,0
0.72,0.1,0
0.74,0.02,0.8600827
0.74,0.025,0.841594
0.74,0.03,0.8258139
0.74,0.035,0.8118148
0.74,0.04,0.7965757
0.74,0.045,0.7732514
0.74,0.05,0.7473353
0.74,0.055,0.7168597
0.74,0.06,0.5685724
0.74,0.065,0.288645907
0.74,0.07,0.014425581
0.74,0.075,1.34E-05
0.74,0.08,0
0.74,0.085,0
0.74,0.09,0
0.74,0.095,0
0.74,0.1,0
0.76,0.02,0.8705518
0.76,0.025,0.8577561
0.76,0.03,0.8395237
0.76,0.035,0.8289726
0.76,0.04,0.8117037
0.76,0.045,0.790149
0.76,0.05,0.7715824
0.76,0.055,0.7600778
0.76,0.06,0.7221888
0.76,0.065,0.6564915
0.76,0.07,0.4604286
0.76,0.075,0.047993901
0.76,0.08,0.000229938
0.76,0.085,0
0.76,0.09,0
0.76,0.095,0
0.76,0.1,0
0.78,0.02,0.8781958
0.78,0.025,0.8635583
0.78,0.03,0.8536239
0.78,0.035,0.8387184
0.78,0.04,0.8299386
0.78,0.045,0.8144822
0.78,0.05,0.793564
0.78,0.055,0.7811944
0.78,0.06,0.7628728
0.78,0.065,0.7371361
0.78,0.07,0.7032971
0.78,0.075,0.6110976
0.78,0.08,0.22158644
0.78,0.085,0.032428142
0.78,0.09,1.41E-05
0.78,0.095,0
0.78,0.1,0
0.8,0.02,0.8864159
0.8,0.025,0.8808484
0.8,0.03,0.8645477
0.8,0.035,0.8524013
0.8,0.04,0.8448277
0.8,0.045,0.829558
0.8,0.05,0.8204103
0.8,0.055,0.8018437
0.8,0.06,0.788152
0.8,0.065,0.7716502
0.8,0.07,0.7560824
0.8,0.075,0.7314235
0.8,0.08,0.6841543
0.8,0.085,0.48482991
0.8,0.09,0.045403469
0.8,0.095,0.0005447
0.8,0.1,4.19E-05
0.82,0.02,0.8948834
0.82,0.025,0.8829468
0.82,0.03,0.8729681
0.82,0.035,0.8635658
0.82,0.04,0.8542554
0.82,0.045,0.8441822
0.82,0.05,0.8306057
0.82,0.055,0.8250938
0.82,0.06,0.812409
