Fitness,Migration Rate,Normal Allele - Persistance
0.6,0.02,0.001659633
0.6,0.025,0.000801552
0.6,0.03,0.000751026
0.6,0.035,0.000580578
0.6,0.04,0.000394278
0.6,0.045,0.000399909
0.6,0.05,0.000445013
0.6,0.055,0.000474414
0.6,0.06,0.000240486
0.6,0.065,0.000271778
0.6,0.07,0.000495381
0.6,0.075,0.000214339
0.6,0.08,0.00020316
0.6,0.085,0.000176728
0.6,0.09,0.000206696
0.6,0.095,4.14E-05
0.6,0.1,0.000192113
0.62,0.02,0.003022318
0.62,0.025,0.001536168
0.62,0.03,0.001709788
0.62,0.035,0.001118173
0.62,0.04,0.000721204
0.62,0.045,0.001216572
0.62,0.05,0.000781018
0.62,0.055,0.000419311
0.62,0.06,0.000660462
0.62,0.065,0.000307896
0.62,0.07,0.00033745
0.62,0.075,0.000472811
0.62,0.08,0.000638737
0.62,0.085,0.000827224
0.62,0.09,0.000311618
0.62,0.095,0.000563452
0.62,0.1,0.000414427
0.64,0.02,0.002930924
0.64,0.025,0.002736598
0.64,0.03,0.0022284
0.64,0.035,0.001847839
0.64,0.04,0.001463702
0.64,0.045,0.001480219
0.64,0.05,0.001146481
0.64,0.055,0.000831058
0.64,0.06,0.000957818
0.64,0.065,0.000709929
0.64,0.07,0.000983381
0.64,0.075,0.000960972
0.64,0.08,0.000676527
0.64,0.085,0.000435353
0.64,0.09,0.000452704
0.64,0.095,0.000734603
0.64,0.1,0.000404127
0.66,0.02,0.005610634
0.66,0.025,0.004127829
0.66,0.03,0.004034592
0.66,0.035,0.002800003
0.66,0.04,0.002542103
0.66,0.045,0.002249296
0.66,0.05,0.001619223
0.66,0.055,0.00155125
0.66,0.06,0.00192836
0.66,0.065,0.001002616
0.66,0.07,0.001193721
0.66,0.075,0.000997793
0.66,0.08,0.001220039
0.66,0.085,0.001246236
0.66,0.09,0.00109313
0.66,0.095,0.000766023
0.66,0.1,0.001015709
0.68,0.02,0.008198362
0.68,0.025,0.006214296
0.68,0.03,0.005598703
0.68,0.035,0.00435835
0.68,0.04,0.004438706
0.68,0.045,0.003169899
0.68,0.05,0.002627816
0.68,0.055,0.003666328
0.68,0.06,0.00209322
0.68,0.065,0.002044873
0.68,0.07,0.001524155
0.68,0.075,0.001690625
0.68,0.08,0.001461617
0.68,0.085,0.001575646
0.68,0.09,0.00172815
0.68,0.095,0.001747528
0.68,0.1,0.00158066
0.7,0.02,0.012203588
0.7,0.025,0.009636453
0.7,0.03,0.008968751
0.7,0.035,0.007640333
0.7,0.04,0.005914416
0.7,0.045,0.005169089
0.7,0.05,0.004986691
0.7,0.055,0.003735242
0.7,0.06,0.003414874
0.7,0.065,0.002906326
0.7,0.07,0.002996652
0.7,0.075,0.003288549
0.7,0.08,0.003222892
0.7,0.085,0.003046359
0.7,0.09,0.002315165
0.7,0.095,0.002405025
0.7,0.1,0.001911929
0.72,0.02,0.01870283
0.72,0.025,0.013844104
0.72,0.03,0.011688494
0.72,0.035,0.010475728
0.72,0.04,0.00904605
0.72,0.045,0.007912617
0.72,0.05,0.008171487
0.72,0.055,0.006012127
0.72,0.06,0.005104697
0.72,0.065,0.00507466
0.72,0.07,0.005191506
0.72,0.075,0.004385818
0.72,0.08,0.004613992
0.72,0.085,0.004680373
0.72,0.09,0.003955878
0.72,0.095,0.00368044
0.72,0.1,0.004076225
0.74,0.02,0.02801302
0.74,0.025,0.02291251
0.74,0.03,0.01796154
0.74,0.035,0.01618923
0.74,0.04,0.01303395
0.74,0.045,0.012823935
0.74,0.05,0.011203376
0.74,0.055,0.009180963
0.74,0.06,0.008554615
0.74,0.065,0.007845626
0.74,0.07,0.006821507
0.74,0.075,0.006698351
0.74,0.08,0.006533894
0.74,0.085,0.006233316
0.74,0.09,0.006883914
0.74,0.095,0.005098578
0.74,0.1,0.004791149
0.76,0.02,0.043134
0.76,0.025,0.03467791
0.76,0.03,0.0274079
0.76,0.035,0.02230313
0.76,0.04,0.02049578
0.76,0.045,0.01630849
0.76,0.05,0.01629308
0.76,0.055,0.014893926
0.76,0.06,0.012981447
0.76,0.065,0.0126195
0.76,0.07,0.009798943
0.76,0.075,0.011063744
0.76,0.08,0.00901065
0.76,0.085,0.009065367
0.76,0.09,0.008574804
0.76,0.095,0.00995326
0.76,0.1,0.007688712
0.78,0.02,0.05338101
0.78,0.025,0.04766932
0.78,0.03,0.03861162
0.78,0.035,0.03477494
0.78,0.04,0.02705042
0.78,0.045,0.02400499
0.78,0.05,0.02176793
0.78,0.055,0.02044977
0.78,0.06,0.02129087
0.78,0.065,0.01778848
0.78,0.07,0.014852035
0.78,0.075,0.013215972
0.78,0.08,0.01460329
0.78,0.085,0.014063576
0.78,0.09,0.011765397
0.78,0.095,0.012534129
0.78,0.1,0.01175727
0.8,0.02,0.08444592
0.8,0.025,0.06638051
0.8,0.03,0.06073736
0.8,0.035,0.04862162
0.8,0.04,0.0426302
0.8,0.045,0.03721271
0.8,0.05,0.03469067
0.8,0.055,0.03501217
0.8,0.06,0.02637077
0.8,0.065,0.02360621
0.8,0.07,0.02304692
0.8,0.075,0.02209392
0.8,0.08,0.0218379
0.8,0.085,0.01966007
0.8,0.09,0.01863388
0.8,0.095,0.01741158
0.8,0.1,0.01863941
0.82,0.02,0.10742917
0.82,0.025,0.09187336
0.82,0.03,0.07575582
0.82,0.035,0.06797584
0.82,0.04,0.05842437
0.82,0.045,0.0547271
0.82,0.05,0.04496146
0.82,0.055,0.04205035
0.82,0.06,0.03963637
0.82,0.065,0.03401407
0.82,0.07,0.03216639
0.82,0.075,0.03069879
0.82,0.08,0.02670601
0.82,0.085,0.02649829
0.82,0.09,0.02761248
0.82,0.095,0.02595318
0.82,0.1,0.02485493
0.84,0.02,0.1421715
0.84,0.025,0.12093894
0.84,0.03,0.11451099
0.84,0.035,0.08868628
0.84,0.04,0.08123339
0.84,0.045,0.07260717
0.84,0.05,0.06195032
0.84,0.055,0.06296795
0.84,0.06,0.05225346
0.84,0.065,0.0472431
0.84,0.07,0.04590112
0.84,0.075,0.04289359
0.84,0.08,0.04250107
0.84,0.085,0.03980485
0.84,0.09,0.03797759
0.84,0.095,0.03822659
0.84,0.1,0.029818
0.86,0.02,0.1774913
0.86,0.025,0.1615827
0.86,0.03,0.1518367
0.86,0.035,0.121083
0.86,0.04,0.10944165
0.86,0.045,0.10449591
0.86,0.05,0.08608541
0.86,0.055,0.07595261
0.86,0.06,0.07102188
0.86,0.065,0.07009252
0.86,0.07,0.06202704
0.86,0.075,0.06070632
0.86,0.08,0.05774024
0.86,0.085,0.05615889
0.86,0.09,0.05030974
0.86,0.095,0.04783151
0.86,0.1,0.0446337
0.88,0.02,0.2342883
0.88,0.025,0.2111355
0.88,0.03,0.203641
0.88,0.035,0.1597877
0.88,0.04,0.1478969
0.88,0.045,0.1257456
0.88,0.05,0.12208245
0.88,0.055,0.10822133
0.88,0.06,0.10203746
0.88,0.065,0.09353698
0.88,0.07,0.0802989
0.88,0.075,0.0765629
0.88,0.08,0.07528729
0.88,0.085,0.07745488
0.88,0.09,0.07318691
0.88,0.095,0.07306344
0.88,0.1,0.06770155
0.9,0.02,0.3105814
0.9,0.025,0.2640606
0.9,0.03,0.2510408
0.9,0.035,0.2137294
0.9,0.04,0.191952
0.9,0.045,0.1762888
0.9,0.05,0.160745
0.9,0.055,0.1384054
0.9,0.06,0.13300415
0.9,0.065,0.1203125
0.9,0.07,0.11965971
0.9,0.075,0.10545889
0.9,0.08,0.10551115
0.9,0.085,0.0967662
0.9,0.09,0.09932887
0.9,0.095,0.09086478
0.9,0.1,0.09139084
0.92,0.02,0.3745384
0.92,0.025,0.3276885
0.92,0.03,0.2944937
0.92,0.035,0.2756612
0.92,0.04,0.2382376
0.92,0.045,0.2264563
0.92,0.05,0.2013155
0.92,0.055,0.1769681
0.92,0.06,0.1706648
0.92,0.065,0.1559256
0.92,0.07,0.1563764
0.92,0.075,0.149512
0.92,0.08,0.1392487
0.92,0.085,0.1274443
0.92,0.09,0.1328048
0.92,0.095,0.1287753
0.92,0.1,0.1289267
0.94,0.02,0.4425868
0.94,0.025,0.4072973
0.94,0.03,0.3679063
0.94,0.035,0.3212106
0.94,0.04,0.298272
0.94,0.045,0.2873029
0.94,0.05,0.2574361
0.94,0.055,0.2432946
0.94,0.06,0.2249317
0.94,0.065,0.2064209
0.94,0.07,0.2028215
0.94,0.075,0.1823979
0.94,0.08,0.1832158
0.94,0.085,0.1798788
0.94,0.09,0.1682688
0.94,0.095,0.1692967
0.94,0.1,0.1602537
0.96,0.02,0.5108215
0.96,0.025,0.4706282
0.96,0.03,0.4324064
0.96,0.035,0.3960446
0.96,0.04,0.3659174
0.96,0.045,0.3401997
0.96,0.05,0.3087313
0.96,0.055,0.2985922
0.96,0.06,0.2695596
0.96,0.065,0.2615015
0.96,0.07,0.2401431
0.96,0.075,0.2304312
0.96,0.08,0.2392496
0.96,0.085,0.2278277
0.96,0.09,0.2175879
0.96,0.095,0.2212034
0.96,0.1,0.2131696
0.98,0.02,0.5798364
0.98,0.025,0.5455404
0.98,0.03,0.5052583
0.98,0.035,0.4605837
0.98,0.04,0.4221046
0.98,0.045,0.4015499
0.98,0.05,0.366008
0.98,0.055,0.3412042
0.98,0.06,0.3406337
0.98,0.065,0.3313909
0.98,0.07,0.3028718
0.98,0.075,0.2911716
0.98,0.08,0.2866119
0.98,0.085,0.2745233
0.98,0.09,0.2717771
0.98,0.095,0.2744747
0.98,0.1,0.2810731
1,0.02,0.6435388
1,0.025,0.6078129
1,0.03,0.5549043
1,0.035,0.5474684
1,0.04,0.4936633
1,0.045,0.4681238
1,0.05,0.4385555
1,0.055,0.4324456
1,0.06,0.397914
1,0.065,0.3926723
1,0.07,0.3848549
1,0.075,0.3685178
1,0.08,0.3605178
1,0.085,0.3504959
1,0.09,0.3397752
1,0.095,0.3374605
1,0.1,0.3345466
