Fitness,Migration Rate,2L2T - Invasion
0.6,0.02,0.000544102
0.6,0.025,0.000145568
0.6,0.03,3.37E-05
0.6,0.035,1.70E-05
0.6,0.04,0
0.6,0.045,0
0.6,0.05,0
0.6,0.055,0
0.6,0.06,0
0.6,0.065,0
0.6,0.07,0
0.6,0.075,0
0.6,0.08,0
0.6,0.085,0
0.6,0.09,0
0.6,0.095,0
0.6,0.1,0
0.62,0.02,0.002356919
0.62,0.025,0.001161869
0.62,0.03,0.000263222
0.62,0.035,1.70E-05
0.62,0.04,0
0.62,0.045,0
0.62,0.05,0
0.62,0.055,0
0.62,0.06,0
0.62,0.065,0
0.62,0.07,0
0.62,0.075,0
0.62,0.08,0
0.62,0.085,0
0.62,0.09,0
0.62,0.095,0
0.62,0.1,0
0.64,0.02,0.009031631
0.64,0.025,0.006228117
0.64,0.03,0.001623938
0.64,0.035,0.000284681
0.64,0.04,0.000112039
0.64,0.045,5.67E-06
0.64,0.05,0
0.64,0.055,0
0.64,0.06,0
0.64,0.065,0
0.64,0.07,0
0.64,0.075,0
0.64,0.08,0
0.64,0.085,0
0.64,0.09,0
0.64,0.095,0
0.64,0.1,0
0.66,0.02,0.02035794
0.66,0.025,0.015765768
0.66,0.03,0.013288278
0.66,0.035,0.006876202
0.66,0.04,0.000876836
0.66,0.045,0.000228436
0.66,0.05,5.65E-06
0.66,0.055,0
0.66,0.06,0
0.66,0.065,0
0.66,0.07,0
0.66,0.075,0
0.66,0.08,0
0.66,0.085,0
0.66,0.09,0
0.66,0.095,0
0.66,0.1,0
0.68,0.02,0.02744207
0.68,0.025,0.03245082
0.68,0.03,0.02744046
0.68,0.035,0.023302737
0.68,0.04,0.017494799
0.68,0.045,0.003391827
0.68,0.05,0.000639709
0.68,0.055,3.34E-05
0.68,0.06,0
0.68,0.065,0
0.68,0.07,0
0.68,0.075,0
0.68,0.08,0
0.68,0.085,0
0.68,0.09,0
0.68,0.095,0
0.68,0.1,0
0.7,0.02,0.03553243
0.7,0.025,0.04222295
0.7,0.03,0.04389383
0.7,0.035,0.04740302
