Fitness,Migration Rate,Normal Allele - Invasion
0.6,0.02,0.00028603
0.6,0.025,0.000164997
0.6,0.03,0.000363239
0.6,0.035,0.000379365
0.6,0.04,0.000219917
0.6,0.045,0.000299614
0.6,0.05,0.00015691
0.6,0.055,0.000241191
0.6,0.06,7.25E-05
0.6,0.065,0.000172756
0.6,0.07,0.000211834
0.6,0.075,0.00019961
0.6,0.08,0.0001497
0.6,0.085,0.000326963
0.6,0.09,0.000187885
0.6,0.095,0.000199243
0.6,0.1,0.00018749
0.62,0.02,0.000325409
0.62,0.025,0.000238745
0.62,0.03,0.000490109
0.62,0.035,0.000260106
0.62,0.04,0.000345404
0.62,0.045,0.000562714
0.62,0.05,0.000392292
0.62,0.055,0.000309457
0.62,0.06,0.000252255
0.62,0.065,0.000551598
0.62,0.07,0.000406801
0.62,0.075,0.000404561
0.62,0.08,0.00037138
0.62,0.085,0.000590863
0.62,0.09,0.000385097
0.62,0.095,0.000523929
0.62,0.1,0.000429614
0.64,0.02,0.00056235
0.64,0.025,0.000476684
0.64,0.03,0.000691975
0.64,0.035,0.000538911
0.64,0.04,0.000633667
0.64,0.045,0.000598461
0.64,0.05,0.000583286
0.64,0.055,0.000526794
0.64,0.06,0.000810689
0.64,0.065,0.000546378
0.64,0.07,0.0006267
0.64,0.075,0.00062205
0.64,0.08,0.000467093
0.64,0.085,0.000670321
0.64,0.09,0.000663388
0.64,0.095,0.000769808
0.64,0.1,0.000577372
0.66,0.02,0.000568098
0.66,0.025,0.001165299
0.66,0.03,0.001039069
0.66,0.035,0.001138405
0.66,0.04,0.001004815
0.66,0.045,0.001069719
0.66,0.05,0.001172741
0.66,0.055,0.001264157
0.66,0.06,0.00115328
0.66,0.065,0.000913513
0.66,0.07,0.001071048
0.66,0.075,0.001066631
0.66,0.08,0.001078646
0.66,0.085,0.000975446
0.66,0.09,0.000966223
0.66,0.095,0.000790032
0.66,0.1,0.001125104
0.68,0.02,0.001278855
0.68,0.025,0.001122245
0.68,0.03,0.001512962
0.68,0.035,0.001533156
0.68,0.04,0.001950914
0.68,0.045,0.001577668
0.68,0.05,0.001239527
0.68,0.055,0.002103227
0.68,0.06,0.001419062
0.68,0.065,0.001714196
0.68,0.07,0.001974073
0.68,0.075,0.001287605
0.68,0.08,0.001612985
0.68,0.085,0.001404435
0.68,0.09,0.001219131
0.68,0.095,0.001533519
0.68,0.1,0.001413981
0.7,0.02,0.001692928
0.7,0.025,0.001813463
0.7,0.03,0.002705424
0.7,0.035,0.002292253
0.7,0.04,0.002757463
0.7,0.045,0.002063119
0.7,0.05,0.002246125
0.7,0.055,0.002051294
0.7,0.06,0.002990862
0.7,0.065,0.002550836
0.7,0.07,0.002677649
0.7,0.075,0.002565402
0.7,0.08,0.002355764
0.7,0.085,0.002694444
0.7,0.09,0.002195205
0.7,0.095,0.0019136
0.7,0.1,0.002211013
0.72,0.02,0.002595563
0.72,0.025,0.00284324
0.72,0.03,0.003293328
0.72,0.035,0.003639139
0.72,0.04,0.003859048
0.72,0.045,0.003946116
0.72,0.05,0.003972865
0.72,0.055,0.004034331
0.72,0.06,0.003729738
0.72,0.065,0.00437469
0.72,0.07,0.003717364
0.72,0.075,0.003476165
0.72,0.08,0.003893234
0.72,0.085,0.00457193
0.72,0.09,0.003233445
0.72,0.095,0.003738775
0.72,0.1,0.003315447
0.74,0.02,0.004019115
0.74,0.025,0.004118288
0.74,0.03,0.004465086
0.74,0.035,0.005337152
0.74,0.04,0.006040145
0.74,0.045,0.005959259
0.74,0.05,0.005540716
0.74,0.055,0.00556973
0.74,0.06,0.006412612
0.74,0.065,0.006213158
0.74,0.07,0.005618483
0.74,0.075,0.005845329
0.74,0.08,0.005601147
0.74,0.085,0.005399416
0.74,0.09,0.005984793
0.74,0.095,0.005133603
0.74,0.1,0.005075654
0.76,0.02,0.005208449
0.76,0.025,0.006444189
0.76,0.03,0.007279446
0.76,0.035,0.006731353
0.76,0.04,0.007203634
0.76,0.045,0.007959059
0.76,0.05,0.009037728
0.76,0.055,0.009250175
0.76,0.06,0.008236949
0.76,0.065,0.008103716
0.76,0.07,0.008053115
0.76,0.075,0.008362518
0.76,0.08,0.007579328
0.76,0.085,0.00808313
0.76,0.09,0.009200877
0.76,0.095,0.008538694
0.76,0.1,0.007944185
0.78,0.02,0.007494781
0.78,0.025,0.008884159
0.78,0.03,0.00971038
0.78,0.035,0.011521599
0.78,0.04,0.011808079
0.78,0.045,0.011837005
0.78,0.05,0.012793161
0.78,0.055,0.014596295
0.78,0.06,0.01353052
0.78,0.065,0.012860704
0.78,0.07,0.013367163
0.78,0.075,0.012368883
0.78,0.08,0.012074886
0.78,0.085,0.01238199
0.78,0.09,0.01188161
0.78,0.095,0.011700356
0.78,0.1,0.011017187
0.8,0.02,0.009899453
0.8,0.025,0.01221753
0.8,0.03,0.01525643
0.8,0.035,0.01665052
0.8,0.04,0.0162325
0.8,0.045,0.01757351
0.8,0.05,0.01729864
0.8,0.055,0.01906523
0.8,0.06,0.01701336
0.8,0.065,0.01784422
0.8,0.07,0.01920663
0.8,0.075,0.01922449
0.8,0.08,0.01927217
0.8,0.085,0.01768039
0.8,0.09,0.01805766
0.8,0.095,0.01630447
0.8,0.1,0.01680597
0.82,0.02,0.01520816
0.82,0.025,0.01803245
0.82,0.03,0.01961066
0.82,0.035,0.02180039
0.82,0.04,0.02372891
0.82,0.045,0.02520332
0.82,0.05,0.02438295
0.82,0.055,0.02777964
0.82,0.06,0.02690999
0.82,0.065,0.02533967
0.82,0.07,0.0249603
0.82,0.075,0.02688719
0.82,0.08,0.02348622
0.82,0.085,0.02367312
0.82,0.09,0.0251696
0.82,0.095,0.02545762
0.82,0.1,0.02409752
0.84,0.02,0.01926855
0.84,0.025,0.02572493
0.84,0.03,0.02889513
0.84,0.035,0.02984299
0.84,0.04,0.0327056
0.84,0.045,0.03460314
0.84,0.05,0.03468899
0.84,0.055,0.03421512
0.84,0.06,0.03640861
0.84,0.065,0.03599848
0.84,0.07,0.03522806
0.84,0.075,0.03676955
0.84,0.08,0.03908425
0.84,0.085,0.03497517
0.84,0.09,0.03593318
0.84,0.095,0.03442381
0.84,0.1,0.03153565
0.86,0.02,0.02511089
0.86,0.025,0.03309935
0.86,0.03,0.03874595
0.86,0.035,0.04134603
0.86,0.04,0.04194265
0.86,0.045,0.04777499
0.86,0.05,0.04747508
0.86,0.055,0.04874136
0.86,0.06,0.04495974
0.86,0.065,0.04860946
0.86,0.07,0.05157638
0.86,0.075,0.05109344
0.86,0.08,0.0503036
0.86,0.085,0.05022815
0.86,0.09,0.0466723
0.86,0.095,0.04488855
0.86,0.1,0.04546319
0.88,0.02,0.03387528
0.88,0.025,0.04226946
0.88,0.03,0.05058263
0.88,0.035,0.05206016
0.88,0.04,0.06130366
0.88,0.045,0.05904802
0.88,0.05,0.06324168
0.88,0.055,0.06586645
0.88,0.06,0.0672762
0.88,0.065,0.06816923
0.88,0.07,0.06459017
0.88,0.075,0.06314456
0.88,0.08,0.06787558
0.88,0.085,0.07200691
0.88,0.09,0.06874552
0.88,0.095,0.06760292
0.88,0.1,0.06517221
0.9,0.02,0.04473184
0.9,0.025,0.05202901
0.9,0.03,0.06287769
0.9,0.035,0.07441127
0.9,0.04,0.07821663
0.9,0.045,0.08224975
0.9,0.05,0.08410915
0.9,0.055,0.08472897
0.9,0.06,0.08991586
0.9,0.065,0.09204006
0.9,0.07,0.09754915
0.9,0.075,0.08990569
0.9,0.08,0.09173004
0.9,0.085,0.08737959
0.9,0.09,0.09406556
0.9,0.095,0.08783021
0.9,0.1,0.09002965
0.92,0.02,0.05774531
0.92,0.025,0.06996006
0.92,0.03,0.0793571
0.92,0.035,0.09394753
0.92,0.04,0.09939568
0.92,0.045,0.10709877
0.92,0.05,0.1118109
0.92,0.055,0.1174814
0.92,0.06,0.11665824
0.92,0.065,0.1213778
0.92,0.07,0.1237069
0.92,0.075,0.1241777
0.92,0.08,0.124078
0.92,0.085,0.11729834
0.92,0.09,0.121751
0.92,0.095,0.1250169
0.92,0.1,0.1238316
0.94,0.02,0.06839228
0.94,0.025,0.08554074
0.94,0.03,0.10429821
0.94,0.035,0.1127609
0.94,0.04,0.1243087
0.94,0.045,0.1353246
0.94,0.05,0.1467913
0.94,0.055,0.1534308
0.94,0.06,0.1528968
0.94,0.065,0.15202
0.94,0.07,0.1627418
0.94,0.075,0.1583718
0.94,0.08,0.1568926
0.94,0.085,0.1625846
0.94,0.09,0.1565502
0.94,0.095,0.1613068
0.94,0.1,0.1563487
0.96,0.02,0.0852366
0.96,0.025,0.10636283
0.96,0.03,0.1273155
0.96,0.035,0.1364722
0.96,0.04,0.156986
0.96,0.045,0.172193
0.96,0.05,0.1795451
0.96,0.055,0.1910976
0.96,0.06,0.1941912
0.96,0.065,0.2033099
0.96,0.07,0.2014532
0.96,0.075,0.2077346
0.96,0.08,0.2097996
0.96,0.085,0.2072746
0.96,0.09,0.2046255
0.96,0.095,0.2114247
0.96,0.1,0.2049836
0.98,0.02,0.10507635
0.98,0.025,0.1318358
0.98,0.03,0.1576286
0.98,0.035,0.1756488
0.98,0.04,0.1890821
0.98,0.045,0.2089441
0.98,0.05,0.2189032
0.98,0.055,0.2312434
0.98,0.06,0.2505528
0.98,0.065,0.261606
0.98,0.07,0.2546273
0.98,0.075,0.251646
0.98,0.08,0.2562064
0.98,0.085,0.252651
0.98,0.09,0.2571876
0.98,0.095,0.2577065
0.98,0.1,0.2667369
1,0.02,0.1210096
1,0.025,0.1583594
1,0.03,0.184477
1,0.035,0.2176562
1,0.04,0.2366326
1,0.045,0.2565244
1,0.05,0.2675455
1,0.055,0.2964192
1,0.06,0.2973406
1,0.065,0.305475
1,0.07,0.3226308
1,0.075,0.321214
1,0.08,0.327537
1,0.085,0.3246155
1,0.09,0.3218504
1,0.095,0.3251636
1,0.1,0.3215681
