Migration Rate,Relative Center Density,2L2T - Persistance
0.02,1,0.9306054
0.02,1.25,0.9410975
0.02,1.5,0.9540114
0.02,1.75,0.9558601
0.02,2,0.9598543
0.02,2.25,0.9594481
0.02,2.5,0.9651787
0.02,2.75,0.9643282
0.02,3,0.9635562
0.02,3.25,0.9641132
0.02,3.5,0.9661835
0.02,3.75,0.9653927
0.02,4,0.9647002
0.02,4.25,0.9662925
0.02,4.5,0.9658667
0.02,4.75,0.9667562
0.02,5,0.9678998
0.02,5.25,0.9681019
0.02,5.5,0.9669571
0.02,5.75,0.9697193
0.02,6,0.9692121
0.025,1,0.9146249
0.025,1.25,0.9343363
0.025,1.5,0.9433122
0.025,1.75,0.9478161
0.025,2,0.9524751
0.025,2.25,0.9570747
0.025,2.5,0.9599305
0.025,2.75,0.9589406
0.025,3,0.9629711
0.025,3.25,0.9614071
0.025,3.5,0.9627763
0.025,3.75,0.9639039
0.025,4,0.9637511
0.025,4.25,0.9639293
0.025,4.5,0.9621992
0.025,4.75,0.9659678
0.025,5,0.9666362
0.025,5.25,0.966136
0.025,5.5,0.9639189
0.025,5.75,0.9666333
0.025,6,0.9664201
0.03,1,0.8997584
0.03,1.25,0.9256006
0.03,1.5,0.9351926
0.03,1.75,0.9390359
0.03,2,0.9456547
0.03,2.25,0.9491889
0.03,2.5,0.9554754
0.03,2.75,0.954519
0.03,3,0.9538248
0.03,3.25,0.9560898
0.03,3.5,0.9583952
0.03,3.75,0.9623682
0.03,4,0.9636404
0.03,4.25,0.9627368
0.03,4.5,0.9638796
0.03,4.75,0.9644477
0.03,5,0.9641224
0.03,5.25,0.96647
0.03,5.5,0.9642007
0.03,5.75,0.965518
0.03,6,0.9679857
0.035,1,0.8802177
0.035,1.25,0.9138703
0.035,1.5,0.9267425
0.035,1.75,0.9352193
0.035,2,0.9431943
0.035,2.25,0.9469167
0.035,2.5,0.9509713
0.035,2.75,0.9487439
0.035,3,0.9530863
0.035,3.25,0.9552632
0.035,3.5,0.9577888
0.035,3.75,0.9592555
0.035,4,0.9593984
0.035,4.25,0.9605885
0.035,4.5,0.9608184
0.035,4.75,0.9589203
0.035,5,0.9652875
0.035,5.25,0.9641825
0.035,5.5,0.9626612
0.035,5.75,0.9641119
0.035,6,0.9658317
0.04,1,0.868852
0.04,1.25,0.9060145
0.04,1.5,0.9243047
0.04,1.75,0.9298104
0.04,2,0.9376863
0.04,2.25,0.9447455
0.04,2.5,0.9456704
0.04,2.75,0.9498638
0.04,3,0.9524711
0.04,3.25,0.9552374
0.04,3.5,0.9535093
0.04,3.75,0.9553429
0.04,4,0.9589248
0.04,4.25,0.9599047
0.04,4.5,0.9607899
0.04,4.75,0.9614645
0.04,5,0.9621405
0.04,5.25,0.9628438
0.04,5.5,0.9655823
0.04,5.75,0.9647303
0.04,6,0.964585
0.045,1,0.8422273
0.045,1.25,0.8944313
0.045,1.5,0.9145677
0.045,1.75,0.9287215
0.045,2,0.9323602
0.045,2.25,0.9392865
0.045,2.5,0.9408565
0.045,2.75,0.9483843
0.045,3,0.9490369
0.045,3.25,0.9514053
0.045,3.5,0.9561429
0.045,3.75,0.9561267
0.045,4,0.9601672
0.045,4.25,0.9576354
0.045,4.5,0.9603374
0.045,4.75,0.9611029
0.045,5,0.9609356
0.045,5.25,0.9630528
0.045,5.5,0.963927
0.045,5.75,0.9652257
0.045,6,0.9637013
0.05,1,0.8169424
0.05,1.25,0.8816673
0.05,1.5,0.9106049
0.05,1.75,0.9272136
0.05,2,0.9340266
0.05,2.25,0.9382307
0.05,2.5,0.9419956
0.05,2.75,0.9483286
0.05,3,0.949712
0.05,3.25,0.9524191
0.05,3.5,0.9536726
0.05,3.75,0.9558615
0.05,4,0.9589477
0.05,4.25,0.959909
0.05,4.5,0.9600099
0.05,4.75,0.9601184
0.05,5,0.9620334
0.05,5.25,0.9629884
0.05,5.5,0.9624585
0.05,5.75,0.9634985
0.05,6,0.963493
0.055,1,0.7716504
0.055,1.25,0.8747558
0.055,1.5,0.9114098
0.055,1.75,0.9251734
0.055,2,0.9354309
0.055,2.25,0.9402094
0.055,2.5,0.9429391
0.055,2.75,0.9482855
0.055,3,0.9509168
0.055,3.25,0.9547095
0.055,3.5,0.9564368
0.055,3.75,0.9556511
0.055,4,0.9580419
0.055,4.25,0.9600934
0.055,4.5,0.961145
0.055,4.75,0.9610133
0.055,5,0.9626396
0.055,5.25,0.9614931
0.055,5.5,0.9631327
0.055,5.75,0.9628582
0.055,6,0.9649444
0.06,1,0.7149825
0.06,1.25,0.8704125
0.06,1.5,0.9108512
0.06,1.75,0.9242423
0.06,2,0.9361966
0.06,2.25,0.9407874
0.06,2.5,0.9473739
0.06,2.75,0.9493013
0.06,3,0.950996
0.06,3.25,0.9546028
0.06,3.5,0.9551812
0.06,3.75,0.9555816
0.06,4,0.9580686
0.06,4.25,0.9603821
0.06,4.5,0.9621772
0.06,4.75,0.9605701
0.06,5,0.9613918
0.06,5.25,0.9645703
0.06,5.5,0.9646512
0.06,5.75,0.9638928
0.06,6,0.9641889
0.065,1,0.6388455
