Migration Rate,Relative Center Density,1L1T - Invasion
0.02,1,0.002885924
0.02,1.25,0.02086852
0.02,1.5,0.05711926
0.02,1.75,0.07652397
0.02,2,0.09153284
0.02,2.25,0.10426484
0.02,2.5,0.1133081
0.02,2.75,0.1226907
0.02,3,0.1303188
0.02,3.25,0.1382747
0.02,3.5,0.1488708
0.02,3.75,0.1519896
0.02,4,0.1536442
0.02,4.25,0.1599985
0.02,4.5,0.1669159
0.02,4.75,0.1738139
0.02,5,0.1775337
0.02,5.25,0.1799273
0.02,5.5,0.19103
0.02,5.75,0.1901846
0.02,6,0.196268
0.025,1,0.002554895
0.025,1.25,0.02356817
0.025,1.5,0.06411731
0.025,1.75,0.09556803
0.025,2,0.112098
0.025,2.25,0.1289405
0.025,2.5,0.1398009
0.025,2.75,0.1539614
0.025,3,0.16045
0.025,3.25,0.1667003
0.025,3.5,0.1762625
0.025,3.75,0.1856105
0.025,4,0.1932341
0.025,4.25,0.2055244
0.025,4.5,0.2079107
0.025,4.75,0.2133995
0.025,5,0.2218233
0.025,5.25,0.2247865
0.025,5.5,0.2326358
0.025,5.75,0.2359842
0.025,6,0.2493547
0.03,1,0.002105241
0.03,1.25,0.019649364
0.03,1.5,0.06776798
0.03,1.75,0.10999557
0.03,2,0.131491
0.03,2.25,0.1455533
0.03,2.5,0.1621218
0.03,2.75,0.1812546
0.03,3,0.1950333
0.03,3.25,0.2075193
0.03,3.5,0.2153645
0.03,3.75,0.2205512
0.03,4,0.2343706
0.03,4.25,0.2462881
0.03,4.5,0.2510368
0.03,4.75,0.2592421
0.03,5,0.2625618
0.03,5.25,0.2733984
0.03,5.5,0.2814224
0.03,5.75,0.285452
0.03,6,0.2927964
0.035,1,0.000995871
0.035,1.25,0.008928005
0.035,1.5,0.07894329
0.035,1.75,0.1189183
0.035,2,0.1504056
0.035,2.25,0.1707276
0.035,2.5,0.1942319
0.035,2.75,0.212372
0.035,3,0.2230157
0.035,3.25,0.2359794
0.035,3.5,0.2532784
0.035,3.75,0.2614365
0.035,4,0.2725987
0.035,4.25,0.2817928
0.035,4.5,0.2921791
0.035,4.75,0.2961312
0.035,5,0.3145538
0.035,5.25,0.3207062
0.035,5.5,0.3281681
0.035,5.75,0.3379283
0.035,6,0.3462422
0.04,1,8.11E-05
0.04,1.25,0.003517473
0.04,1.5,0.07154203
0.04,1.75,0.1353097
0.04,2,0.1651914
0.04,2.25,0.1973943
0.04,2.5,0.2164024
0.04,2.75,0.2354552
0.04,3,0.2536475
0.04,3.25,0.2699536
0.04,3.5,0.282912
0.04,3.75,0.2954673
0.04,4,0.3119159
0.04,4.25,0.3253937
0.04,4.5,0.3349742
0.04,4.75,0.3455856
0.04,5,0.3549289
0.04,5.25,0.3680757
0.04,5.5,0.3739862
0.04,5.75,0.3889045
0.04,6,0.3920934
0.045,1,0
0.045,1.25,0.001111016
0.045,1.5,0.05967474
0.045,1.75,0.1418942
0.045,2,0.1859233
0.045,2.25,0.2164954
0.045,2.5,0.2452342
0.045,2.75,0.2655119
0.045,3,0.2818995
0.045,3.25,0.3079387
0.045,3.5,0.3223693
0.045,3.75,0.3413158
0.045,4,0.3557368
0.045,4.25,0.3697308
0.045,4.5,0.3794236
0.045,4.75,0.3932437
0.045,5,0.4093471
0.045,5.25,0.4284496
0.045,5.5,0.4373796
0.045,5.75,0.4439402
0.045,6,0.4552405
0.05,1,0
0.05,1.25,5.81E-06
0.05,1.5,0.03974336
0.05,1.75,0.1457465
0.05,2,0.1979001
0.05,2.25,0.2381749
0.05,2.5,0.2628482
0.05,2.75,0.2941593
0.05,3,0.3157948
0.05,3.25,0.3393057
0.05,3.5,0.3616963
0.05,3.75,0.3845348
0.05,4,0.4019808
0.05,4.25,0.4174906
0.05,4.5,0.4289308
0.05,4.75,0.4552802
0.05,5,0.4713446
0.05,5.25,0.4964408
0.05,5.5,0.5071469
0.05,5.75,0.5206829
0.05,6,0.5415222
0.055,1,0
0.055,1.25,0
0.055,1.5,0.006096398
0.055,1.75,0.1552153
0.055,2,0.2152722
0.055,2.25,0.2582825
0.055,2.5,0.2980436
0.055,2.75,0.3300962
0.055,3,0.3610832
0.055,3.25,0.3925566
0.055,3.5,0.4175727
0.055,3.75,0.4464961
0.055,4,0.4667905
0.055,4.25,0.5069655
0.055,4.5,0.5235563
0.055,4.75,0.5634741
0.055,5,0.6011818
0.055,5.25,0.6414213
0.055,5.5,0.6478063
0.055,5.75,0.6602732
0.055,6,0.7139369
0.06,1,0
0.06,1.25,0
0.06,1.5,0.000132323
0.06,1.75,0.14186304
0.06,2,0.2303313
0.06,2.25,0.2822507
0.06,2.5,0.3267318
0.06,2.75,0.3686184
0.06,3,0.4125025
0.06,3.25,0.4587153
0.06,3.5,0.5106607
0.06,3.75,0.5346147
