Migration Rate,Relative Center Density,RCT - Invasion
0.02,1,0.003479879
0.02,1.25,0.014813845
0.02,1.5,0.04027458
0.02,1.75,0.07063374
0.02,2,0.08889513
0.02,2.25,0.10181289
0.02,2.5,0.1194926
0.02,2.75,0.1270158
0.02,3,0.1306894
0.02,3.25,0.1409664
0.02,3.5,0.1453543
0.02,3.75,0.153825
0.02,4,0.1576973
0.02,4.25,0.1671658
0.02,4.5,0.1751504
0.02,4.75,0.1759957
0.02,5,0.1830684
0.02,5.25,0.1809767
0.02,5.5,0.193079
0.02,5.75,0.1964936
0.02,6,0.2001626
0.025,1,0.002803437
0.025,1.25,0.01327956
0.025,1.5,0.0425155
0.025,1.75,0.08365371
0.025,2,0.10910612
0.025,2.25,0.1271831
0.025,2.5,0.1385361
0.025,2.75,0.1557951
0.025,3,0.1654334
0.025,3.25,0.1776005
0.025,3.5,0.1856428
0.025,3.75,0.1970795
0.025,4,0.2054415
0.025,4.25,0.212938
0.025,4.5,0.2143994
0.025,4.75,0.2219582
0.025,5,0.23095
0.025,5.25,0.2381168
0.025,5.5,0.2409887
0.025,5.75,0.2443707
0.025,6,0.2559008
0.03,1,0.001762548
0.03,1.25,0.009191728
0.03,1.5,0.053306
0.03,1.75,0.09906292
0.03,2,0.1301774
0.03,2.25,0.1487952
0.03,2.5,0.1709084
0.03,2.75,0.1880345
0.03,3,0.1976962
0.03,3.25,0.2142099
0.03,3.5,0.224778
0.03,3.75,0.2335524
0.03,4,0.2486508
0.03,4.25,0.2557036
0.03,4.5,0.2655886
0.03,4.75,0.2683508
0.03,5,0.2804086
0.03,5.25,0.2876731
0.03,5.5,0.2954948
0.03,5.75,0.3072398
0.03,6,0.3081986
0.035,1,0.000856405
0.035,1.25,0.005208096
0.035,1.5,0.04313498
0.035,1.75,0.10334267
0.035,2,0.1489202
0.035,2.25,0.1782533
0.035,2.5,0.2018733
0.035,2.75,0.2188545
0.035,3,0.2319332
0.035,3.25,0.2521252
0.035,3.5,0.2621881
0.035,3.75,0.2782736
0.035,4,0.2898763
0.035,4.25,0.3037376
0.035,4.5,0.3096809
0.035,4.75,0.3204566
0.035,5,0.3347663
0.035,5.25,0.3467761
0.035,5.5,0.3464701
0.035,5.75,0.3611455
0.035,6,0.3682829
0.04,1,0.000161385
0.04,1.25,0.002536917
0.04,1.5,0.02818806
0.04,1.75,0.10474935
0.04,2,0.1591803
0.04,2.25,0.1990415
0.04,2.5,0.2306361
0.04,2.75,0.2509784
0.04,3,0.2707385
0.04,3.25,0.2904686
0.04,3.5,0.3078548
0.04,3.75,0.3227763
0.04,4,0.339606
0.04,4.25,0.3494679
0.04,4.5,0.3666191
0.04,4.75,0.3795019
0.04,5,0.3942358
0.04,5.25,0.3999309
0.04,5.5,0.4116055
0.04,5.75,0.41994
0.04,6,0.4313999
0.045,1,1.16E-05
0.045,1.25,0.00025812
0.045,1.5,0.014410962
0.045,1.75,0.1015469
0.045,2,0.1765732
0.045,2.25,0.2139976
0.045,2.5,0.2450274
0.045,2.75,0.2856045
0.045,3,0.3117661
0.045,3.25,0.3332848
0.045,3.5,0.3613123
0.045,3.75,0.3786652
0.045,4,0.3923686
0.045,4.25,0.4116835
0.045,4.5,0.435155
0.045,4.75,0.4474855
0.045,5,0.4628802
0.045,5.25,0.4743814
0.045,5.5,0.4969614
0.045,5.75,0.5110722
0.045,6,0.5244697
0.05,1,0
0.05,1.25,2.86E-05
0.05,1.5,0.003013313
0.05,1.75,0.0653501
0.05,2,0.1769235
0.05,2.25,0.2361764
0.05,2.5,0.293728
0.05,2.75,0.3266544
0.05,3,0.361696
0.05,3.25,0.3824611
0.05,3.5,0.4206334
0.05,3.75,0.4502864
0.05,4,0.4757083
0.05,4.25,0.5048598
0.05,4.5,0.5216649
0.05,4.75,0.5488028
0.05,5,0.5751653
0.05,5.25,0.5999797
0.05,5.5,0.6135428
0.05,5.75,0.6239385
0.05,6,0.6596215
0.055,1,0
0.055,1.25,0
0.055,1.5,6.23E-05
0.055,1.75,0.016155064
0.055,2,0.1653399
0.055,2.25,0.2552672
0.055,2.5,0.31966
0.055,2.75,0.3663773
0.055,3,0.4209522
0.055,3.25,0.4650677
0.055,3.5,0.5011756
0.055,3.75,0.550247
0.055,4,0.5839572
0.055,4.25,0.62272
0.055,4.5,0.6477116
0.055,4.75,0.6797698
0.055,5,0.701757
0.055,5.25,0.7364002
0.055,5.5,0.7542966
0.055,5.75,0.7771251
0.055,6,0.7858099
0.06,1,0
0.06,1.25,0
0.06,1.5,1.71E-05
0.06,1.75,0.001076899
0.06,2,0.12816515
0.06,2.25,0.2703245
0.06,2.5,0.3568167
0.06,2.75,0.4339499
0.06,3,0.5022661
0.06,3.25,0.5632039
0.06,3.5,0.6151336
0.06,3.75,0.663389
0.06,4,0.7011668
0.06,4.25,0.751803
0.06,4.5,0.7831823
0.06,4.75,0.8007342
0.06,5,0.8237079
0.06,5.25,0.8448169
0.06,5.5,0.86406
0.06,5.75,0.8752214
0.06,6,0.9015069
0.065,1,0
0.065,1.25,0
0.065,1.5,0
0.065,1.75,4.49E-05
0.065,2,0.036438784
0.065,2.25,0.2656605
0.065,2.5,0.3917358
0.065,2.75,0.4946667
0.065,3,0.5908814
0.065,3.25,0.6671673
0.065,3.5,0.7399306
0.065,3.75,0.7897902
0.065,4,0.8293867
0.065,4.25,0.8676031
0.065,4.5,0.8907429
0.065,4.75,0.9101418
0.065,5,0.9271512
0.065,5.25,0.9404127
0.065,5.5,0.9566376
0.065,5.75,0.9635527
0.065,6,0.9698444
0.07,1,0
0.07,1.25,0
0.07,1.5,0
0.07,1.75,1.12E-05
0.07,2,0.001129683
0.07,2.25,0.17209699
0.07,2.5,0.4102708
0.07,2.75,0.5596907
0.07,3,0.6885778
0.07,3.25,0.7852845
0.07,3.5,0.8593815
0.07,3.75,0.9002704
0.07,4,0.9328787
0.07,4.25,0.9510737
0.07,4.5,0.9661272
0.07,4.75,0.9776297
0.07,5,0.9829537
0.07,5.25,0.9888883
0.07,5.5,0.9943523
0.07,5.75,0.9959456
0.07,6,0.9981379
0.075,1,0
0.075,1.25,0
0.075,1.5,0
0.075,1.75,0
0.075,2,4.42E-05
0.075,2.25,0.007408469
0.075,2.5,0.4097433
0.075,2.75,0.6265892
0.075,3,0.8048048
0.075,3.25,0.8867579
0.075,3.5,0.9324335
0.075,3.75,0.9688213
0.075,4,0.9785129
0.075,4.25,0.9913727
0.075,4.5,0.9961271
0.075,4.75,0.997421
