Fitness,Migration Rate,2L2T - Persistance
0.6,0.02,0.4461627
0.6,0.025,0.3267087
0.6,0.03,0.2320255
0.6,0.035,0.1472807
0.6,0.04,0.08057907
0.6,0.045,0.010955999
0.6,0.05,9.08E-05
0.6,0.055,0
0.6,0.06,0
0.6,0.065,0
0.6,0.07,0
0.6,0.075,0
0.6,0.08,0
0.6,0.085,0
0.6,0.09,0
0.6,0.095,0
0.6,0.1,0
0.62,0.02,0.4899413
0.62,0.025,0.3810112
0.62,0.03,0.2880866
0.62,0.035,0.2112088
0.62,0.04,0.14313605
0.62,0.045,0.07594305
0.62,0.05,0.013315067
0.62,0.055,0.000423882
0.62,0.06,0
0.62,0.065,0
0.62,0.07,0
0.62,0.075,0
0.62,0.08,0
0.62,0.085,0
0.62,0.09,0
0.62,0.095,0
0.62,0.1,0
0.64,0.02,0.5430209
0.64,0.025,0.4531429
0.64,0.03,0.3548776
0.64,0.035,0.313033
0.64,0.04,0.2225473
0.64,0.045,0.1545003
0.64,0.05,0.09482923
0.64,0.055,0.027314904
0.64,0.06,0.001973491
0.64,0.065,9.07E-06
0.64,0.07,0
0.64,0.075,0
0.64,0.08,0
0.64,0.085,0
0.64,0.09,0
0.64,0.095,0
0.64,0.1,0
0.66,0.02,0.6051708
0.66,0.025,0.5199108
0.66,0.03,0.4428809
0.66,0.035,0.3803081
0.66,0.04,0.3028054
0.66,0.045,0.2381601
0.66,0.05,0.1803004
0.66,0.055,0.10927656
0.66,0.06,0.05029982
0.66,0.065,0.011758136
0.66,0.07,0.000356092
0.66,0.075,9.31E-06
0.66,0.08,0
0.66,0.085,0
0.66,0.09,0
0.66,0.095,0
0.66,0.1,0
0.68,0.02,0.6828473
0.68,0.025,0.581387
0.68,0.03,0.5284509
0.68,0.035,0.4385058
0.68,0.04,0.385005
0.68,0.045,0.328018
0.68,0.05,0.2927276
0.68,0.055,0.2444303
0.68,0.06,0.1646831
0.68,0.065,0.11044744
0.68,0.07,0.042707795
0.68,0.075,0.013151233
0.68,0.08,0.000466729
0.68,0.085,2.71E-05
0.68,0.09,0
0.68,0.095,0
0.68,0.1,0
0.7,0.02,0.7201045
0.7,0.025,0.6370291
0.7,0.03,0.5961437
0.7,0.035,0.5276411
0.7,0.04,0.4845473
0.7,0.045,0.4340823
0.7,0.05,0.3758546
0.7,0.055,0.346576
0.7,0.06,0.3033228
0.7,0.065,0.2538433
0.7,0.07,0.1850801
0.7,0.075,0.14127822
0.7,0.08,0.058745385
0.7,0.085,0.031229721
0.7,0.09,0.001378823
0.7,0.095,4.50E-05
0.7,0.1,0
0.72,0.02,0.7803233
0.72,0.025,0.7245352
0.72,0.03,0.6432191
0.72,0.035,0.600262
0.72,0.04,0.5619241
0.72,0.045,0.5305187
0.72,0.05,0.498058
0.72,0.055,0.4529824
0.72,0.06,0.4174831
0.72,0.065,0.3781645
0.72,0.07,0.3512364
0.72,0.075,0.3049608
0.72,0.08,0.2706137
0.72,0.085,0.2312809
0.72,0.09,0.1463398
0.72,0.095,0.05158827
0.72,0.1,0.008654831
0.74,0.02,0.8190419
0.74,0.025,0.7861268
0.74,0.03,0.7354107
0.74,0.035,0.7036258
0.74,0.04,0.6771892
0.74,0.045,0.6243251
0.74,0.05,0.598852
0.74,0.055,0.5645372
0.74,0.06,0.5385429
0.74,0.065,0.5163625
0.74,0.07,0.4969061
0.74,0.075,0.4575509
0.74,0.08,0.4311761
0.74,0.085,0.4101241
0.74,0.09,0.3797272
0.74,0.095,0.329545
0.74,0.1,0.287148
0.76,0.02,0.873801
0.76,0.025,0.8138519
0.76,0.03,0.8002084
0.76,0.035,0.7741975
0.76,0.04,0.7625918
0.76,0.045,0.7290096
0.76,0.05,0.7080762
0.76,0.055,0.6817282
0.76,0.06,0.6466089
0.76,0.065,0.6489158
0.76,0.07,0.6192644
0.76,0.075,0.616677
0.76,0.08,0.6080241
0.76,0.085,0.5944097
0.76,0.09,0.5292388
0.76,0.095,0.5360968
0.76,0.1,0.49835
0.78,0.02,0.9063338
0.78,0.025,0.8782193
0.78,0.03,0.8568625
0.78,0.035,0.8312639
0.78,0.04,0.8091043
0.78,0.045,0.7970838
0.78,0.05,0.782841
0.78,0.055,0.7717341
0.78,0.06,0.7599354
0.78,0.065,0.7496118
0.78,0.07,0.7353184
0.78,0.075,0.7267301
0.78,0.08,0.7120438
0.78,0.085,0.6960964
0.78,0.09,0.6836457
0.78,0.095,0.6748246
0.78,0.1,0.6557324
0.8,0.02,0.9288577
0.8,0.025,0.9003371
0.8,0.03,0.887101
0.8,0.035,0.864739
0.8,0.04,0.8633267
0.8,0.045,0.8569407
0.8,0.05,0.8324078
0.8,0.055,0.8400469
0.8,0.06,0.8326151
0.8,0.065,0.826768
0.8,0.07,0.8134268
0.8,0.075,0.8124125
0.8,0.08,0.8047318
0.8,0.085,0.7857807
0.8,0.09,0.7919009
0.8,0.095,0.7756813
0.8,0.1,0.7769947
0.82,0.02,0.9395393
0.82,0.025,0.9233771
0.82,0.03,0.9091144
0.82,0.035,0.8941624
0.82,0.04,0.8848088
0.82,0.045,0.8836394
0.82,0.05,0.8762656
0.82,0.055,0.8782161
0.82,0.06,0.8719787
0.82,0.065,0.8670232
0.82,0.07,0.8581656
0.82,0.075,0.8503788
0.82,0.08,0.8490481
0.82,0.085,0.8422921
0.82,0.09,0.8404853
0.82,0.095,0.8417756
0.82,0.1,0.8340799
0.84,0.02,0.9539497
0.84,0.025,0.9446374
0.84,0.03,0.9280953
0.84,0.035,0.9209725
0.84,0.04,0.9109287
0.84,0.045,0.9089757
0.84,0.05,0.9017349
0.84,0.055,0.893394
0.84,0.06,0.8961185
0.84,0.065,0.8835537
0.84,0.07,0.886569
0.84,0.075,0.8791159
0.84,0.08,0.8757848
0.84,0.085,0.8742979
0.84,0.09,0.8752017
0.84,0.095,0.8703512
0.84,0.1,0.8719751
0.86,0.02,0.9668204
0.86,0.025,0.950302
0.86,0.03,0.9394898
0.86,0.035,0.9363703
0.86,0.04,0.9318788
0.86,0.045,0.9216471
0.86,0.05,0.9175078
0.86,0.055,0.9147302
0.86,0.06,0.9133287
0.86,0.065,0.9064799
0.86,0.07,0.9055711
0.86,0.075,0.9005634
0.86,0.08,0.9038052
0.86,0.085,0.9007585
0.86,0.09,0.8992031
0.86,0.095,0.9034557
0.86,0.1,0.9014029
0.88,0.02,0.9714497
0.88,0.025,0.9602252
0.88,0.03,0.9524211
0.88,0.035,0.9415074
0.88,0.04,0.9358014
0.88,0.045,0.9343665
0.88,0.05,0.9294224
0.88,0.055,0.925122
0.88,0.06,0.9245945
0.88,0.065,0.9228648
0.88,0.07,0.9194841
0.88,0.075,0.9180182
0.88,0.08,0.9174096
0.88,0.085,0.9198603
0.88,0.09,0.9148744
0.88,0.095,0.9202076
0.88,0.1,0.9277288
0.9,0.02,0.9752231
0.9,0.025,0.966338
0.9,0.03,0.9587155
0.9,0.035,0.9503093
0.9,0.04,0.9487178
0.9,0.045,0.9425109
0.9,0.05,0.9415825
0.9,0.055,0.9371518
0.9,0.06,0.9343058
0.9,0.065,0.9331522
0.9,0.07,0.9324086
0.9,0.075,0.9310531
0.9,0.08,0.9348915
0.9,0.085,0.9337414
