Fitness,Migration Rate,Normal Allele - Persistance
0.6,0.02,0.003839495
0.6,0.025,0.000306839
0.6,0.03,0.000308699
0.6,0.035,2.70E-05
0.6,0.04,0
0.6,0.045,9.13E-06
0.6,0.05,0
0.6,0.055,0
0.6,0.06,0
0.6,0.065,0
0.6,0.07,0
0.6,0.075,0
0.6,0.08,0
0.6,0.085,0
0.6,0.09,0
0.6,0.095,9.15E-06
0.6,0.1,0
0.62,0.02,0.009001384
0.62,0.025,0.000841762
0.62,0.03,0.000218673
0.62,0.035,0.000126471
0.62,0.04,5.46E-05
0.62,0.045,0
0.62,0.05,0
0.62,0.055,0
0.62,0.06,4.58E-05
0.62,0.065,0
0.62,0.07,0
0.62,0.075,0
0.62,0.08,0
0.62,0.085,0
0.62,0.09,0
0.62,0.095,0
0.62,0.1,0
0.64,0.02,0.015378045
0.64,0.025,0.002591321
0.64,0.03,0.000475868
0.64,0.035,0.000328135
0.64,0.04,0
0.64,0.045,7.42E-05
0.64,0.05,2.66E-05
0.64,0.055,6.43E-05
0.64,0.06,1.79E-05
0.64,0.065,2.72E-05
0.64,0.07,2.72E-05
0.64,0.075,0
0.64,0.08,2.74E-05
0.64,0.085,0
0.64,0.09,0
0.64,0.095,0
0.64,0.1,3.58E-05
0.66,0.02,0.02454224
0.66,0.025,0.004304041
0.66,0.03,0.00102989
0.66,0.035,0.000702417
0.66,0.04,0.000446243
0.66,0.045,0.000137134
0.66,0.05,0.000108857
0.66,0.055,0.000152807
0.66,0.06,8.98E-06
0.66,0.065,4.54E-05
0.66,0.07,0
0.66,0.075,0
0.66,0.08,9.21E-06
0.66,0.085,2.72E-05
0.66,0.09,0.000100502
0.66,0.095,0
0.66,0.1,0
0.68,0.02,0.04353201
0.68,0.025,0.009622147
0.68,0.03,0.002583288
0.68,0.035,0.001511111
0.68,0.04,0.000469401
0.68,0.045,0.000155518
0.68,0.05,0.000353959
0.68,0.055,0.000209415
0.68,0.06,0.00029185
0.68,0.065,8.01E-05
0.68,0.07,0.00018276
0.68,0.075,0.000100539
0.68,0.08,2.79E-05
0.68,0.085,4.55E-05
0.68,0.09,0.000146236
0.68,0.095,7.29E-05
0.68,0.1,0
0.7,0.02,0.06278062
0.7,0.025,0.013683636
0.7,0.03,0.004533194
0.7,0.035,0.001937496
0.7,0.04,0.001311108
0.7,0.045,0.000865144
0.7,0.05,0.000372053
0.7,0.055,0.000288568
0.7,0.06,0.000471785
0.7,0.065,0.000334693
0.7,0.07,7.27E-05
0.7,0.075,0.000198154
0.7,0.08,2.72E-05
0.7,0.085,0.00012947
0.7,0.09,6.32E-05
0.7,0.095,8.22E-05
0.7,0.1,2.72E-05
0.72,0.02,0.09876764
0.72,0.025,0.02686604
0.72,0.03,0.009427132
0.72,0.035,0.003897193
0.72,0.04,0.002281523
0.72,0.045,0.001994592
0.72,0.05,0.001084363
0.72,0.055,0.000428071
0.72,0.06,0.000558
0.72,0.065,0.000400407
0.72,0.07,0.000281175
0.72,0.075,0.000383573
0.72,0.08,0.000161036
0.72,0.085,0.00014631
0.72,0.09,0.000199794
0.72,0.095,0.000262234
0.72,0.1,8.11E-05
0.74,0.02,0.14255976
0.74,0.025,0.04236509
0.74,0.03,0.014852749
0.74,0.035,0.007731562
0.74,0.04,0.005033501
0.74,0.045,0.003004736
0.74,0.05,0.00147297
0.74,0.055,0.001337172
0.74,0.06,0.001363638
0.74,0.065,0.000823271
0.74,0.07,0.000558658
0.74,0.075,0.000522915
0.74,0.08,0.000513353
0.74,0.085,0.000471658
0.74,0.09,0.000226215
0.74,0.095,0.000490484
0.74,0.1,0.000419179
0.76,0.02,0.1804137
0.76,0.025,0.07202554
0.76,0.03,0.027342
0.76,0.035,0.01575715
0.76,0.04,0.009952624
0.76,0.045,0.005166802
0.76,0.05,0.004656971
0.76,0.055,0.002802914
0.76,0.06,0.003000035
0.76,0.065,0.002373055
0.76,0.07,0.001246521
0.76,0.075,0.001405722
0.76,0.08,0.001293239
0.76,0.085,0.001052479
0.76,0.09,0.000589449
0.76,0.095,0.000771103
0.76,0.1,0.000830717
0.78,0.02,0.2280954
0.78,0.025,0.10747326
0.78,0.03,0.04784337
0.78,0.035,0.02685632
0.78,0.04,0.01636428
0.78,0.045,0.012034745
0.78,0.05,0.008647695
0.78,0.055,0.005513895
0.78,0.06,0.004915228
0.78,0.065,0.003483728
0.78,0.07,0.003714502
0.78,0.075,0.0023892
0.78,0.08,0.002078733
0.78,0.085,0.002124722
0.78,0.09,0.001643967
0.78,0.095,0.001535551
0.78,0.1,0.001577026
0.8,0.02,0.2830516
0.8,0.025,0.1613822
0.8,0.03,0.08140998
0.8,0.035,0.04962727
0.8,0.04,0.03004864
0.8,0.045,0.02332026
0.8,0.05,0.01482629
0.8,0.055,0.009934211
0.8,0.06,0.006862467
0.8,0.065,0.00760283
0.8,0.07,0.00665129
0.8,0.075,0.005561195
0.8,0.08,0.004243778
0.8,0.085,0.003305096
0.8,0.09,0.003760514
0.8,0.095,0.003303951
0.8,0.1,0.002877367
