Fitness,Migration Rate,2L2T - Invasion
0.6,0.02,9.08E-06
0.6,0.025,0
0.6,0.03,0
0.6,0.035,0
0.6,0.04,0
0.6,0.045,0
0.6,0.05,0
0.6,0.055,0
0.6,0.06,0
0.6,0.065,0
0.6,0.07,0
0.6,0.075,0
0.6,0.08,0
0.6,0.085,0
0.6,0.09,0
0.6,0.095,0
0.6,0.1,0
0.62,0.02,8.96E-06
0.62,0.025,0
0.62,0.03,0
0.62,0.035,0
0.62,0.04,0
0.62,0.045,8.95E-06
0.62,0.05,0
0.62,0.055,0
0.62,0.06,0
0.62,0.065,0
0.62,0.07,0
0.62,0.075,0
0.62,0.08,0
0.62,0.085,0
0.62,0.09,0
0.62,0.095,0
0.62,0.1,0
0.64,0.02,2.73E-05
0.64,0.025,1.80E-05
0.64,0.03,9.03E-06
0.64,0.035,1.83E-05
0.64,0.04,1.79E-05
0.64,0.045,0
0.64,0.05,2.64E-05
0.64,0.055,9.07E-06
0.64,0.06,0
0.64,0.065,0
0.64,0.07,0
0.64,0.075,0
0.64,0.08,0
0.64,0.085,0
0.64,0.09,0
0.64,0.095,0
0.64,0.1,0
0.66,0.02,6.35E-05
0.66,0.025,7.23E-05
0.66,0.03,2.70E-05
0.66,0.035,5.38E-05
0.66,0.04,3.54E-05
0.66,0.045,0.000116442
0.66,0.05,6.23E-05
0.66,0.055,3.58E-05
0.66,0.06,4.50E-05
0.66,0.065,4.52E-05
0.66,0.07,9.00E-06
0.66,0.075,0
0.66,0.08,0
0.66,0.085,0
0.66,0.09,0
0.66,0.095,0
0.66,0.1,0
0.68,0.02,0.000254806
0.68,0.025,0.000136816
0.68,0.03,0.000225905
0.68,0.035,0.000162603
0.68,0.04,0.000116192
0.68,0.045,0.000231518
0.68,0.05,0.000276667
0.68,0.055,0.000168246
0.68,0.06,0.000238319
0.68,0.065,0.000132853
0.68,0.07,0.000142041
0.68,0.075,0.000106706
0.68,0.08,9.03E-06
0.68,0.085,0
0.68,0.09,0
0.68,0.095,0
0.68,0.1,0
0.7,0.02,0.000417888
0.7,0.025,0.000301066
0.7,0.03,0.000508603
0.7,0.035,0.000252475
0.7,0.04,0.000441089
0.7,0.045,0.000544147
0.7,0.05,0.000474482
0.7,0.055,0.000536306
0.7,0.06,0.000654898
0.7,0.065,0.000700844
0.7,0.07,0.000561947
0.7,0.075,0.000539886
0.7,0.08,0.000376994
0.7,0.085,0.000239283
0.7,0.09,1.81E-05
0.7,0.095,2.73E-05
0.7,0.1,0
0.72,0.02,0.001730794
0.72,0.025,0.001364493
0.72,0.03,0.00069179
0.72,0.035,0.000864617
0.72,0.04,0.001150916
0.72,0.045,0.001357866
0.72,0.05,0.001611248
0.72,0.055,0.001353792
0.72,0.06,0.001569449
0.72,0.065,0.00170114
0.72,0.07,0.001856724
0.72,0.075,0.001653307
0.72,0.08,0.00179138
0.72,0.085,0.001913106
0.72,0.09,0.001316039
0.72,0.095,0.000908678
0.72,0.1,0.000206044
0.74,0.02,0.002352266
0.74,0.025,0.003081887
0.74,0.03,0.002995314
0.74,0.035,0.003770149
0.74,0.04,0.00376229
0.74,0.045,0.003190451
0.74,0.05,0.003746078
0.74,0.055,0.003724333
0.74,0.06,0.003924275
0.74,0.065,0.00481109
0.74,0.07,0.00551601
0.74,0.075,0.004889291
0.74,0.08,0.00534247
0.74,0.085,0.005532677
0.74,0.09,0.006554955
0.74,0.095,0.005158602
0.74,0.1,0.005433935
0.76,0.02,0.00726492
0.76,0.025,0.005822936
0.76,0.03,0.008711885
0.76,0.035,0.007688122
0.76,0.04,0.00936188
0.76,0.045,0.009775823
0.76,0.05,0.010824105
0.76,0.055,0.009638318
0.76,0.06,0.009354775
0.76,0.065,0.01234338
0.76,0.07,0.012241198
