Fitness,Migration Rate,Normal Allele - Invasion
0.6,0.02,0
0.6,0.025,0
0.6,0.03,0
0.6,0.035,0
0.6,0.04,9.13E-06
0.6,0.045,0
0.6,0.05,0
0.6,0.055,0
0.6,0.06,0
0.6,0.065,0
0.6,0.07,0
0.6,0.075,0
0.6,0.08,0
0.6,0.085,0
0.6,0.09,0
0.6,0.095,0
0.6,0.1,0
0.62,0.02,0
0.62,0.025,0
0.62,0.03,0
0.62,0.035,9.10E-06
0.62,0.04,0
0.62,0.045,0
0.62,0.05,1.82E-05
0.62,0.055,0
0.62,0.06,8.95E-06
0.62,0.065,0
0.62,0.07,0
0.62,0.075,0
0.62,0.08,0
0.62,0.085,0
0.62,0.09,0
0.62,0.095,0
0.62,0.1,0
0.64,0.02,2.73E-05
0.64,0.025,0
0.64,0.03,9.24E-06
0.64,0.035,1.81E-05
0.64,0.04,0
0.64,0.045,0
0.64,0.05,0
0.64,0.055,0
0.64,0.06,9.06E-06
0.64,0.065,1.81E-05
0.64,0.07,0
0.64,0.075,0
0.64,0.08,0
0.64,0.085,0
0.64,0.09,0
0.64,0.095,0
0.64,0.1,5.52E-05
0.66,0.02,2.71E-05
0.66,0.025,4.47E-05
0.66,0.03,3.59E-05
0.66,0.035,8.99E-06
0.66,0.04,8.97E-06
0.66,0.045,0
0.66,0.05,0
0.66,0.055,9.04E-06
0.66,0.06,0
0.66,0.065,0
0.66,0.07,0
0.66,0.075,0
0.66,0.08,9.03E-06
0.66,0.085,9.05E-06
0.66,0.09,0
0.66,0.095,0
0.66,0.1,0
0.68,0.02,2.68E-05
0.68,0.025,9.05E-06
0.68,0.03,2.76E-05
0.68,0.035,1.81E-05
0.68,0.04,8.18E-05
0.68,0.045,0
0.68,0.05,9.14E-06
0.68,0.055,0.000115377
0.68,0.06,4.55E-05
0.68,0.065,3.61E-05
0.68,0.07,1.79E-05
0.68,0.075,9.10E-06
0.68,0.08,1.77E-05
0.68,0.085,9.02E-06
0.68,0.09,8.15E-05
0.68,0.095,3.62E-05
0.68,0.1,0
0.7,0.02,9.01E-05
0.7,0.025,6.36E-05
0.7,0.03,5.48E-05
0.7,0.035,7.27E-05
0.7,0.04,0.000145795
0.7,0.045,7.35E-05
0.7,0.05,1.82E-05
0.7,0.055,2.71E-05
0.7,0.06,2.68E-05
0.7,0.065,8.18E-05
0.7,0.07,7.22E-05
0.7,0.075,1.82E-05
0.7,0.08,8.11E-05
0.7,0.085,5.43E-05
0.7,0.09,0.000118208
