Fitness,Migration Rate,1L1T - Persistance
0.6,0.02,0.3858224
0.62,0.02,0.4328097
0.64,0.02,0.5170146
0.66,0.02,0.6027319
0.68,0.02,0.6509467
0.7,0.02,0.7254704
0.72,0.02,0.7613044
0.74,0.02,0.8245492
0.76,0.02,0.8376913
0.78,0.02,0.8748432
0.8,0.02,0.8906363
0.82,0.02,0.9034314
0.84,0.02,0.9126256
0.86,0.02,0.9244093
0.88,0.02,0.933175
0.9,0.02,0.94529
0.92,0.02,0.9587541
0.94,0.02,0.9677998
0.96,0.02,0.9868312
0.98,0.02,0.9920854
1,0.02,0.9934296
0.6,0.025,0.14340561
0.62,0.025,0.2272875
0.64,0.025,0.282683
0.66,0.025,0.4117422
0.68,0.025,0.5123944
0.7,0.025,0.5890563
0.72,0.025,0.667879
0.74,0.025,0.7451408
0.76,0.025,0.8011635
0.78,0.025,0.8247836
0.8,0.025,0.8657132
0.82,0.025,0.8924105
0.84,0.025,0.8961092
0.86,0.025,0.9064241
0.88,0.025,0.926312
0.9,0.025,0.9405871
0.92,0.025,0.9550353
0.94,0.025,0.9628867
0.96,0.025,0.9764833
0.98,0.025,0.9886419
1,0.025,0.9949591
0.6,0.03,0.016634
0.62,0.03,0.06628343
0.64,0.03,0.1371188
0.66,0.03,0.2238175
0.68,0.03,0.3385839
0.7,0.03,0.4547147
0.72,0.03,0.5290714
0.74,0.03,0.633881
0.76,0.03,0.7412611
0.78,0.03,0.8072029
0.8,0.03,0.8491048
0.82,0.03,0.8816143
0.84,0.03,0.8965224
0.86,0.03,0.9072254
0.88,0.03,0.9183277
0.9,0.03,0.9357861
0.92,0.03,0.9462324
0.94,0.03,0.9621016
0.96,0.03,0.9791305
0.98,0.03,0.9921227
1,0.03,0.9941922
0.6,0.035,0
0.62,0.035,0.000161561
0.64,0.035,0.018882645
0.66,0.035,0.09604478
0.68,0.035,0.1853692
0.7,0.035,0.3051017
0.72,0.035,0.4671248
0.74,0.035,0.5762341
0.76,0.035,0.7073158
0.78,0.035,0.7815497
0.8,0.035,0.8264867
0.82,0.035,0.8803823
0.84,0.035,0.8889976
0.86,0.035,0.9111966
0.88,0.035,0.921731
0.9,0.035,0.9327689
0.92,0.035,0.9391903
0.94,0.035,0.9591907
0.96,0.035,0.9682216
0.98,0.035,0.984675
1,0.035,0.9934907
0.6,0.04,0
0.62,0.04,0
0.64,0.04,8.30E-06
0.66,0.04,0.008974417
0.68,0.04,0.07857235
0.7,0.04,0.1947359
0.72,0.04,0.3063166
0.74,0.04,0.4575126
0.76,0.04,0.6482602
0.78,0.04,0.7543053
0.8,0.04,0.8442083
0.82,0.04,0.8774707
0.84,0.04,0.9045547
0.86,0.04,0.9112396
0.88,0.04,0.921811
0.9,0.04,0.9341357
0.92,0.04,0.9419889
0.94,0.04,0.9557962
0.96,0.04,0.9730836
0.98,0.04,0.9856817
1,0.04,0.9923265
0.6,0.045,0
0.62,0.045,0
0.64,0.045,0
0.66,0.045,0
0.68,0.045,0.010501162
0.7,0.045,0.09149888
0.72,0.045,0.2328136
0.74,0.045,0.3622247
0.76,0.045,0.6085612
0.78,0.045,0.7708787
0.8,0.045,0.8442311
0.82,0.045,0.8795366
0.84,0.045,0.9065106
0.86,0.045,0.9197571
0.88,0.045,0.9268088
0.9,0.045,0.9378882
0.92,0.045,0.942704
0.94,0.045,0.9567499
0.96,0.045,0.9761607
0.98,0.045,0.9860452
1,0.045,0.9916514
0.6,0.05,0
0.62,0.05,0
0.64,0.05,0
0.66,0.05,0
0.68,0.05,5.75E-05
0.7,0.05,0.016328231
0.72,0.05,0.16273664
0.74,0.05,0.3125546
0.76,0.05,0.5912784
0.78,0.05,0.7724444
0.8,0.05,0.8583718
0.82,0.05,0.8920166
0.84,0.05,0.9154814
0.86,0.05,0.9208364
0.88,0.05,0.9328316
0.9,0.05,0.9358182
0.92,0.05,0.9444719
0.94,0.05,0.9533646
0.96,0.05,0.9702079
0.98,0.05,0.9805941
1,0.05,0.9951065
0.6,0.055,0
0.62,0.055,0
0.64,0.055,0
0.66,0.055,0
0.68,0.055,0
0.7,0.055,0.000167634
0.72,0.055,0.068430169
0.74,0.055,0.2991499
0.76,0.055,0.6460557
0.78,0.055,0.7919751
0.8,0.055,0.8748903
0.82,0.055,0.8996062
0.84,0.055,0.9172845
0.86,0.055,0.9248164
0.88,0.055,0.9336707
0.9,0.055,0.9420481
0.92,0.055,0.9546301
0.94,0.055,0.96426
0.96,0.055,0.9690146
0.98,0.055,0.9820938
1,0.055,0.9924736
0.6,0.06,0
0.62,0.06,0
0.64,0.06,0
0.66,0.06,0
0.68,0.06,0
0.7,0.06,0.000987464
0.72,0.06,0.08797884
0.74,0.06,0.28734269
0.76,0.06,0.6214981
0.78,0.06,0.80966
0.8,0.06,0.8848811
0.82,0.06,0.9065513
0.84,0.06,0.9198265
0.86,0.06,0.9269466
0.88,0.06,0.9401408
0.9,0.06,0.9467537
0.92,0.06,0.9518401
0.94,0.06,0.9616901
0.96,0.06,0.9697646
0.98,0.06,0.9802752
1,0.06,0.9917354
0.6,0.065,0
0.62,0.065,0
0.64,0.065,0
0.66,0.065,0
0.68,0.065,0
0.7,0.065,0
0.72,0.065,0.048536501
0.74,0.065,0.3077411
0.76,0.065,0.6063429
0.78,0.065,0.8607077
0.8,0.065,0.902904
0.82,0.065,0.9185109
0.84,0.065,0.9206006
0.86,0.065,0.9348841
0.88,0.065,0.9402034
0.9,0.065,0.9496324
0.92,0.065,0.9581528
0.94,0.065,0.9644786
0.96,0.065,0.9755868
0.98,0.065,0.9828837
1,0.065,0.9888027
0.6,0.07,0
0.62,0.07,0
0.64,0.07,0
0.66,0.07,0
0.68,0.07,0
0.7,0.07,0
0.72,0.07,0.01689809
0.74,0.07,0.34464821
0.76,0.07,0.6751496
0.78,0.07,0.8797238
0.8,0.07,0.9054541
0.82,0.07,0.9219818
0.84,0.07,0.9272245
0.86,0.07,0.9394508
0.88,0.07,0.9444971
0.9,0.07,0.9515256
0.92,0.07,0.9617707
0.94,0.07,0.9704114
0.96,0.07,0.9729045
0.98,0.07,0.9837885
1,0.07,0.9910739
0.6,0.075,0
0.62,0.075,0
0.64,0.075,0
0.66,0.075,0
0.68,0.075,0
0.7,0.075,8.12E-06
0.72,0.075,0.033444548
0.74,0.075,0.3508099
0.76,0.075,0.8008064
0.78,0.075,0.8891469
0.8,0.075,0.9147412
0.82,0.075,0.9215267
0.84,0.075,0.93092
0.86,0.075,0.9408706
0.88,0.075,0.949553
0.9,0.075,0.9576231
0.92,0.075,0.9619585
0.94,0.075,0.9652745
0.96,0.075,0.9804367
0.98,0.075,0.9848262
1,0.075,0.9901555
0.6,0.08,0
0.62,0.08,0
0.64,0.08,0
0.66,0.08,0
0.68,0.08,0
0.7,0.08,0
0.72,0.08,0.00269396
0.74,0.08,0.53724083
0.76,0.08,0.8190194
0.78,0.08,0.8963003
0.8,0.08,0.9215603
0.82,0.08,0.9288694
0.84,0.08,0.937918
0.86,0.08,0.9462303
0.88,0.08,0.951513
0.9,0.08,0.9582877
0.92,0.08,0.9657399
0.94,0.08,0.9719904
0.96,0.08,0.9775478
0.98,0.08,0.9838042
1,0.08,0.9897164
0.6,0.085,0
0.62,0.085,0
0.64,0.085,0
0.66,0.085,0
0.68,0.085,0
0.7,0.085,0
0.72,0.085,0.097274594
0.74,0.085,0.5560127
0.76,0.085,0.8769432
0.78,0.085,0.9044346
0.8,0.085,0.9226175
0.82,0.085,0.9322152
0.84,0.085,0.9368603
0.86,0.085,0.9480182
0.88,0.085,0.9530405
0.9,0.085,0.9632096
0.92,0.085,0.9665703
0.94,0.085,0.9730458
0.96,0.085,0.9798301
0.98,0.085,0.9844533
1,0.085,0.9888161
0.6,0.09,0
0.62,0.09,0
0.64,0.09,0
0.66,0.09,0
0.68,0.09,0
0.7,0.09,0
0.72,0.09,0.108802338
0.74,0.09,0.7990431
0.76,0.09,0.8853573
0.78,0.09,0.9112849
0.8,0.09,0.9223482
0.82,0.09,0.9358337
0.84,0.09,0.9407919
0.86,0.09,0.9485711
