Fitness,Migration Rate,RCT - Persistance
0.6,0.02,0.3638509
0.62,0.02,0.448624
0.64,0.02,0.5125111
0.66,0.02,0.5921539
0.68,0.02,0.6892665
0.7,0.02,0.7337871
0.72,0.02,0.7786903
0.74,0.02,0.809744
0.76,0.02,0.8421118
0.78,0.02,0.8676247
0.8,0.02,0.8867948
0.82,0.02,0.9025474
0.84,0.02,0.9093597
0.86,0.02,0.9243867
0.88,0.02,0.9446127
0.9,0.02,0.9444278
0.92,0.02,0.9645312
0.94,0.02,0.9768414
0.96,0.02,0.9819073
0.98,0.02,0.9931101
1,0.02,0.9969242
0.6,0.025,0.12930222
0.62,0.025,0.1918451
0.64,0.025,0.3092037
0.66,0.025,0.3503878
0.68,0.025,0.4838304
0.7,0.025,0.5654551
0.72,0.025,0.6405836
0.74,0.025,0.7521373
0.76,0.025,0.8039338
0.78,0.025,0.832864
0.8,0.025,0.8712853
0.82,0.025,0.8887816
0.84,0.025,0.8984965
0.86,0.025,0.9177394
0.88,0.025,0.9319193
0.9,0.025,0.9422495
0.92,0.025,0.9523389
0.94,0.025,0.9688461
0.96,0.025,0.9777075
0.98,0.025,0.9867914
1,0.025,0.9951717
0.6,0.03,0.01115079
0.62,0.03,0.037245037
0.64,0.03,0.09416296
0.66,0.03,0.1818096
0.68,0.03,0.2829682
0.7,0.03,0.4361337
0.72,0.03,0.5253372
0.74,0.03,0.6360919
0.76,0.03,0.734375
0.78,0.03,0.7981578
0.8,0.03,0.8366711
0.82,0.03,0.8864129
0.84,0.03,0.9007002
0.86,0.03,0.9066974
0.88,0.03,0.9198351
0.9,0.03,0.9293904
0.92,0.03,0.9497709
0.94,0.03,0.9654095
0.96,0.03,0.9780773
0.98,0.03,0.9873419
1,0.03,0.9927365
0.6,0.035,0
0.62,0.035,8.23E-06
0.64,0.035,0.00390265
0.66,0.035,0.046580462
0.68,0.035,0.13511091
0.7,0.035,0.2603417
0.72,0.035,0.373942
0.74,0.035,0.5694812
0.76,0.035,0.6822854
0.78,0.035,0.7675703
0.8,0.035,0.8323032
0.82,0.035,0.8752459
0.84,0.035,0.898657
0.86,0.035,0.9117613
0.88,0.035,0.9273706
0.9,0.035,0.9348501
0.92,0.035,0.9487097
0.94,0.035,0.9598069
0.96,0.035,0.970435
0.98,0.035,0.9855589
1,0.035,0.9937055
0.6,0.04,0
0.62,0.04,0
0.64,0.04,0
0.66,0.04,0.004539528
0.68,0.04,0.019179025
0.7,0.04,0.15616447
0.72,0.04,0.2880812
0.74,0.04,0.4706691
0.76,0.04,0.6520893
0.78,0.04,0.7618779
0.8,0.04,0.8245955
0.82,0.04,0.8746181
0.84,0.04,0.8992606
0.86,0.04,0.9135001
0.88,0.04,0.9255293
0.9,0.04,0.9363038
0.92,0.04,0.9424457
0.94,0.04,0.9612344
0.96,0.04,0.9732308
0.98,0.04,0.9825444
1,0.04,0.990574
0.6,0.045,0
0.62,0.045,0
0.64,0.045,0
0.66,0.045,0
0.68,0.045,0.000707043
0.7,0.045,0.058923111
0.72,0.045,0.1639232
0.74,0.045,0.3554717
0.76,0.045,0.5465368
0.78,0.045,0.7185739
0.8,0.045,0.8124131
0.82,0.045,0.8768217
0.84,0.045,0.9030816
0.86,0.045,0.9157494
0.88,0.045,0.9258816
0.9,0.045,0.9359097
0.92,0.045,0.9436151
0.94,0.045,0.9601809
0.96,0.045,0.9710699
0.98,0.045,0.9879595
1,0.045,0.9906116
0.6,0.05,0
0.62,0.05,0
0.64,0.05,0
0.66,0.05,0
0.68,0.05,0
0.7,0.05,0.010600164
0.72,0.05,0.07171331
0.74,0.05,0.2837346
0.76,0.05,0.5298901
0.78,0.05,0.7283828
0.8,0.05,0.8186272
0.82,0.05,0.8832863
0.84,0.05,0.9117098
0.86,0.05,0.9202212
0.88,0.05,0.9282649
0.9,0.05,0.9451297
0.92,0.05,0.9509902
0.94,0.05,0.958182
0.96,0.05,0.974976
0.98,0.05,0.9863768
1,0.05,0.9941147
0.6,0.055,0
0.62,0.055,0
0.64,0.055,0
0.66,0.055,0
0.68,0.055,0
0.7,0.055,0
0.72,0.055,0.016296139
0.74,0.055,0.2081933
0.76,0.055,0.4571311
0.78,0.055,0.7598822
0.8,0.055,0.8597396
0.82,0.055,0.8969351
0.84,0.055,0.9145854
0.86,0.055,0.9293419
0.88,0.055,0.9397632
0.9,0.055,0.94618
0.92,0.055,0.959662
0.94,0.055,0.9626394
0.96,0.055,0.9749226
0.98,0.055,0.9853423
1,0.055,0.9887115
0.6,0.06,0
0.62,0.06,0
0.64,0.06,0
0.66,0.06,0
0.68,0.06,0
0.7,0.06,0
0.72,0.06,0.008890325
0.74,0.06,0.18200065
0.76,0.06,0.5203815
0.78,0.06,0.7916889
0.8,0.06,0.8669835
0.82,0.06,0.9008463
0.84,0.06,0.9216514
0.86,0.06,0.9274045
0.88,0.06,0.9404494
0.9,0.06,0.9519258
0.92,0.06,0.9578671
0.94,0.06,0.9661039
0.96,0.06,0.976665
0.98,0.06,0.9835214
1,0.06,0.9895909
0.6,0.065,0
0.62,0.065,0
0.64,0.065,0
0.66,0.065,0
0.68,0.065,0
0.7,0.065,0
0.72,0.065,0.000292283
0.74,0.065,0.115797923
0.76,0.065,0.6434026
0.78,0.065,0.8129955
0.8,0.065,0.8809708
0.82,0.065,0.9078135
0.84,0.065,0.9207658
0.86,0.065,0.939458
0.88,0.065,0.9509202
0.9,0.065,0.9589954
0.92,0.065,0.9626119
0.94,0.065,0.9685647
0.96,0.065,0.9755658
0.98,0.065,0.9819592
1,0.065,0.9916793
0.6,0.07,0
0.62,0.07,0
0.64,0.07,0
0.66,0.07,0
0.68,0.07,0
0.7,0.07,0
0.72,0.07,9.10E-05
0.74,0.07,0.085726103
0.76,0.07,0.5982252
0.78,0.07,0.8235547
0.8,0.07,0.8926183
0.82,0.07,0.9182622
0.84,0.07,0.9325811
0.86,0.07,0.9413942
0.88,0.07,0.9521504
0.9,0.07,0.9577677
0.92,0.07,0.9662085
0.94,0.07,0.9703809
0.96,0.07,0.9763058
0.98,0.07,0.9816627
1,0.07,0.9884717
0.6,0.075,0
0.62,0.075,0
0.64,0.075,0
