Fitness,Migration Rate,Normal Allele - Persistance
0.6,0.02,0.00230536
0.62,0.02,0.004136802
0.64,0.02,0.010341039
0.66,0.02,0.024645108
0.68,0.02,0.05757999
0.7,0.02,0.09398512
0.72,0.02,0.12642043
0.74,0.02,0.19016402
0.76,0.02,0.2719287
0.78,0.02,0.3612061
0.8,0.02,0.4271027
0.82,0.02,0.5371682
0.84,0.02,0.6166669
0.86,0.02,0.7185634
0.88,0.02,0.7607887
0.9,0.02,0.8226093
0.92,0.02,0.8817792
0.94,0.02,0.9089344
0.96,0.02,0.9340878
0.98,0.02,0.9545238
1,0.02,0.9698114
0.6,0.025,8.19E-06
0.62,0.025,0.000116693
0.64,0.025,0.00040019
0.66,0.025,0.001191371
0.68,0.025,0.002730754
0.7,0.025,0.00535702
0.72,0.025,0.014234493
0.74,0.025,0.03729563
0.76,0.025,0.07486756
0.78,0.025,0.13803137
0.8,0.025,0.2151911
0.82,0.025,0.3124469
0.84,0.025,0.4400701
0.86,0.025,0.5527112
0.88,0.025,0.660502
0.9,0.025,0.7543468
0.92,0.025,0.8023534
0.94,0.025,0.8708477
0.96,0.025,0.9232695
0.98,0.025,0.9447183
1,0.025,0.965976
0.6,0.03,0
0.62,0.03,0
0.64,0.03,8.34E-06
0.66,0.03,9.11E-05
0.68,0.03,0.000249999
0.7,0.03,0.001073885
0.72,0.03,0.00186802
0.74,0.03,0.007613721
0.76,0.03,0.013813747
0.78,0.03,0.03636417
0.8,0.03,0.07272303
0.82,0.03,0.13166711
0.84,0.03,0.2402894
0.86,0.03,0.4073795
0.88,0.03,0.5134978
0.9,0.03,0.668211
0.92,0.03,0.7418557
0.94,0.03,0.8382322
0.96,0.03,0.8797307
0.98,0.03,0.9300894
1,0.03,0.9565376
0.6,0.035,0
0.62,0.035,0
0.64,0.035,0
0.66,0.035,2.51E-05
0.68,0.035,5.85E-05
0.7,0.035,0.000156127
0.72,0.035,0.000476684
0.74,0.035,0.001950283
0.76,0.035,0.004629887
0.78,0.035,0.012573268
0.8,0.035,0.03668005
0.82,0.035,0.05810888
0.84,0.035,0.14542547
0.86,0.035,0.2547834
0.88,0.035,0.4533698
0.9,0.035,0.5521722
0.92,0.035,0.6730858
0.94,0.035,0.8049719
0.96,0.035,0.8690267
0.98,0.035,0.9212721
1,0.035,0.9461039
0.6,0.04,0
0.62,0.04,0
0.64,0.04,0
