Fitness,Migration Rate,1L1T - Invasion
0.6,0.02,0
0.62,0.02,0
0.64,0.02,0
0.66,0.02,0
0.68,0.02,0
0.7,0.02,0
0.72,0.02,0
0.74,0.02,0
0.76,0.02,0
0.78,0.02,0
0.8,0.02,0
0.82,0.02,0
0.84,0.02,0
0.86,0.02,0
0.88,0.02,0
0.9,0.02,2.51E-05
0.92,0.02,4.09E-05
0.94,0.02,2.49E-05
0.96,0.02,0.000788709
0.98,0.02,0.001693591
1,0.02,0.002903733
0.6,0.025,0
0.62,0.025,0
0.64,0.025,0
0.66,0.025,0
0.68,0.025,0
0.7,0.025,0
0.72,0.025,0
0.74,0.025,0
0.76,0.025,0
0.78,0.025,0
0.8,0.025,0
0.82,0.025,0
0.84,0.025,0
0.86,0.025,0
0.88,0.025,0
0.9,0.025,0
0.92,0.025,2.49E-05
0.94,0.025,4.97E-05
0.96,0.025,0.000491848
0.98,0.025,0.001950787
1,0.025,0.004625087
0.6,0.03,0
0.62,0.03,0
0.64,0.03,0
0.66,0.03,0
0.68,0.03,0
0.7,0.03,0
0.72,0.03,0
0.74,0.03,0
0.76,0.03,0
0.78,0.03,0
0.8,0.03,0
0.82,0.03,0
0.84,0.03,0
0.86,0.03,0
0.88,0.03,8.18E-06
0.9,0.03,8.48E-06
0.92,0.03,5.87E-05
0.94,0.03,0.000259303
0.96,0.03,0.000816523
0.98,0.03,0.003942981
1,0.03,0.006206846
0.6,0.035,0
0.62,0.035,0
0.64,0.035,0
0.66,0.035,0
0.68,0.035,0
0.7,0.035,0
0.72,0.035,0
0.74,0.035,0
0.76,0.035,0
0.78,0.035,0
0.8,0.035,0
0.82,0.035,8.42E-06
0.84,0.035,1.69E-05
0.86,0.035,0
0.88,0.035,4.98E-05
0.9,0.035,3.32E-05
0.92,0.035,3.35E-05
0.94,0.035,0.00015013
0.96,0.035,0.000501493
0.98,0.035,0.002083011
1,0.035,0.005450665
0.6,0.04,0
0.62,0.04,0
0.64,0.04,0
0.66,0.04,0
0.68,0.04,0
0.7,0.04,0
0.72,0.04,0
0.74,0.04,0
0.76,0.04,0
0.78,0.04,0
0.8,0.04,8.20E-06
0.82,0.04,1.62E-05
0.84,0.04,0
0.86,0.04,1.65E-05
0.88,0.04,1.66E-05
0.9,0.04,3.32E-05
0.92,0.04,3.32E-05
0.94,0.04,0.000191116
0.96,0.04,0.000784792
0.98,0.04,0.002501079
1,0.04,0.006320532
0.6,0.045,0
0.62,0.045,0
0.64,0.045,0
0.66,0.045,0
0.68,0.045,0
0.7,0.045,0
0.72,0.045,0
0.74,0.045,0
0.76,0.045,0
0.78,0.045,0
0.8,0.045,0
0.82,0.045,1.66E-05
0.84,0.045,3.34E-05
0.86,0.045,6.68E-05
0.88,0.045,0.000100374
0.9,0.045,9.21E-05
0.92,0.045,0.000242094
0.94,0.045,0.000349575
0.96,0.045,0.001266802
0.98,0.045,0.004004577
1,0.045,0.008113051
0.6,0.05,0
0.62,0.05,0
0.64,0.05,0
0.66,0.05,0
0.68,0.05,0
0.7,0.05,0
0.72,0.05,0
0.74,0.05,0
0.76,0.05,0
0.78,0.05,1.66E-05
0.8,0.05,5.85E-05
0.82,0.05,5.82E-05
0.84,0.05,0.000108084
0.86,0.05,9.91E-05
0.88,0.05,0.000166156
0.9,0.05,0.000165942
0.92,0.05,0.000207484
0.94,0.05,0.000406224
0.96,0.05,0.001199785
0.98,0.05,0.003098508
1,0.05,0.011852417
0.6,0.055,0
0.62,0.055,0
0.64,0.055,0
0.66,0.055,0
0.68,0.055,0
0.7,0.055,0
0.72,0.055,0
0.74,0.055,0
0.76,0.055,0
0.78,0.055,1.66E-05
0.8,0.055,4.20E-05
0.82,0.055,6.64E-05
0.84,0.055,0.000132984
0.86,0.055,0.000166345
0.88,0.055,0.000349349
0.9,0.055,0.000232311
0.92,0.055,0.000650487
0.94,0.055,0.000934524
0.96,0.055,0.001523443
0.98,0.055,0.00323364
1,0.055,0.009074597
0.6,0.06,0
0.62,0.06,0
0.64,0.06,0
0.66,0.06,0
0.68,0.06,0
0.7,0.06,0
0.72,0.06,0
0.74,0.06,0
0.76,0.06,0
0.78,0.06,1.66E-05
0.8,0.06,0.000150489
0.82,0.06,7.49E-05
0.84,0.06,0.000249874
0.86,0.06,0.00014905
0.88,0.06,0.000457964
0.9,0.06,0.000582001
0.92,0.06,0.000474147
0.94,0.06,0.001106198
0.96,0.06,0.001527994
0.98,0.06,0.003717262
1,0.06,0.009050791
0.6,0.065,0
0.62,0.065,0
0.64,0.065,0
0.66,0.065,0
0.68,0.065,0
0.7,0.065,0
0.72,0.065,0
0.74,0.065,0
0.76,0.065,8.30E-06
0.78,0.065,5.78E-05
0.8,0.065,0.000133348
0.82,0.065,0.000333652
0.84,0.065,0.000382713
0.86,0.065,0.000691433
0.88,0.065,0.000583749
0.9,0.065,0.000817614
0.92,0.065,0.001129845
0.94,0.065,0.001408902
0.96,0.065,0.003064553
0.98,0.065,0.004889009
1,0.065,0.007972795
0.6,0.07,0
0.62,0.07,0
0.64,0.07,0
0.66,0.07,0
0.68,0.07,0
0.7,0.07,0
0.72,0.07,0
0.74,0.07,0
0.76,0.07,4.99E-05
0.78,0.07,0.000148881
0.8,0.07,0.000463386
0.82,0.07,0.000491045
0.84,0.07,0.000664297
0.86,0.07,0.000808852
0.88,0.07,0.000818729
0.9,0.07,0.00136029
0.92,0.07,0.001099136
0.94,0.07,0.002074072
0.96,0.07,0.002662612
0.98,0.07,0.006016243
1,0.07,0.010072112
0.6,0.075,0
0.62,0.075,0
0.64,0.075,0
0.66,0.075,0
0.68,0.075,0
0.7,0.075,0
0.72,0.075,0
0.74,0.075,0
0.76,0.075,0.000156438
0.78,0.075,0.00025812
0.8,0.075,0.000484776
0.82,0.075,0.000471707
0.84,0.075,0.000657325
0.86,0.075,0.000956983
0.88,0.075,0.001117482
0.9,0.075,0.001405681
0.92,0.075,0.001924329
0.94,0.075,0.002216221
0.96,0.075,0.004235664
0.98,0.075,0.006946068
1,0.075,0.010228597
0.6,0.08,0
0.62,0.08,0
0.64,0.08,0
0.66,0.08,0
0.68,0.08,0
0.7,0.08,0
0.72,0.08,0
0.74,0.08,2.49E-05
0.76,0.08,0.000357249
0.78,0.08,0.000457461
0.8,0.08,0.00053674
0.82,0.08,0.000704811
0.84,0.08,0.001126478
0.86,0.08,0.001188991
0.88,0.08,0.001540254
0.9,0.08,0.0020811
0.92,0.08,0.00248895
0.94,0.08,0.003348084
0.96,0.08,0.004850354
0.98,0.08,0.007783851
1,0.08,0.010585756
0.6,0.085,0
0.62,0.085,0
0.64,0.085,0
0.66,0.085,0
0.68,0.085,0
0.7,0.085,0
0.72,0.085,8.44E-06
0.74,0.085,2.50E-05
0.76,0.085,0.000407824
0.78,0.085,0.000857033
0.8,0.085,0.001121191
0.82,0.085,0.001180528
0.84,0.085,0.001489147
0.86,0.085,0.001882049
0.88,0.085,0.001674422
0.9,0.085,0.002914354
0.92,0.085,0.003031218
0.94,0.085,0.004489257
0.96,0.085,0.005635138
0.98,0.085,0.008324799
1,0.085,0.011592102
0.6,0.09,0
0.62,0.09,0
0.64,0.09,0
0.66,0.09,0
0.68,0.09,0
0.7,0.09,0
0.72,0.09,0
0.74,0.09,0.000265269
0.76,0.09,0.000579348
0.78,0.09,0.00085158
0.8,0.09,0.00117409
0.82,0.09,0.001400501
0.84,0.09,0.001631833
0.86,0.09,0.001885022
