Fitness,Migration Rate,Normal Allele - Invasion
0.6,0.02,0
0.62,0.02,0
0.64,0.02,0
0.66,0.02,0
0.68,0.02,0
0.7,0.02,0
0.72,0.02,0
0.74,0.02,0
0.76,0.02,0
0.78,0.02,8.26E-06
0.8,0.02,5.78E-05
0.82,0.02,2.48E-05
0.84,0.02,0.000279223
0.86,0.02,0.00034869
0.88,0.02,0.0007025
0.9,0.02,0.001362491
0.92,0.02,0.003836782
0.94,0.02,0.005601685
0.96,0.02,0.010630261
0.98,0.02,0.017058536
1,0.02,0.03283613
0.6,0.025,0
0.62,0.025,0
0.64,0.025,0
0.66,0.025,0
0.68,0.025,0
0.7,0.025,0
0.72,0.025,0
0.74,0.025,0
0.76,0.025,0
0.78,0.025,8.29E-06
0.8,0.025,2.51E-05
0.82,0.025,0
0.84,0.025,9.01E-05
0.86,0.025,0.000406948
0.88,0.025,0.001458951
0.9,0.025,0.001564383
0.92,0.025,0.003417478
0.94,0.025,0.007346265
0.96,0.025,0.016233477
0.98,0.025,0.021740952
1,0.025,0.03621123
0.6,0.03,0
0.62,0.03,0
0.64,0.03,0
0.66,0.03,0
0.68,0.03,0
0.7,0.03,0
0.72,0.03,0
0.74,0.03,0
0.76,0.03,0
0.78,0.03,0
0.8,0.03,0
0.82,0.03,9.01E-05
0.84,0.03,0.000290461
0.86,0.03,0.000482532
0.88,0.03,0.001638451
0.9,0.03,0.002009232
0.92,0.03,0.005178914
0.94,0.03,0.007609813
0.96,0.03,0.019219359
0.98,0.03,0.02495875
1,0.03,0.03951141
0.6,0.035,0
0.62,0.035,0
0.64,0.035,0
0.66,0.035,0
0.68,0.035,0
0.7,0.035,0
0.72,0.035,0
0.74,0.035,0
0.76,0.035,0
0.78,0.035,2.48E-05
0.8,0.035,0.000115262
0.82,0.035,8.24E-06
0.84,0.035,0.000206637
0.86,0.035,0.000867564
0.88,0.035,0.00192273
0.9,0.035,0.002815045
0.92,0.035,0.005760933
0.94,0.035,0.010324991
0.96,0.035,0.01825266
0.98,0.035,0.03630913
1,0.035,0.047129
0.6,0.04,0
0.62,0.04,0
0.64,0.04,0
0.66,0.04,0
0.68,0.04,0
0.7,0.04,0
0.72,0.04,0
0.74,0.04,0
0.76,0.04,0
0.78,0.04,4.16E-05
0.8,0.04,8.38E-06
0.82,0.04,0.000161797
0.84,0.04,0.000339423
0.86,0.04,0.001141053
0.88,0.04,0.001678052
0.9,0.04,0.003044586
0.92,0.04,0.006006143
0.94,0.04,0.012685305
0.96,0.04,0.019917682
0.98,0.04,0.0408759
1,0.04,0.05898606
0.6,0.045,0
0.62,0.045,0
0.64,0.045,0
0.66,0.045,0
0.68,0.045,0
0.7,0.045,0
0.72,0.045,0
0.74,0.045,8.33E-06
0.76,0.045,0
0.78,0.045,2.46E-05
0.8,0.045,0.000107745
0.82,0.045,0.000132903
0.84,0.045,0.000434803
0.86,0.045,0.00097658
0.88,0.045,0.002022921
0.9,0.045,0.004045142
0.92,0.045,0.008435392
0.94,0.045,0.017515442
0.96,0.045,0.02730128
0.98,0.045,0.04223605
1,0.045,0.06418926
0.6,0.05,0
0.62,0.05,0
0.64,0.05,0
0.66,0.05,0
0.68,0.05,0
0.7,0.05,0
0.72,0.05,0
0.74,0.05,0
0.76,0.05,8.48E-06
0.78,0.05,0
0.8,0.05,0.000108236
0.82,0.05,1.67E-05
0.84,0.05,0.000565696
0.86,0.05,0.000834755
0.88,0.05,0.003992348
0.9,0.05,0.004183286
0.92,0.05,0.012977335
0.94,0.05,0.013955546
0.96,0.05,0.03076004
0.98,0.05,0.0483619
1,0.05,0.0845338
0.6,0.055,0
0.62,0.055,0
0.64,0.055,0
0.66,0.055,0
0.68,0.055,0
0.7,0.055,0
0.72,0.055,0
0.74,0.055,0
0.76,0.055,0
0.78,0.055,8.26E-06
0.8,0.055,0.000124213
0.82,0.055,0.000258792
0.84,0.055,0.000533128
0.86,0.055,0.000990116
0.88,0.055,0.002555936
0.9,0.055,0.006009086
0.92,0.055,0.011791357
0.94,0.055,0.01936216
0.96,0.055,0.03768915
0.98,0.055,0.05768381
1,0.055,0.08975124
0.6,0.06,0
0.62,0.06,0
0.64,0.06,0
0.66,0.06,0
0.68,0.06,0
0.7,0.06,0
0.72,0.06,0
0.74,0.06,0
0.76,0.06,0
0.78,0.06,0
0.8,0.06,4.97E-05
0.82,0.06,0.000149599
0.84,0.06,0.000824952
0.86,0.06,0.001272884
0.88,0.06,0.002742603
0.9,0.06,0.0043279
0.92,0.06,0.013311164
0.94,0.06,0.02014248
0.96,0.06,0.03459169
0.98,0.06,0.05966245
1,0.06,0.11039897
0.6,0.065,0
0.62,0.065,0
0.64,0.065,0
0.66,0.065,0
0.68,0.065,0
0.7,0.065,0
0.72,0.065,0
0.74,0.065,0
0.76,0.065,0
0.78,0.065,1.62E-05
0.8,0.065,0.00015164
0.82,0.065,0.000590008
0.84,0.065,0.000516958
0.86,0.065,0.001678416
0.88,0.065,0.00247532
0.9,0.065,0.006529407
0.92,0.065,0.012933204
0.94,0.065,0.02350564
0.96,0.065,0.04316057
0.98,0.065,0.0666295
1,0.065,0.10971205
0.6,0.07,0
0.62,0.07,0
0.64,0.07,0
0.66,0.07,0
0.68,0.07,0
0.7,0.07,0
0.72,0.07,0
0.74,0.07,0
0.76,0.07,0
0.78,0.07,3.31E-05
0.8,0.07,8.26E-05
0.82,0.07,0.000118646
0.84,0.07,0.000349639
0.86,0.07,0.001115631
0.88,0.07,0.003074263
0.9,0.07,0.006547887
0.92,0.07,0.01444626
0.94,0.07,0.0237758
0.96,0.07,0.04348499
0.98,0.07,0.07381074
1,0.07,0.11711494
0.6,0.075,0
0.62,0.075,0
0.64,0.075,0
0.66,0.075,0
0.68,0.075,0
0.7,0.075,0
0.72,0.075,0
0.74,0.075,0
0.76,0.075,0
0.78,0.075,0
0.8,0.075,0.00011545
0.82,0.075,2.46E-05
0.84,0.075,0.000521962
0.86,0.075,0.001220782
0.88,0.075,0.003721489
0.9,0.075,0.008365193
0.92,0.075,0.016440302
0.94,0.075,0.02844508
0.96,0.075,0.05506895
0.98,0.075,0.07080377
1,0.075,0.1382415
0.6,0.08,0
0.62,0.08,0
0.64,0.08,0
0.66,0.08,0
0.68,0.08,0
0.7,0.08,0
0.72,0.08,0
0.74,0.08,0
0.76,0.08,0
0.78,0.08,0
0.8,0.08,0.000173314
0.82,0.08,0.000159494
0.84,0.08,0.001068994
0.86,0.08,0.00187155
0.88,0.08,0.004940187
0.9,0.08,0.007073015
0.92,0.08,0.01506082
0.94,0.08,0.02995287
0.96,0.08,0.0509266
0.98,0.08,0.08554644
1,0.08,0.14185379
0.6,0.085,0
0.62,0.085,0
0.64,0.085,0
0.66,0.085,0
0.68,0.085,0
0.7,0.085,0
0.72,0.085,0
0.74,0.085,0
0.76,0.085,4.13E-05
0.78,0.085,0
0.8,0.085,0.000107852
0.82,0.085,0.000355831
0.84,0.085,0.00040417
0.86,0.085,0.001724977
0.88,0.085,0.003384222
0.9,0.085,0.007276522
0.92,0.085,0.02006174
0.94,0.085,0.03459922
0.96,0.085,0.06039698
0.98,0.085,0.09810592
1,0.085,0.1496172
0.6,0.09,0
0.62,0.09,0
0.64,0.09,0
0.66,0.09,0
0.68,0.09,0
0.7,0.09,0
0.72,0.09,0
0.74,0.09,0
0.76,0.09,0
0.78,0.09,0
0.8,0.09,4.99E-05
0.82,0.09,0.000304928
