Fitness,Corridor Width,Normal Allele - Persistance
0.6,0.01,0
0.62,0.01,0
0.64,0.01,0
0.66,0.01,0
0.68,0.01,0
0.7,0.01,0
0.72,0.01,0.000205123
0.74,0.01,0.001285694
0.76,0.01,0.009495751
0.78,0.01,0.01579537
0.8,0.01,0.03191018
0.82,0.01,0.10526967
0.84,0.01,0.25609136
0.86,0.01,0.3828162
0.88,0.01,0.6042748
0.9,0.01,0.7758639
0.92,0.01,0.9005101
0.94,0.01,0.9621113
0.96,0.01,0.9783305
0.98,0.01,0.9901655
1,0.01,0.9901704
0.6,0.02,0
0.62,0.02,0
0.64,0.02,0
0.66,0.02,4.37E-05
0.68,0.02,5.21E-05
0.7,0.02,0.00018327
0.72,0.02,0.00021199
0.74,0.02,0.000874912
0.76,0.02,0.002057901
0.78,0.02,0.011760106
0.8,0.02,0.021546
0.82,0.02,0.05784023
0.84,0.02,0.12188862
0.86,0.02,0.3064069
0.88,0.02,0.4762344
0.9,0.02,0.7114728
0.92,0.02,0.8447747
0.94,0.02,0.923526
0.96,0.02,0.9600263
0.98,0.02,0.9836665
1,0.02,0.9848556
0.6,0.03,0
0.62,0.03,0
0.64,0.03,0
0.66,0.03,0
0.68,0.03,0
0.7,0.03,0.000104221
0.72,0.03,0.000282642
0.74,0.03,0.000408262
0.76,0.03,0.002057873
0.78,0.03,0.003528971
0.8,0.03,0.012885611
0.82,0.03,0.03403266
0.84,0.03,0.07805396
0.86,0.03,0.2001633
0.88,0.03,0.3871872
0.9,0.03,0.5177355
0.92,0.03,0.7747641
0.94,0.03,0.8867362
0.96,0.03,0.928851
0.98,0.03,0.9579727
1,0.03,0.9755737
0.6,0.04,0
0.62,0.04,0
0.64,0.04,0
0.66,0.04,1.74E-05
0.68,0.04,0
0.7,0.04,0
0.72,0.04,0
0.74,0.04,0.000674647
0.76,0.04,0.00160053
0.78,0.04,0.00305593
0.8,0.04,0.009782407
0.82,0.04,0.02948598
0.84,0.04,0.06038579
0.86,0.04,0.13733639
0.88,0.04,0.3192476
0.9,0.04,0.4974587
0.92,0.04,0.7252627
0.94,0.04,0.8198334
0.96,0.04,0.9055237
0.98,0.04,0.950324
1,0.04,0.9651859
0.6,0.05,0
0.62,0.05,0
0.64,0.05,0
0.66,0.05,0
0.68,0.05,0
0.7,0.05,0
0.72,0.05,6.01E-05
0.74,0.05,0.000285665
0.76,0.05,0.000840112
0.78,0.05,0.001948361
0.8,0.05,0.007161394
0.82,0.05,0.03219098
0.84,0.05,0.06116856
0.86,0.05,0.13441568
0.88,0.05,0.2395977
0.9,0.05,0.44987
0.92,0.05,0.6778851
0.94,0.05,0.7817643
0.96,0.05,0.8710996
0.98,0.05,0.9315382
1,0.05,0.9635325
0.6,0.06,0
0.62,0.06,0
0.64,0.06,0
0.66,0.06,0
0.68,0.06,0
0.7,0.06,0.000102613
0.72,0.06,7.73E-05
0.74,0.06,0.000214106
0.76,0.06,0.00068792
0.78,0.06,0.002279907
0.8,0.06,0.006676343
0.82,0.06,0.02085532
0.84,0.06,0.04683566
0.86,0.06,0.11227006
0.88,0.06,0.2245016
0.9,0.06,0.3964847
0.92,0.06,0.5931016
0.94,0.06,0.7390487
0.96,0.06,0.8651856
0.98,0.06,0.9203094
1,0.06,0.95795
0.6,0.07,0
0.62,0.07,0
0.64,0.07,0
0.66,0.07,0
0.68,0.07,0
0.7,0.07,2.54E-05
0.72,0.07,5.06E-05
0.74,0.07,0.000375087
0.76,0.07,0.000625237
