Fitness,Corridor Width,RCT - Invasion
0.6,0.01,1.80E-05
0.62,0.01,2.68E-05
0.64,0.01,2.67E-05
0.66,0.01,1.78E-05
0.68,0.01,2.68E-05
0.7,0.01,2.66E-05
0.72,0.01,3.57E-05
0.74,0.01,1.74E-05
0.76,0.01,7.14E-05
0.78,0.01,7.91E-05
0.8,0.01,6.22E-05
0.82,0.01,0.00012519
0.84,0.01,0.000106605
0.86,0.01,0.000160351
0.88,0.01,1.78E-05
0.9,0.01,0.000106266
0.92,0.01,8.86E-05
0.94,0.01,0.000159383
0.96,0.01,0.000373073
0.98,0.01,0.000133501
1,0.01,0.000532032
0.6,0.02,0
0.62,0.02,8.93E-06
0.64,0.02,0
0.66,0.02,1.77E-05
0.68,0.02,0
0.7,0.02,3.55E-05
0.72,0.02,5.32E-05
0.74,0.02,8.72E-06
0.76,0.02,9.75E-05
0.78,0.02,3.53E-05
0.8,0.02,9.75E-05
0.82,0.02,0.000184441
0.84,0.02,0.000166795
0.86,0.02,0.00018785
0.88,0.02,0.000239052
0.9,0.02,0.000210482
0.92,0.02,0.000396749
0.94,0.02,0.000230783
0.96,0.02,0.000756134
0.98,0.02,0.000615129
1,0.02,0.001585202
0.6,0.03,0
0.62,0.03,0
0.64,0.03,0
0.66,0.03,8.62E-06
0.68,0.03,8.68E-06
0.7,0.03,6.99E-05
0.72,0.03,0.000104537
0.74,0.03,1.74E-05
0.76,0.03,8.69E-05
0.78,0.03,0.000113141
0.8,0.03,0.000191599
0.82,0.03,0.000139483
0.84,0.03,0.000138932
0.86,0.03,0.000104937
0.88,0.03,0.000209081
0.9,0.03,0.000183065
0.92,0.03,0.000439134
0.94,0.03,0.000366934
0.96,0.03,0.000491177
0.98,0.03,0.002598292
1,0.03,0.001407194
0.6,0.04,0
0.62,0.04,0
0.64,0.04,0
0.66,0.04,0
0.68,0.04,8.55E-06
0.7,0.04,4.34E-05
0.72,0.04,1.72E-05
0.74,0.04,8.75E-05
0.76,0.04,8.67E-05
0.78,0.04,7.77E-05
0.8,0.04,6.98E-05
0.82,0.04,0.000130407
0.84,0.04,0.000207677
0.86,0.04,0.000225037
0.88,0.04,0.000311216
0.9,0.04,0.000416094
0.92,0.04,0.000434694
0.94,0.04,0.00051389
0.96,0.04,0.001044384
0.98,0.04,0.001375935
1,0.04,0.003229074
0.6,0.05,0
0.62,0.05,0
0.64,0.05,0
0.66,0.05,0
0.68,0.05,8.40E-06
0.7,0.05,2.55E-05
0.72,0.05,3.42E-05
0.74,0.05,6.83E-05
0.76,0.05,5.17E-05
0.78,0.05,4.28E-05
0.8,0.05,0.000146345
0.82,0.05,0.000198647
0.84,0.05,0.000190242
0.86,0.05,0.000299653
0.88,0.05,0.000343137
0.9,0.05,0.000762687
0.92,0.05,0.000409948
0.94,0.05,0.000380594
0.96,0.05,0.001331554
0.98,0.05,0.001348267
1,0.05,0.003534826
0.6,0.06,0
0.62,0.06,0
0.64,0.06,0
0.66,0.06,0
0.68,0.06,0
0.7,0.06,0
0.72,0.06,8.38E-06
0.74,0.06,1.68E-05
0.76,0.06,0.000152509
0.78,0.06,9.35E-05
0.8,0.06,0.000145632
0.82,0.06,0.000188268
0.84,0.06,0.000246749
0.86,0.06,0.000248411
0.88,0.06,0.000263563
0.9,0.06,0.000410549
0.92,0.06,0.000413435
0.94,0.06,0.000725027
0.96,0.06,0.001350138
0.98,0.06,0.002925011
1,0.06,0.005132765
0.6,0.07,0
0.62,0.07,0
0.64,0.07,0
0.66,0.07,0
0.68,0.07,0
0.7,0.07,0
0.72,0.07,0
0.74,0.07,8.42E-06
0.76,0.07,1.68E-05
0.78,0.07,5.02E-05
0.8,0.07,5.89E-05
0.82,0.07,0.000127129
0.84,0.07,0.000144027
0.86,0.07,0.000245937
0.88,0.07,0.000246349
0.9,0.07,0.000561889
0.92,0.07,0.000392269
0.94,0.07,0.000962043
0.96,0.07,0.001452221
0.98,0.07,0.002555455
1,0.07,0.004717409
0.6,0.08,0
0.62,0.08,0
0.64,0.08,0
0.66,0.08,0
0.68,0.08,0
0.7,0.08,0
0.72,0.08,0
0.74,0.08,0
0.76,0.08,8.29E-06
0.78,0.08,2.51E-05
0.8,0.08,5.02E-05
0.82,0.08,0.000142999
0.84,0.08,0.00020178
0.86,0.08,0.000117909
0.88,0.08,0.00025051
0.9,0.08,0.000326347
0.92,0.08,0.000707336
0.94,0.08,0.001189142
0.96,0.08,0.001470164
0.98,0.08,0.00345313
1,0.08,0.005780035
0.6,0.09,0
0.62,0.09,0
0.64,0.09,0
0.66,0.09,0
0.68,0.09,0
0.7,0.09,0
0.72,0.09,0
0.74,0.09,0
0.76,0.09,0
0.78,0.09,8.21E-06
0.8,0.09,4.13E-05
0.82,0.09,5.79E-05
0.84,0.09,0.000140669
0.86,0.09,0.000198635
0.88,0.09,0.000266312
0.9,0.09,0.000441731
0.92,0.09,0.000638824
0.94,0.09,0.00118012
0.96,0.09,0.001436186
0.98,0.09,0.004227443
1,0.09,0.0074045
0.6,0.1,0
0.62,0.1,0
0.64,0.1,0
0.66,0.1,0
0.68,0.1,0
0.7,0.1,0
0.72,0.1,0
0.74,0.1,0
0.76,0.1,8.10E-06
0.78,0.1,2.47E-05
0.8,0.1,5.68E-05
0.82,0.1,8.27E-05
0.84,0.1,0.000147554
0.86,0.1,0.000206494
0.88,0.1,0.000124218
0.9,0.1,0.000345581
0.92,0.1,0.00045712
0.94,0.1,0.000787253
0.96,0.1,0.001895335
0.98,0.1,0.004071202
1,0.1,0.008242672
0.6,0.11,0
0.62,0.11,0
0.64,0.11,0
0.66,0.11,0
0.68,0.11,0
0.7,0.11,0
0.72,0.11,0
0.74,0.11,0
0.76,0.11,8.00E-06
0.78,0.11,0
0.8,0.11,8.07E-06
0.82,0.11,7.37E-05
0.84,0.11,5.71E-05
0.86,0.11,0.000114036
0.88,0.11,0.000229655
0.9,0.11,0.000318529
0.92,0.11,0.000524855
0.94,0.11,0.000683001
0.96,0.11,0.001952325
0.98,0.11,0.003847722
1,0.11,0.011430544
0.6,0.12,0
0.62,0.12,0
0.64,0.12,0
0.66,0.12,0
0.68,0.12,0
0.7,0.12,0
0.72,0.12,0
0.74,0.12,0
0.76,0.12,0
0.78,0.12,0
0.8,0.12,4.01E-05
0.82,0.12,1.61E-05
0.84,0.12,4.06E-05
0.86,0.12,6.49E-05
0.88,0.12,0.000194884
0.9,0.12,0.000348396
0.92,0.12,0.000431437
0.94,0.12,0.000931622
0.96,0.12,0.0016501
0.98,0.12,0.003970841
1,0.12,0.008644817
0.6,0.13,0
0.62,0.13,0
0.64,0.13,0
0.66,0.13,0
0.68,0.13,0
0.7,0.13,0
0.72,0.13,0
0.74,0.13,0
0.76,0.13,0
0.78,0.13,0
0.8,0.13,8.06E-06
0.82,0.13,1.61E-05
0.84,0.13,3.21E-05
0.86,0.13,0.000135683
0.88,0.13,0.000305636
0.9,0.13,0.000267612
0.92,0.13,0.000308295
0.94,0.13,0.000857862
0.96,0.13,0.002559796
0.98,0.13,0.004017913
1,0.13,0.009904484
0.6,0.14,0
0.62,0.14,0
0.64,0.14,0
0.66,0.14,0
0.68,0.14,0
0.7,0.14,0
0.72,0.14,0
0.74,0.14,0
0.76,0.14,0
0.78,0.14,0
0.8,0.14,7.89E-06
0.82,0.14,1.61E-05
0.84,0.14,7.24E-05
0.86,0.14,0.00015156
0.88,0.14,9.50E-05
0.9,0.14,0.000287804
0.92,0.14,0.000536953
0.94,0.14,0.000811655
0.96,0.14,0.001828424
0.98,0.14,0.00528453
1,0.14,0.010081086
0.6,0.15,0
0.62,0.15,0
0.64,0.15,0
0.66,0.15,0
0.68,0.15,0
0.7,0.15,0
0.72,0.15,0
0.74,0.15,0
0.76,0.15,0
0.78,0.15,0
0.8,0.15,7.79E-06
0.82,0.15,4.72E-05
0.84,0.15,2.36E-05
0.86,0.15,5.52E-05
0.88,0.15,0.000166118
0.9,0.15,0.000182054
0.92,0.15,0.00041205
0.94,0.15,0.000762444
0.96,0.15,0.002595659
0.98,0.15,0.006320399
1,0.15,0.011817263
0.6,0.16,0
0.62,0.16,0
0.64,0.16,0
0.66,0.16,0
0.68,0.16,0
0.7,0.16,0
0.72,0.16,0
0.74,0.16,0
0.76,0.16,0
0.78,0.16,0
0.8,0.16,0
0.82,0.16,3.13E-05
0.84,0.16,2.35E-05
