Fitness,Corridor Width,Normal Allele - Invasion
0.6,0.01,0
0.62,0.01,0
0.64,0.01,0
0.66,0.01,0
0.68,0.01,0
0.7,0.01,0
0.72,0.01,0
0.74,0.01,0
0.76,0.01,2.68E-05
0.78,0.01,6.24E-05
0.8,0.01,9.00E-06
0.82,0.01,0.000186716
0.84,0.01,6.23E-05
0.86,0.01,0.000383537
0.88,0.01,0.0004284
0.9,0.01,0.000637537
0.92,0.01,0.002452686
0.94,0.01,0.002562608
0.96,0.01,0.004103967
0.98,0.01,0.0043637
1,0.01,0.007121339
0.6,0.02,0
0.62,0.02,0
0.64,0.02,0
0.66,0.02,0
0.68,0.02,0
0.7,0.02,0
0.72,0.02,0
0.74,0.02,0
0.76,0.02,0
0.78,0.02,8.85E-05
0.8,0.02,3.48E-05
0.82,0.02,4.39E-05
0.84,0.02,0.000246795
0.86,0.02,0.00085805
0.88,0.02,0.000567676
0.9,0.02,0.00229932
0.92,0.02,0.002414421
0.94,0.02,0.004273004
0.96,0.02,0.006012682
0.98,0.02,0.01026855
1,0.02,0.017931039
0.6,0.03,0
0.62,0.03,0
0.64,0.03,0
0.66,0.03,0
0.68,0.03,0
0.7,0.03,0
0.72,0.03,0
0.74,0.03,0
0.76,0.03,0
0.78,0.03,0
0.8,0.03,4.38E-05
0.82,0.03,9.58E-05
0.84,0.03,0.000174524
0.86,0.03,0.000558986
0.88,0.03,0.001115601
0.9,0.03,0.00260396
0.92,0.03,0.002828104
0.94,0.03,0.007200863
0.96,0.03,0.009100775
0.98,0.03,0.014551118
1,0.03,0.01789288
0.6,0.04,0
0.62,0.04,0
0.64,0.04,0
0.66,0.04,0
0.68,0.04,0
0.7,0.04,0
0.72,0.04,0
0.74,0.04,0
0.76,0.04,0
0.78,0.04,2.59E-05
0.8,0.04,0.000104259
0.82,0.04,0.000321507
0.84,0.04,8.70E-05
0.86,0.04,0.000807338
0.88,0.04,0.00215543
0.9,0.04,0.00412255
0.92,0.04,0.006059932
0.94,0.04,0.006276598
0.96,0.04,0.012135901
0.98,0.04,0.021164426
1,0.04,0.03385453
0.6,0.05,0
0.62,0.05,0
0.64,0.05,0
0.66,0.05,0
0.68,0.05,0
0.7,0.05,0
0.72,0.05,0
0.74,0.05,0
0.76,0.05,0
0.78,0.05,3.44E-05
0.8,0.05,6.90E-05
0.82,0.05,0.000344617
0.84,0.05,0.000354988
0.86,0.05,0.001433122
0.88,0.05,0.00163429
0.9,0.05,0.003924799
0.92,0.05,0.004824288
0.94,0.05,0.010173918
0.96,0.05,0.01543636
0.98,0.05,0.02411653
1,0.05,0.0429234
0.6,0.06,0
0.62,0.06,0
0.64,0.06,0
0.66,0.06,0
0.68,0.06,0
0.7,0.06,0
0.72,0.06,0
0.74,0.06,0
0.76,0.06,8.56E-06
0.78,0.06,8.56E-06
0.8,0.06,0.000119765
0.82,0.06,0.000229237
0.84,0.06,0.000145415
0.86,0.06,0.000699474
0.88,0.06,0.001541881
0.9,0.06,0.003621429
0.92,0.06,0.005695584
0.94,0.06,0.011185553
0.96,0.06,0.017694638
0.98,0.06,0.03096282
1,0.06,0.04137871
0.6,0.07,0
0.62,0.07,0
0.64,0.07,0
0.66,0.07,0
0.68,0.07,0
0.7,0.07,0
0.72,0.07,0
0.74,0.07,0
0.76,0.07,8.40E-06
0.78,0.07,2.57E-05
0.8,0.07,0.000100525
0.82,0.07,0.000119208
0.84,0.07,0.000660911
0.86,0.07,0.001102937
0.88,0.07,0.003192335
