Migration Rate,Corridor Width,1L1T - Persistance
0.02,0.02,0.999929
0.02,0.01,0.9999733
0.02,0.04,0.9998185
0.02,0.03,0.999683
0.02,0.06,0.9996758
0.02,0.05,0.9995678
0.02,0.08,0.9992065
0.02,0.07,0.9994027
0.02,0.1,0.9996041
0.02,0.09,0.9996136
0.02,0.12,0.9995269
0.02,0.11,0.9992191
0.02,0.14,0.9991848
0.02,0.13,0.9995772
0.02,0.16,0.9986703
0.02,0.15,0.9991116
0.02,0.18,0.9987625
0.02,0.17,0.9988331
0.02,0.2,0.9994611
0.02,0.19,0.9982533
0.025,0.02,0.9995735
0.025,0.01,0.9996352
0.025,0.04,0.9997929
0.025,0.03,0.9993321
0.025,0.06,0.9993391
0.025,0.05,0.9996919
0.025,0.08,0.99917
0.025,0.07,0.9993485
0.025,0.1,0.9989228
0.025,0.09,0.9992963
0.025,0.12,0.9991087
0.025,0.11,0.9989887
0.025,0.14,0.9989342
0.025,0.13,0.9990583
0.025,0.16,0.9986085
0.025,0.15,0.9984886
0.025,0.18,0.9990612
0.025,0.17,0.9982707
0.025,0.2,0.9981021
0.025,0.19,0.9980802
0.03,0.02,0.9999383
0.03,0.01,0.9999825
0.03,0.04,0.9992925
0.03,0.03,0.9995265
0.03,0.06,0.9993811
0.03,0.05,0.9991133
0.03,0.08,0.9990315
0.03,0.07,0.9976984
0.03,0.1,0.9984787
0.03,0.09,0.9987417
0.03,0.12,0.9986379
0.03,0.11,0.9982774
0.03,0.14,0.9980493
0.03,0.13,0.998354
0.03,0.16,0.9980333
0.03,0.15,0.9975444
0.03,0.18,0.997109
0.03,0.17,0.9974725
0.03,0.2,0.9971014
0.03,0.19,0.9976593
0.035,0.02,0.9996485
0.035,0.01,0.9999112
0.035,0.04,0.9985431
0.035,0.03,0.9995603
0.035,0.06,0.9980986
0.035,0.05,0.9990437
0.035,0.08,0.998496
0.035,0.07,0.9986986
0.035,0.1,0.9975395
0.035,0.09,0.9974508
0.035,0.12,0.9987038
0.035,0.11,0.9965674
0.035,0.14,0.997185
0.035,0.13,0.9972463
0.035,0.16,0.9963064
0.035,0.15,0.9970796
0.035,0.18,0.9970147
0.035,0.17,0.9947792
0.035,0.2,0.9958723
0.035,0.19,0.9969721
0.04,0.02,0.9993046
0.04,0.01,0.9993104
0.04,0.04,0.9978394
0.04,0.03,0.99835
0.04,0.06,0.9971675
0.04,0.05,0.997918
0.04,0.08,0.9973232
0.04,0.07,0.9964563
0.04,0.1,0.9960828
0.04,0.09,0.9965999
0.04,0.12,0.9963475
0.04,0.11,0.9982658
0.04,0.14,0.9956822
0.04,0.13,0.9951577
0.04,0.16,0.9962325
0.04,0.15,0.9960016
0.04,0.18,0.994825
0.04,0.17,0.996041
0.04,0.2,0.9951694
0.04,0.19,0.9956501
0.045,0.02,0.9989335
0.045,0.01,0.9994288
0.045,0.04,0.9978228
0.045,0.03,0.9983316
0.045,0.06,0.9963286
0.045,0.05,0.9972098
0.045,0.08,0.9951861
0.045,0.07,0.9969682
0.045,0.1,0.9959141
0.045,0.09,0.9950836
0.045,0.12,0.9935204
0.045,0.11,0.9944212
0.045,0.14,0.9939455
0.045,0.13,0.9950992
0.045,0.16,0.9953584
0.045,0.15,0.9939117
0.045,0.18,0.995023
0.045,0.17,0.9954078
0.045,0.2,0.9952482
0.045,0.19,0.9948083
0.05,0.02,0.9974901
0.05,0.01,0.9991187
0.05,0.04,0.9968189
0.05,0.03,0.9986757
0.05,0.06,0.9933629
0.05,0.05,0.9947568
0.05,0.08,0.9929818
0.05,0.07,0.9950492
0.05,0.1,0.992428
0.05,0.09,0.9940951
0.05,0.12,0.994233
0.05,0.11,0.9930592
0.05,0.14,0.993607
0.05,0.13,0.9936478
0.05,0.16,0.9935697
0.05,0.15,0.9946359
0.05,0.18,0.9930465
0.05,0.17,0.9935538
0.05,0.2,0.992669
0.05,0.19,0.9937102
0.055,0.02,0.9978114
0.055,0.01,0.9981453
0.055,0.04,0.9946909
0.055,0.03,0.9962097
0.055,0.06,0.9929977
0.055,0.05,0.9928
0.055,0.08,0.9931357
0.055,0.07,0.9908246
0.055,0.1,0.991786
0.055,0.09,0.9913815
0.055,0.12,0.9914843
0.055,0.11,0.9919818
0.055,0.14,0.9902292
0.055,0.13,0.9910764
0.055,0.16,0.9922973
0.055,0.15,0.9929991
0.055,0.18,0.9903157
