Migration Rate,Corridor Width,1L1T - Persistance
0.02,0.02,0.9988903
0.02,0.01,0.9995922
0.02,0.04,0.9972769
0.02,0.03,0.9993522
0.02,0.06,0.9972625
0.02,0.05,0.9982169
0.02,0.08,0.9945131
0.02,0.07,0.9982827
0.02,0.1,0.9926715
0.02,0.09,0.9956804
0.02,0.12,0.9940908
0.02,0.11,0.9951733
0.02,0.14,0.9935316
0.02,0.13,0.9956116
0.02,0.16,0.9945632
0.02,0.15,0.9929593
0.02,0.18,0.9931655
0.02,0.17,0.9922403
0.02,0.2,0.9878072
0.02,0.19,0.988143
0.025,0.02,0.998314
0.025,0.01,0.999331
0.025,0.04,0.9979841
0.025,0.03,0.9977307
0.025,0.06,0.996552
0.025,0.05,0.9972074
0.025,0.08,0.9950813
0.025,0.07,0.9965622
0.025,0.1,0.9940173
0.025,0.09,0.9956023
0.025,0.12,0.9940705
0.025,0.11,0.9953735
0.025,0.14,0.9915592
0.025,0.13,0.9909923
0.025,0.16,0.9918227
0.025,0.15,0.9942442
0.025,0.18,0.9919952
0.025,0.17,0.989437
0.025,0.2,0.9903051
0.025,0.19,0.9901505
0.03,0.02,0.998584
0.03,0.01,0.9982781
0.03,0.04,0.9976285
0.03,0.03,0.9979679
0.03,0.06,0.9951265
0.03,0.05,0.9957041
0.03,0.08,0.9951798
0.03,0.07,0.9909198
0.03,0.1,0.9957931
0.03,0.09,0.9930499
0.03,0.12,0.9908396
0.03,0.11,0.9913724
0.03,0.14,0.9935222
0.03,0.13,0.9956417
0.03,0.16,0.9937098
0.03,0.15,0.9920639
0.03,0.18,0.9897066
0.03,0.17,0.9922548
0.03,0.2,0.9904723
0.03,0.19,0.9879558
0.035,0.02,0.9981362
0.035,0.01,0.999639
0.035,0.04,0.9973861
0.035,0.03,0.9976953
0.035,0.06,0.9966068
0.035,0.05,0.9975022
0.035,0.08,0.9953683
0.035,0.07,0.9944671
0.035,0.1,0.9889405
0.035,0.09,0.9920233
0.035,0.12,0.98976
0.035,0.11,0.991895
0.035,0.14,0.9910752
0.035,0.13,0.9871059
0.035,0.16,0.9910771
0.035,0.15,0.9870186
0.035,0.18,0.9899308
0.035,0.17,0.988034
0.035,0.2,0.9848141
0.035,0.19,0.98855
0.04,0.02,0.9983428
0.04,0.01,0.9995852
0.04,0.04,0.998224
0.04,0.03,0.9989259
0.04,0.06,0.9963671
0.04,0.05,0.9961265
0.04,0.08,0.9931501
0.04,0.07,0.9930365
0.04,0.1,0.992526
0.04,0.09,0.9921331
0.04,0.12,0.9918104
0.04,0.11,0.993273
0.04,0.14,0.9875976
0.04,0.13,0.994519
