Migration Rate,Corridor Width,Normal Allele - Persistance
0.02,0.01,0.99825
0.02,0.02,0.9928338
0.02,0.03,0.9918357
0.02,0.04,0.985686
0.02,0.05,0.9872627
0.02,0.06,0.9829064
0.02,0.07,0.9771033
0.02,0.08,0.9756845
0.02,0.09,0.9717153
0.02,0.1,0.9704484
0.02,0.11,0.9705418
0.02,0.12,0.9618589
0.02,0.13,0.9619402
0.02,0.14,0.9683701
0.02,0.15,0.9596982
0.02,0.16,0.9496452
0.02,0.17,0.9537537
0.02,0.18,0.9447073
0.02,0.19,0.9503638
0.02,0.2,0.9429992
0.025,0.01,0.9953715
0.025,0.02,0.9934721
0.025,0.03,0.9931962
0.025,0.04,0.9860751
0.025,0.05,0.9811959
0.025,0.06,0.9762636
0.025,0.07,0.97554
0.025,0.08,0.9684025
0.025,0.09,0.9657234
0.025,0.1,0.9624844
0.025,0.11,0.9602865
0.025,0.12,0.9559229
0.025,0.13,0.9590565
0.025,0.14,0.9449981
0.025,0.15,0.9403748
0.025,0.16,0.9403462
0.025,0.17,0.9374786
0.025,0.18,0.9303247
0.025,0.19,0.9332154
0.025,0.2,0.9306545
0.03,0.01,0.9959571
0.03,0.02,0.9916923
0.03,0.03,0.9895052
0.03,0.04,0.9858023
0.03,0.05,0.9768531
0.03,0.06,0.9739208
0.03,0.07,0.9729749
0.03,0.08,0.962926
0.03,0.09,0.9621921
0.03,0.1,0.9564088
0.03,0.11,0.9488992
0.03,0.12,0.9445151
0.03,0.13,0.9453387
0.03,0.14,0.9368979
0.03,0.15,0.9318945
0.03,0.16,0.9250233
0.03,0.17,0.9268599
0.03,0.18,0.9260483
0.03,0.19,0.9142399
0.03,0.2,0.9227369
0.035,0.01,0.9960037
0.035,0.02,0.9885728
0.035,0.03,0.9865285
0.035,0.04,0.9839782
0.035,0.05,0.9697051
0.035,0.06,0.9662354
0.035,0.07,0.9591267
0.035,0.08,0.9539934
0.035,0.09,0.9520594
0.035,0.1,0.9468514
0.035,0.11,0.9436027
0.035,0.12,0.9357433
0.035,0.13,0.9313945
0.035,0.14,0.9235918
0.035,0.15,0.9201714
0.035,0.16,0.9245304
0.035,0.17,0.9185505
0.035,0.18,0.9092568
0.035,0.19,0.908977
0.035,0.2,0.9120527
0.04,0.01,0.9956284
0.04,0.02,0.9877784
0.04,0.03,0.9829729
0.04,0.04,0.9717755
0.04,0.05,0.9711089
0.04,0.06,0.9636239
0.04,0.07,0.9516036
0.04,0.08,0.9491408
0.04,0.09,0.9419013
0.04,0.1,0.9404388
0.04,0.11,0.9359225
0.04,0.12,0.926274
0.04,0.13,0.9219202
0.04,0.14,0.9183785
0.04,0.15,0.9222942
0.04,0.16,0.901211
0.04,0.17,0.898881
0.04,0.18,0.8986802
0.04,0.19,0.889655
0.04,0.2,0.8839372
0.045,0.01,0.9933633
0.045,0.02,0.9854313
0.045,0.03,0.9760136
0.045,0.04,0.9690951
0.045,0.05,0.9646598
0.045,0.06,0.9488917
0.045,0.07,0.9480219
0.045,0.08,0.9341865
0.045,0.09,0.9429347
0.045,0.1,0.9305765
0.045,0.11,0.9215273
0.045,0.12,0.9085072
0.045,0.13,0.9143499
0.045,0.14,0.9085065
0.045,0.15,0.8994188
0.045,0.16,0.8987978
0.045,0.17,0.9000303
0.045,0.18,0.8829239
0.045,0.19,0.8829751
0.045,0.2,0.867285
0.05,0.01,0.9912331
