Migration Rate,Corridor Width,2L2T - Invasion
0.02,0.01,0.005416096
0.025,0.01,0.003760175
0.03,0.01,0.003661392
0.035,0.01,0.003250576
0.04,0.01,0.00322548
0.045,0.01,0.001671277
0.05,0.01,0.001579904
0.055,0.01,0.00171157
0.06,0.01,0.001618701
0.065,0.01,0.001327734
0.07,0.01,0.000874771
0.075,0.01,0.000914114
0.08,0.01,0.001407613
0.085,0.01,0.00122828
0.09,0.01,0.001387947
0.095,0.01,0.001990834
0.1,0.01,0.001132745
0.02,0.02,0.011802943
0.025,0.02,0.010747508
0.03,0.02,0.008416325
0.035,0.02,0.008572676
0.04,0.02,0.006527598
0.045,0.02,0.006087396
0.05,0.02,0.004971604
0.055,0.02,0.004126554
0.06,0.02,0.003466041
0.065,0.02,0.0031227
0.07,0.02,0.003621806
0.075,0.02,0.004154388
0.08,0.02,0.003102028
0.085,0.02,0.003144146
0.09,0.02,0.002754667
0.095,0.02,0.003581238
0.1,0.02,0.003097035
0.02,0.03,0.02024025
0.025,0.03,0.01698488
0.03,0.03,0.01561461
0.035,0.03,0.01388876
0.04,0.03,0.01218358
0.045,0.03,0.011261647
0.05,0.03,0.010475595
0.055,0.03,0.008351439
0.06,0.03,0.00731024
0.065,0.03,0.008028668
0.07,0.03,0.006240382
0.075,0.03,0.006056622
0.08,0.03,0.005877913
0.085,0.03,0.00521344
0.09,0.03,0.005390774
0.095,0.03,0.006593985
0.1,0.03,0.00578111
0.02,0.04,0.02648164
0.025,0.04,0.02704306
0.03,0.04,0.02607216
0.035,0.04,0.02319954
0.04,0.04,0.02152979
0.045,0.04,0.0157545
0.05,0.04,0.01480509
0.055,0.04,0.01500512
0.06,0.04,0.01369367
0.065,0.04,0.012729058
0.07,0.04,0.010611373
0.075,0.04,0.010052863
0.08,0.04,0.009419379
0.085,0.04,0.008015876
0.09,0.04,0.008660253
0.095,0.04,0.009009812
0.1,0.04,0.008661887
0.02,0.05,0.0366592
0.025,0.05,0.03707166
0.03,0.05,0.03581699
0.035,0.05,0.0295305
0.04,0.05,0.02872991
0.045,0.05,0.02530437
0.05,0.05,0.02268583
0.055,0.05,0.02276825
0.06,0.05,0.01838139
0.065,0.05,0.01774579
0.07,0.05,0.01694672
0.075,0.05,0.01693739
0.08,0.05,0.01415809
0.085,0.05,0.013584847
0.09,0.05,0.01332138
0.095,0.05,0.013543997
0.1,0.05,0.01271043
0.02,0.06,0.04780787
0.025,0.06,0.05576156
0.03,0.06,0.05080672
0.035,0.06,0.04171413
0.04,0.06,0.03976678
0.045,0.06,0.03674406
0.05,0.06,0.03043781
0.055,0.06,0.03072511
0.06,0.06,0.02576991
0.065,0.06,0.02591701
0.07,0.06,0.02544569
0.075,0.06,0.02243797
0.08,0.06,0.02219919
0.085,0.06,0.0193719
0.09,0.06,0.01881261
0.095,0.06,0.01797726
0.1,0.06,0.017814
0.02,0.07,0.05859215
0.025,0.07,0.06630452
0.03,0.07,0.06014213
0.035,0.07,0.05757045
0.04,0.07,0.0514398
0.045,0.07,0.04714059
0.05,0.07,0.04534109
0.055,0.07,0.03765823
0.06,0.07,0.03555739
0.065,0.07,0.03509138
0.07,0.07,0.0337199
0.075,0.07,0.03043032
0.08,0.07,0.02567575
0.085,0.07,0.02817973
0.09,0.07,0.02687306
0.095,0.07,0.02393027
0.1,0.07,0.02501229
0.02,0.08,0.06747047
0.025,0.08,0.07253922
0.03,0.08,0.08201501
0.035,0.08,0.07224421
0.04,0.08,0.07011404
0.045,0.08,0.06273389
0.05,0.08,0.05498024
0.055,0.08,0.05058465
0.06,0.08,0.045973
0.065,0.08,0.0430409
0.07,0.08,0.04208914
0.075,0.08,0.03901589
0.08,0.08,0.03628919
0.085,0.08,0.0331535
0.09,0.08,0.0314554
0.095,0.08,0.03282055
0.1,0.08,0.0308139
0.02,0.09,0.07936752
0.025,0.09,0.09834982
0.03,0.09,0.10164052
0.035,0.09,0.10399229
0.04,0.09,0.10386139
0.045,0.09,0.08868943
0.05,0.09,0.08050726
0.055,0.09,0.07038025
0.06,0.09,0.06800221
0.065,0.09,0.0590431
0.07,0.09,0.05366113
0.075,0.09,0.05118643
0.08,0.09,0.0481072
0.085,0.09,0.04381846
0.09,0.09,0.04456958
0.095,0.09,0.03908256
0.1,0.09,0.03979434
0.02,0.1,0.08875554
0.025,0.1,0.10151899
0.03,0.1,0.12566667
0.035,0.1,0.1372406
0.04,0.1,0.12115
0.045,0.1,0.11893995
0.05,0.1,0.11067194
0.055,0.1,0.09544742
0.06,0.1,0.08480754
0.065,0.1,0.07879619
0.07,0.1,0.07295199
0.075,0.1,0.06999965
0.08,0.1,0.0611261
0.085,0.1,0.05739507
0.09,0.1,0.05680426
0.095,0.1,0.05210805
0.1,0.1,0.04926853
0.02,0.11,0.099733
0.025,0.11,0.1177704
0.03,0.11,0.1293815
0.035,0.11,0.1547402
0.04,0.11,0.152067
0.045,0.11,0.1409
0.05,0.11,0.1376798
0.055,0.11,0.1288897
0.06,0.11,0.1202097
0.065,0.11,0.10935824
0.07,0.11,0.09596166
0.075,0.11,0.09411623
0.08,0.11,0.07860808
0.085,0.11,0.07332167
0.09,0.11,0.06605957
0.095,0.11,0.06566812
0.1,0.11,0.06180501
0.02,0.12,0.10862675
0.025,0.12,0.1325262
0.03,0.12,0.1516044
0.035,0.12,0.1678249
0.04,0.12,0.1890997
0.045,0.12,0.1861083
0.05,0.12,0.1843242
0.055,0.12,0.1665223
0.06,0.12,0.1749432
0.065,0.12,0.1546995
0.07,0.12,0.1347891
0.075,0.12,0.11760733
0.08,0.12,0.10383898
0.085,0.12,0.09387453
0.09,0.12,0.08917069
0.095,0.12,0.07864311
0.1,0.12,0.07736548
0.02,0.13,0.121281
0.025,0.13,0.1487217
0.03,0.13,0.1733718
0.035,0.13,0.1956381
0.04,0.13,0.2019048
0.045,0.13,0.2276977
0.05,0.13,0.2435884
0.055,0.13,0.2238038
0.06,0.13,0.2529866
0.065,0.13,0.2107889
0.07,0.13,0.1938363
0.075,0.13,0.1628229
0.08,0.13,0.15801835
0.085,0.13,0.1331749
0.09,0.13,0.10983107
0.095,0.13,0.11090583
0.1,0.13,0.10198486
0.02,0.14,0.1356474
0.025,0.14,0.1571807
0.03,0.14,0.1930477
0.035,0.14,0.1998463
0.04,0.14,0.2276142
0.045,0.14,0.2597228
0.05,0.14,0.258142
0.055,0.14,0.2676871
0.06,0.14,0.2816646
0.065,0.14,0.2671018
0.07,0.14,0.2372675
0.075,0.14,0.2275085
0.08,0.14,0.1783084
0.085,0.14,0.1748324
0.09,0.14,0.1506613
0.095,0.14,0.1359093
0.1,0.14,0.1289732
0.02,0.15,0.1394134
0.025,0.15,0.1719377
0.03,0.15,0.1948524
0.035,0.15,0.2246641
0.04,0.15,0.2743218
0.045,0.15,0.2729693
0.05,0.15,0.314657
0.055,0.15,0.3002464
0.06,0.15,0.366113
0.065,0.15,0.3382444
0.07,0.15,0.3544659
0.075,0.15,0.3099738
0.08,0.15,0.3134198
0.085,0.15,0.2875733
0.09,0.15,0.2762807
0.095,0.15,0.206786
0.1,0.15,0.1843296
0.02,0.16,0.1462383
0.025,0.16,0.1857153
0.03,0.16,0.224821
0.035,0.16,0.2591224
0.04,0.16,0.2824754
0.045,0.16,0.3359786
0.05,0.16,0.3336891
0.055,0.16,0.3986285
0.06,0.16,0.3913859
0.065,0.16,0.3872348
0.07,0.16,0.4147056
0.075,0.16,0.3755672
0.08,0.16,0.4111421
0.085,0.16,0.3989313
0.09,0.16,0.374584
0.095,0.16,0.3467431
0.1,0.16,0.2853622
0.02,0.17,0.1595341
0.025,0.17,0.1946733
0.03,0.17,0.2362894
0.035,0.17,0.2732973
0.04,0.17,0.3225497
0.045,0.17,0.3496063
0.05,0.17,0.4135857
0.055,0.17,0.4300678
0.06,0.17,0.4321984
0.065,0.17,0.477449
0.07,0.17,0.5041644
0.075,0.17,0.5251887
0.08,0.17,0.460038
0.085,0.17,0.4950053
0.09,0.17,0.5503901
0.095,0.17,0.491158
0.1,0.17,0.5180591
0.02,0.18,0.1644594
0.025,0.18,0.2072163
0.03,0.18,0.2388299
0.035,0.18,0.286207
0.04,0.18,0.3265781
0.045,0.18,0.3646551
0.05,0.18,0.4172449
