Migration Rate,Corridor Width,RCT - Invasion
0.02,0.02,0.001576931
0.02,0.01,0.000915086
0.02,0.04,0.002188543
0.02,0.03,0.003135576
0.02,0.06,0.00449273
0.02,0.05,0.005367995
0.02,0.08,0.003125066
0.02,0.07,0.006012634
0.02,0.1,0.003582204
0.02,0.09,0.00408306
0.02,0.12,0.005094268
0.02,0.11,0.008416639
0.02,0.14,0.006495112
0.02,0.13,0.008393109
0.02,0.16,0.00927632
0.02,0.15,0.007235628
0.02,0.18,0.009160756
0.02,0.17,0.007228115
0.02,0.2,0.005937765
0.02,0.19,0.006782334
0.025,0.02,0.00203269
0.025,0.01,0.001001948
0.025,0.04,0.002164895
0.025,0.03,0.002944112
0.025,0.06,0.004205087
0.025,0.05,0.003360011
0.025,0.08,0.005884455
0.025,0.07,0.005205879
0.025,0.1,0.00436824
0.025,0.09,0.007259023
0.025,0.12,0.007769532
0.025,0.11,0.00707703
0.025,0.14,0.005905583
0.025,0.13,0.006206273
0.025,0.16,0.008027931
0.025,0.15,0.009046019
0.025,0.18,0.009536765
0.025,0.17,0.006790352
0.025,0.2,0.009193519
0.025,0.19,0.010054177
0.03,0.02,0.002305748
0.03,0.01,0.000788208
0.03,0.04,0.004491806
0.03,0.03,0.003300459
0.03,0.06,0.002687578
0.03,0.05,0.004379262
0.03,0.08,0.006604064
0.03,0.07,0.001852731
0.03,0.1,0.009049997
0.03,0.09,0.003858166
0.03,0.12,0.00481537
0.03,0.11,0.005396855
0.03,0.14,0.009972398
0.03,0.13,0.013144194
0.03,0.16,0.014478369
0.03,0.15,0.011279648
0.03,0.18,0.013121267
0.03,0.17,0.014293721
0.03,0.2,0.016230969
0.03,0.19,0.012206457
0.035,0.02,0.00083877
0.035,0.01,0.000577216
0.035,0.04,0.002820385
0.035,0.03,0.001691763
0.035,0.06,0.004765657
0.035,0.05,0.003349397
0.035,0.08,0.006572959
0.035,0.07,0.003840939
0.035,0.1,0.006144391
0.035,0.09,0.005846053
0.035,0.12,0.006566579
0.035,0.11,0.009482513
