Migration Rate,Corridor Width,Normal Allele - Invasion
0.02,0.01,0.002234868
0.02,0.02,0.00406161
0.02,0.03,0.009364151
0.02,0.04,0.012029077
0.02,0.05,0.011768584
0.02,0.06,0.01416539
0.02,0.07,0.025176696
0.02,0.08,0.021075876
0.02,0.09,0.02190572
0.02,0.1,0.03189139
0.02,0.11,0.03398837
0.02,0.12,0.03900028
0.02,0.13,0.03317069
0.02,0.14,0.04552894
0.02,0.15,0.05101653
0.02,0.16,0.04172475
0.02,0.17,0.05359047
0.02,0.18,0.05394009
0.02,0.19,0.05470634
0.02,0.2,0.0553929
0.025,0.01,0.002529318
0.025,0.02,0.005565433
0.025,0.03,0.009310045
0.025,0.04,0.017214783
0.025,0.05,0.011891631
0.025,0.06,0.020057977
0.025,0.07,0.02544877
0.025,0.08,0.0327326
0.025,0.09,0.03817721
0.025,0.1,0.0378059
0.025,0.11,0.04597113
0.025,0.12,0.04241147
0.025,0.13,0.05146882
0.025,0.14,0.04911633
0.025,0.15,0.05476318
0.025,0.16,0.06168294
0.025,0.17,0.06108069
0.025,0.18,0.06101197
0.025,0.19,0.06854864
0.025,0.2,0.06824269
0.03,0.01,0.004316127
0.03,0.02,0.008885906
0.03,0.03,0.010717089
0.03,0.04,0.017323126
0.03,0.05,0.02475366
0.03,0.06,0.0305761
0.03,0.07,0.03072234
0.03,0.08,0.03780385
0.03,0.09,0.03277153
0.03,0.1,0.04147932
0.03,0.11,0.04975741
0.03,0.12,0.056362
0.03,0.13,0.0641921
0.03,0.14,0.05956511
0.03,0.15,0.06699101
0.03,0.16,0.07769885
0.03,0.17,0.07127586
0.03,0.18,0.07477502
0.03,0.19,0.08123463
0.03,0.2,0.08616546
0.035,0.01,0.005149574
0.035,0.02,0.009163637
0.035,0.03,0.016660821
0.035,0.04,0.021269237
0.035,0.05,0.02505494
0.035,0.06,0.0346794
0.035,0.07,0.03479539
0.035,0.08,0.03776079
0.035,0.09,0.0518512
0.035,0.1,0.05422723
0.035,0.11,0.06006831
0.035,0.12,0.06431276
0.035,0.13,0.06671987
0.035,0.14,0.07140912
0.035,0.15,0.07906392
0.035,0.16,0.08114704
0.035,0.17,0.08018162
0.035,0.18,0.08186145
0.035,0.19,0.09178761
0.035,0.2,0.10077752
0.04,0.01,0.005155836
0.04,0.02,0.008555044
0.04,0.03,0.020342626
0.04,0.04,0.025182117
0.04,0.05,0.0323512
0.04,0.06,0.036081254
0.04,0.07,0.03629649
0.04,0.08,0.04845613
0.04,0.09,0.04956912
0.04,0.1,0.06287642
0.04,0.11,0.0682782
0.04,0.12,0.07177716
0.04,0.13,0.07218246
0.04,0.14,0.08336435
0.04,0.15,0.09354642
0.04,0.16,0.09590734
0.04,0.17,0.09496979
0.04,0.18,0.09873171
0.04,0.19,0.10213859
0.04,0.2,0.1129596
0.045,0.01,0.005343231
0.045,0.02,0.010170671
0.045,0.03,0.017989688
0.045,0.04,0.02216066
0.045,0.05,0.03489954
0.045,0.06,0.03830516
0.045,0.07,0.04819588
0.045,0.08,0.05704922
0.045,0.09,0.07475469
0.045,0.1,0.07208273
0.045,0.11,0.08015966
0.045,0.12,0.07897955
0.045,0.13,0.09031305
0.045,0.14,0.1066279
0.045,0.15,0.09806266
0.045,0.16,0.10982085
0.045,0.17,0.11775081
0.045,0.18,0.11543526
0.045,0.19,0.1302166
0.045,0.2,0.1264423
0.05,0.01,0.011750438
0.05,0.02,0.01530183
0.05,0.03,0.021543706
0.05,0.04,0.03227508
0.05,0.05,0.04249433
0.05,0.06,0.04708463
0.05,0.07,0.04961696
0.05,0.08,0.07686662
0.05,0.09,0.0707227
0.05,0.1,0.08507585
0.05,0.11,0.1007354
0.05,0.12,0.09753408
0.05,0.13,0.10795981
0.05,0.14,0.11159133
0.05,0.15,0.11339054
0.05,0.16,0.10060682
0.05,0.17,0.1410379
0.05,0.18,0.130517
0.05,0.19,0.1298175
0.05,0.2,0.1333718
0.055,0.01,0.010813143
0.055,0.02,0.020419649
0.055,0.03,0.02815862
0.055,0.04,0.03959627
0.055,0.05,0.04233632
0.055,0.06,0.05695114
0.055,0.07,0.06686129
0.055,0.08,0.07529462
0.055,0.09,0.08008957
0.055,0.1,0.08819583
0.055,0.11,0.10309569
0.055,0.12,0.11293403
0.055,0.13,0.11753293
0.055,0.14,0.1241844
0.055,0.15,0.1324814
0.055,0.16,0.13338625
0.055,0.17,0.148255
0.055,0.18,0.14865298
0.055,0.19,0.1621722
0.055,0.2,0.1506314
0.06,0.01,0.012208475
0.06,0.02,0.020788253
0.06,0.03,0.03540635
0.06,0.04,0.03870601
0.06,0.05,0.04072706
