Fitness,Migration Rate,1L2T - Persistence
0.6,0,1
0.6,0.005,0.9933814
0.6,0.01,0.9817267
0.6,0.015,0.9748119
0.6,0.02,0
0.6,0.025,0
0.6,0.03,0
0.6,0.035,0
0.6,0.04,0
0.6,0.045,0
0.6,0.05,0
0.6,0.055,0
0.6,0.06,0
0.6,0.065,0
0.6,0.07,0
0.6,0.075,0
0.6,0.08,0
0.6,0.085,0
0.6,0.09,0
0.6,0.095,0
0.6,0.1,0
0.62,0,1
0.62,0.005,0.9870227
0.62,0.01,0.9856832
0.62,0.015,0.9756239
0.62,0.02,0.109186936
0.62,0.025,0
0.62,0.03,0
0.62,0.035,0
0.62,0.04,0
0.62,0.045,0
0.62,0.05,0
0.62,0.055,0
0.62,0.06,0
0.62,0.065,0
0.62,0.07,0
0.62,0.075,0
0.62,0.08,0
0.62,0.085,0
0.62,0.09,0
0.62,0.095,0
0.62,0.1,0
0.64,0,1
0.64,0.005,0.9945505
0.64,0.01,0.982028
0.64,0.015,0.9820178
0.64,0.02,0.7564943
0.64,0.025,0
0.64,0.03,0
0.64,0.035,0
0.64,0.04,0
0.64,0.045,0
0.64,0.05,0
0.64,0.055,0
0.64,0.06,0
0.64,0.065,0
0.64,0.07,0
0.64,0.075,0
0.64,0.08,0
0.64,0.085,0
0.64,0.09,0
0.64,0.095,0
0.64,0.1,0
0.66,0,1
0.66,0.005,0.9993807
0.66,0.01,0.9829868
0.66,0.015,0.9814443
0.66,0.02,0.9613092
0.66,0.025,0
0.66,0.03,0
0.66,0.035,0
0.66,0.04,0
0.66,0.045,0
0.66,0.05,0
0.66,0.055,0
0.66,0.06,0
0.66,0.065,0
0.66,0.07,0
0.66,0.075,0
0.66,0.08,0
0.66,0.085,0
0.66,0.09,0
0.66,0.095,0
0.66,0.1,0
0.68,0,1
0.68,0.005,0.9968686
0.68,0.01,0.9854214
0.68,0.015,0.9823098
0.68,0.02,0.9700821
0.68,0.025,0
0.68,0.03,0
0.68,0.035,0
0.68,0.04,0
0.68,0.045,0
0.68,0.05,0
0.68,0.055,0
0.68,0.06,0
0.68,0.065,0
0.68,0.07,0
0.68,0.075,0
0.68,0.08,0
0.68,0.085,0
0.68,0.09,0
0.68,0.095,0
0.68,0.1,0
0.7,0,0.9965496
0.7,0.005,0.9948172
0.7,0.01,0.9879356
0.7,0.015,0.9749233
0.7,0.02,0.9665979
0.7,0.025,0.18235619
0.7,0.03,0
0.7,0.035,0
0.7,0.04,0
0.7,0.045,0
0.7,0.05,0
0.7,0.055,0
0.7,0.06,0
0.7,0.065,0
0.7,0.07,0
0.7,0.075,0
0.7,0.08,0
0.7,0.085,0
0.7,0.09,0
0.7,0.095,0
0.7,0.1,0
0.72,0,0.9993709
0.72,0.005,0.9970697
0.72,0.01,0.9963332
0.72,0.015,0.9740021
0.72,0.02,0.9670322
0.72,0.025,0.8226069
0.72,0.03,0
0.72,0.035,0
0.72,0.04,0
0.72,0.045,0
0.72,0.05,0
0.72,0.055,0
0.72,0.06,0
0.72,0.065,0
0.72,0.07,0
0.72,0.075,0
0.72,0.08,0
0.72,0.085,0
0.72,0.09,0
0.72,0.095,0
0.72,0.1,0
0.74,0,1
0.74,0.005,0.9947438
0.74,0.01,0.9837247
0.74,0.015,0.9803163
0.74,0.02,0.9673937
0.74,0.025,0.9431833
0.74,0.03,0
0.74,0.035,0
0.74,0.04,0
0.74,0.045,0
0.74,0.05,0
0.74,0.055,0
0.74,0.06,0
0.74,0.065,0
0.74,0.07,0
0.74,0.075,0
0.74,0.08,0
0.74,0.085,0
0.74,0.09,0
0.74,0.095,0
0.74,0.1,0
0.76,0,0.9984505
0.76,0.005,0.9979674
0.76,0.01,0.9935305
0.76,0.015,0.9791525
0.76,0.02,0.9711377
0.76,0.025,0.9570397
0.76,0.03,0
0.76,0.035,0
0.76,0.04,0
0.76,0.045,0
0.76,0.05,0
0.76,0.055,0
0.76,0.06,0
0.76,0.065,0
0.76,0.07,0
0.76,0.075,0
0.76,0.08,0
0.76,0.085,0
0.76,0.09,0
0.76,0.095,0
0.76,0.1,0
0.78,0,0.9968737
0.78,0.005,0.9930418
0.78,0.01,0.9903314
0.78,0.015,0.9827489
0.78,0.02,0.9716188
0.78,0.025,0.9561284
0.78,0.03,0.093159924
0.78,0.035,0
0.78,0.04,0
0.78,0.045,0
0.78,0.05,0
0.78,0.055,0
0.78,0.06,0
0.78,0.065,0
0.78,0.07,0
0.78,0.075,0
0.78,0.08,0
0.78,0.085,0
0.78,0.09,0
0.78,0.095,0
0.78,0.1,0
0.8,0,0.9941249
0.8,0.005,0.9901442
0.8,0.01,0.9832946
0.8,0.015,0.979575
0.8,0.02,0.9751553
0.8,0.025,0.9601229
0.8,0.03,0.613657592
0.8,0.035,0
0.8,0.04,0
0.8,0.045,0
0.8,0.05,0
0.8,0.055,0
0.8,0.06,0
0.8,0.065,0
0.8,0.07,0
0.8,0.075,0
0.8,0.08,0
0.8,0.085,0
0.8,0.09,0
0.8,0.095,0
0.8,0.1,0
0.82,0,0.9988428
