Fitness,Migration Rate,RCT - Persistence
0.6,0,1
0.6,0.005,0.96517
0.6,0.01,0.89638
0.6,0.015,0.66837
0.6,0.02,0.11766
0.6,0.025,0.00735
0.6,0.03,0.00071
0.6,0.035,0.00027
0.6,0.04,6.00E-05
0.6,0.045,0
0.6,0.05,0
0.6,0.055,0
0.6,0.06,0
0.6,0.065,0
0.6,0.07,0
0.6,0.075,0
0.6,0.08,0
0.6,0.085,0
0.6,0.09,0
0.6,0.095,0
0.6,0.1,0
0.62,0,1
0.62,0.005,0.96938
0.62,0.01,0.91483
0.62,0.015,0.77702
0.62,0.02,0.28239
0.62,0.025,0.02321
0.62,0.03,0.00234
0.62,0.035,0.00019
0.62,0.04,0.00015
0.62,0.045,9.00E-05
0.62,0.05,6.00E-05
0.62,0.055,0
0.62,0.06,0
0.62,0.065,1.00E-05
0.62,0.07,1.00E-05
0.62,0.075,1.00E-05
0.62,0.08,0
0.62,0.085,0
0.62,0.09,0
0.62,0.095,0
0.62,0.1,0
0.64,0,1
0.64,0.005,0.97062
0.64,0.01,0.92589
0.64,0.015,0.82247
0.64,0.02,0.4905
0.64,0.025,0.06126
0.64,0.03,0.00776
0.64,0.035,0.00105
0.64,0.04,0.00032
0.64,0.045,0.00011
0.64,0.05,4.00E-05
0.64,0.055,2.00E-05
0.64,0.06,0
0.64,0.065,1.00E-05
0.64,0.07,4.00E-05
0.64,0.075,0
0.64,0.08,0
0.64,0.085,2.00E-05
0.64,0.09,0
0.64,0.095,0
0.64,0.1,0
0.66,0,1
0.66,0.005,0.97227
0.66,0.01,0.93323
0.66,0.015,0.86043
0.66,0.02,0.60709
0.66,0.025,0.18077
0.66,0.03,0.01838
0.66,0.035,0.0026
0.66,0.04,0.00081
0.66,0.045,0.00041
0.66,0.05,0.00016
0.66,0.055,4.00E-05
0.66,0.06,3.00E-05
0.66,0.065,0
0.66,0.07,2.00E-05
0.66,0.075,0
0.66,0.08,1.00E-05
0.66,0.085,1.00E-05
0.66,0.09,0
0.66,0.095,0
0.66,0.1,0
0.68,0,1
0.68,0.005,0.97243
0.68,0.01,0.93671
0.68,0.015,0.88028
0.68,0.02,0.74617
0.68,0.025,0.38485
0.68,0.03,0.04387
0.68,0.035,0.00655
0.68,0.04,0.00144
0.68,0.045,0.00042
0.68,0.05,0.00022
0.68,0.055,0.00011
0.68,0.06,3.00E-05
0.68,0.065,4.00E-05
0.68,0.07,5.00E-05
0.68,0.075,0
0.68,0.08,0
0.68,0.085,0
0.68,0.09,1.00E-05
0.68,0.095,0
0.68,0.1,0
0.7,0,1
0.7,0.005,0.97545
0.7,0.01,0.9426
0.7,0.015,0.89643
0.7,0.02,0.79463
0.7,0.025,0.52906
0.7,0.03,0.15453
0.7,0.035,0.0209
0.7,0.04,0.00304
0.7,0.045,0.00126
0.7,0.05,0.00036
0.7,0.055,0.0001
0.7,0.06,9.00E-05
0.7,0.065,5.00E-05
0.7,0.07,6.00E-05
0.7,0.075,0
0.7,0.08,0
0.7,0.085,0
0.7,0.09,1.00E-05
0.7,0.095,0
0.7,0.1,0
0.72,0,1
0.72,0.005,0.97617
0.72,0.01,0.94651
0.72,0.015,0.90784
0.72,0.02,0.83969
0.72,0.025,0.66131
0.72,0.03,0.31672
0.72,0.035,0.0656
0.72,0.04,0.00992
0.72,0.045,0.0022
0.72,0.05,0.00084
0.72,0.055,0.00033
0.72,0.06,0.00021
0.72,0.065,0.00015
0.72,0.07,6.00E-05
0.72,0.075,4.00E-05
0.72,0.08,2.00E-05
0.72,0.085,3.00E-05
0.72,0.09,1.00E-05
0.72,0.095,0
0.72,0.1,0
0.74,0,1
0.74,0.005,0.97838
0.74,0.01,0.95116
0.74,0.015,0.91242
0.74,0.02,0.85218
0.74,0.025,0.73741
0.74,0.03,0.45227
0.74,0.035,0.15562
0.74,0.04,0.02516
0.74,0.045,0.00473
0.74,0.05,0.00194
0.74,0.055,0.00067
0.74,0.06,0.00034
0.74,0.065,0.00011
0.74,0.07,7.00E-05
0.74,0.075,7.00E-05
0.74,0.08,5.00E-05
0.74,0.085,1.00E-05
0.74,0.09,3.00E-05
0.74,0.095,1.00E-05
0.74,0.1,4.00E-05
0.76,0,1
0.76,0.005,0.97895
0.76,0.01,0.95335
0.76,0.015,0.91955
0.76,0.02,0.87705
0.76,0.025,0.7816
0.76,0.03,0.60211
0.76,0.035,0.32262
0.76,0.04,0.06026
0.76,0.045,0.01437
0.76,0.05,0.00559
0.76,0.055,0.00172
0.76,0.06,0.00082
0.76,0.065,0.00041
0.76,0.07,0.00014
0.76,0.075,0.00014
0.76,0.08,0.00016
0.76,0.085,5.00E-05
0.76,0.09,4.00E-05
0.76,0.095,3.00E-05
0.76,0.1,3.00E-05
0.78,0,1
0.78,0.005,0.9799
0.78,0.01,0.95558
0.78,0.015,0.9243
0.78,0.02,0.88669
0.78,0.025,0.81734
0.78,0.03,0.69704
0.78,0.035,0.4581
0.78,0.04,0.16201
0.78,0.045,0.03396
0.78,0.05,0.01373
0.78,0.055,0.00422
0.78,0.06,0.00171
0.78,0.065,0.00061
0.78,0.07,0.00045
0.78,0.075,0.00026
0.78,0.08,0.00016
0.78,0.085,3.00E-05
0.78,0.09,9.00E-05
0.78,0.095,7.00E-05
0.78,0.1,8.00E-05
0.8,0,1
0.8,0.005,0.97918
0.8,0.01,0.9568
0.8,0.015,0.93086
0.8,0.02,0.90071
0.8,0.025,0.84572
0.8,0.03,0.76588
0.8,0.035,0.61558
0.8,0.04,0.33163
0.8,0.045,0.10433
0.8,0.05,0.03648
0.8,0.055,0.00998
0.8,0.06,0.00387
0.8,0.065,0.00139
0.8,0.07,0.00065
0.8,0.075,0.00041
0.8,0.08,0.00023
0.8,0.085,0.00021
0.8,0.09,0.00011
0.8,0.095,1.00E-04
0.8,0.1,7.00E-05
0.82,0,1
0.82,0.005,0.98099
0.82,0.01,0.95967
0.82,0.015,0.93673
0.82,0.02,0.90559
0.82,0.025,0.86579
0.82,0.03,0.79728
0.82,0.035,0.69685
0.82,0.04,0.49811
0.82,0.045,0.23796
0.82,0.05,0.06455
0.82,0.055,0.02326
0.82,0.06,0.00694
0.82,0.065,0.00317
0.82,0.07,0.00193
0.82,0.075,0.0009
0.82,0.08,0.00052
0.82,0.085,0.00024
0.82,0.09,0.00018
0.82,0.095,0.0002
0.82,0.1,8.00E-05
0.84,0,1
0.84,0.005,0.98155
0.84,0.01,0.95858
0.84,0.015,0.93472
0.84,0.02,0.90997
0.84,0.025,0.87548
0.84,0.03,0.82331
0.84,0.035,0.75354
0.84,0.04,0.63132
0.84,0.045,0.38694
0.84,0.05,0.17433
0.84,0.055,0.05997
0.84,0.06,0.01465
0.84,0.065,0.00663
0.84,0.07,0.0031
0.84,0.075,0.00205
0.84,0.08,0.00118
0.84,0.085,0.00071
0.84,0.09,0.00033
0.84,0.095,0.00027
0.84,0.1,0.00021
0.86,0,1
0.86,0.005,0.98158
0.86,0.01,0.96181
0.86,0.015,0.93879
0.86,0.02,0.91404
0.86,0.025,0.88582
0.86,0.03,0.84788
0.86,0.035,0.79278
0.86,0.04,0.67111
0.86,0.045,0.50976
0.86,0.05,0.32077
0.86,0.055,0.13092
0.86,0.06,0.04124
0.86,0.065,0.01627
0.86,0.07,0.00891
0.86,0.075,0.00373
0.86,0.08,0.00258
0.86,0.085,0.00074
0.86,0.09,0.00089
0.86,0.095,0.00059
0.86,0.1,0.00047
0.88,0,1
0.88,0.005,0.98228
0.88,0.01,0.96399
0.88,0.015,0.94512
0.88,0.02,0.92282
0.88,0.025,0.89634
0.88,0.03,0.85864
0.88,0.035,0.8171
0.88,0.04,0.73803
0.88,0.045,0.6323
0.88,0.05,0.46903
0.88,0.055,0.29451
0.88,0.06,0.15652
0.88,0.065,0.05618
0.88,0.07,0.01534
0.88,0.075,0.0135
0.88,0.08,0.00519
0.88,0.085,0.00227
0.88,0.09,0.00194
0.88,0.095,0.00114
0.88,0.1,0.00053
0.9,0,1
0.9,0.005,0.98347
0.9,0.01,0.9641
0.9,0.015,0.94631
0.9,0.02,0.92594
0.9,0.025,0.90069
0.9,0.03,0.86986
0.9,0.035,0.83655
0.9,0.04,0.79457
0.9,0.045,0.71025
0.9,0.05,0.59427
0.9,0.055,0.41851
0.9,0.06,0.28348
0.9,0.065,0.1191
0.9,0.07,0.0631
0.9,0.075,0.02481
0.9,0.08,0.01646
0.9,0.085,0.0093
0.9,0.09,0.00515
0.9,0.095,0.00336
0.9,0.1,0.00217
0.92,0,1
0.92,0.005,0.98368
0.92,0.01,0.96579
0.92,0.015,0.94568
0.92,0.02,0.92885
0.92,0.025,0.90895
0.92,0.03,0.88384
0.92,0.035,0.85267
0.92,0.04,0.80845
0.92,0.045,0.75318
0.92,0.05,0.68464
0.92,0.055,0.54808
0.92,0.06,0.45301
0.92,0.065,0.26084
0.92,0.07,0.15586
0.92,0.075,0.08312
0.92,0.08,0.05731
0.92,0.085,0.02243
0.92,0.09,0.01406
0.92,0.095,0.00782
0.92,0.1,0.00429
0.94,0,1
0.94,0.005,0.98244
0.94,0.01,0.9664
0.94,0.015,0.95241
0.94,0.02,0.92899
0.94,0.025,0.90752
0.94,0.03,0.89236
0.94,0.035,0.86219
0.94,0.04,0.83273
0.94,0.045,0.79242
0.94,0.05,0.7232
0.94,0.055,0.68891
0.94,0.06,0.58463
0.94,0.065,0.39784
0.94,0.07,0.36536
0.94,0.075,0.1889
0.94,0.08,0.09362
0.94,0.085,0.07005
0.94,0.09,0.03066
0.94,0.095,0.0314
0.94,0.1,0.02813
0.96,0,1
0.96,0.005,0.98409
0.96,0.01,0.9688
0.96,0.015,0.95076
0.96,0.02,0.93509
0.96,0.025,0.91459
0.96,0.03,0.89718
0.96,0.035,0.87405
0.96,0.04,0.85132
0.96,0.045,0.81922
0.96,0.05,0.7895
0.96,0.055,0.74646
0.96,0.06,0.67316
0.96,0.065,0.63155
0.96,0.07,0.51091
0.96,0.075,0.40193
0.96,0.08,0.24866
0.96,0.085,0.20976
0.96,0.09,0.14071
0.96,0.095,0.11212
0.96,0.1,0.04997
0.98,0,1
0.98,0.005,0.9841
0.98,0.01,0.9689
0.98,0.015,0.95222
0.98,0.02,0.93453
0.98,0.025,0.9188
0.98,0.03,0.90069
0.98,0.035,0.88895
0.98,0.04,0.86449
0.98,0.045,0.83703
0.98,0.05,0.82493
0.98,0.055,0.79431
0.98,0.06,0.76358
0.98,0.065,0.7257
0.98,0.07,0.66121
0.98,0.075,0.61549
0.98,0.08,0.49161
0.98,0.085,0.51658
0.98,0.09,0.35472
0.98,0.095,0.31926
0.98,0.1,0.30247
1,0,1
1,0.005,0.98472
1,0.01,0.9694
1,0.015,0.9545
1,0.02,0.94102
1,0.025,0.92299
1,0.03,0.90775
1,0.035,0.89076
1,0.04,0.87144
1,0.045,0.85932
1,0.05,0.84039
1,0.055,0.8237
1,0.06,0.80797
1,0.065,0.76555
1,0.07,0.76854
1,0.075,0.76409
1,0.08,0.7173
1,0.085,0.72861
1,0.09,0.70745
1,0.095,0.6041
1,0.1,0.58704
