Fitness,Migration Rate,Normal Allele - Persistence
0.6,0,1
0.6,0.005,0.201176
0.6,0.01,0.11002543
0.6,0.015,0.06909144
0.6,0.02,0.04880551
0.6,0.025,0.03891026
0.6,0.03,0.02993031
0.6,0.035,0.02544569
0.6,0.04,0.02314032
0.6,0.045,0.01881844
0.6,0.05,0.01576797
0.6,0.055,0.01660189
0.6,0.06,0.01300926
0.6,0.065,0.013191605
0.6,0.07,0.012796362
0.6,0.075,0.011626174
0.6,0.08,0.012453528
0.6,0.085,0.009827301
0.6,0.09,0.010464079
0.6,0.095,0.00914199
0.6,0.1,0.009176298
0.62,0,1
0.62,0.005,0.2437593
0.62,0.01,0.1322015
0.62,0.015,0.08725789
0.62,0.02,0.06141063
0.62,0.025,0.05250335
0.62,0.03,0.03999117
0.62,0.035,0.03566739
0.62,0.04,0.02917277
0.62,0.045,0.02618
0.62,0.05,0.02414244
0.62,0.055,0.02038433
0.62,0.06,0.01832003
0.62,0.065,0.01603824
0.62,0.07,0.01606167
0.62,0.075,0.01690943
0.62,0.08,0.01497965
0.62,0.085,0.012561599
0.62,0.09,0.01422262
0.62,0.095,0.013791767
0.62,0.1,0.013576045
0.64,0,1
0.64,0.005,0.3163072
0.64,0.01,0.1761255
0.64,0.015,0.11620671
0.64,0.02,0.08421252
0.64,0.025,0.06619959
0.64,0.03,0.05127395
0.64,0.035,0.04518904
0.64,0.04,0.04185037
0.64,0.045,0.0327724
0.64,0.05,0.03205594
0.64,0.055,0.02608844
0.64,0.06,0.02348884
0.64,0.065,0.02217521
0.64,0.07,0.02290434
0.64,0.075,0.02050026
0.64,0.08,0.02020525
0.64,0.085,0.01875432
0.64,0.09,0.01759599
0.64,0.095,0.01717252
0.64,0.1,0.01728826
0.66,0,1
0.66,0.005,0.3491275
0.66,0.01,0.2160436
0.66,0.015,0.1455178
0.66,0.02,0.11099851
0.66,0.025,0.08422377
0.66,0.03,0.0699343
0.66,0.035,0.05696035
0.66,0.04,0.05089324
0.66,0.045,0.04462218
0.66,0.05,0.03715741
0.66,0.055,0.03457539
0.66,0.06,0.03401446
