Fitness,Migration Rate,1L1T - Invasion
0.6,0,0
0.6,0.005,0.009228722
0.6,0.01,0.01668833
0.6,0.015,0.02450903
0.6,0.02,0.03271064
0.6,0.025,0.04042971
0.6,0.03,0.04594999
0.6,0.035,0.04871255
0.6,0.04,0.024961191
0.6,0.045,0.001411753
0.6,0.05,4.00E-05
0.6,0.055,0
0.6,0.06,0
0.6,0.065,0
0.6,0.07,0
0.6,0.075,0
0.6,0.08,0
0.6,0.085,0
0.6,0.09,0
0.6,0.095,0
0.6,0.1,0
0.62,0,0
0.62,0.005,0.008704859
0.62,0.01,0.01687273
0.62,0.015,0.02473658
0.62,0.02,0.03456728
0.62,0.025,0.04197272
0.62,0.03,0.04582672
0.62,0.035,0.05014732
0.62,0.04,0.04862036
0.62,0.045,0.010859832
0.62,0.05,0.000140858
0.62,0.055,0
0.62,0.06,0
0.62,0.065,0
0.62,0.07,0
0.62,0.075,0
0.62,0.08,0
0.62,0.085,0
0.62,0.09,0
0.62,0.095,0
0.62,0.1,0
0.64,0,0
0.64,0.005,0.00919564
0.64,0.01,0.01731155
0.64,0.015,0.02477031
0.64,0.02,0.03351885
0.64,0.025,0.04171513
0.64,0.03,0.04888069
0.64,0.035,0.05258577
0.64,0.04,0.05720159
0.64,0.045,0.04618121
0.64,0.05,0.004119897
0.64,0.055,0.000100446
0.64,0.06,0
0.64,0.065,0
0.64,0.07,0
0.64,0.075,0
0.64,0.08,0
0.64,0.085,0
0.64,0.09,0
0.64,0.095,0
0.64,0.1,0
0.66,0,0
0.66,0.005,0.008669718
0.66,0.01,0.01789632
0.66,0.015,0.02715649
0.66,0.02,0.0344402
0.66,0.025,0.04253663
0.66,0.03,0.05108952
0.66,0.035,0.05390651
0.66,0.04,0.06050663
0.66,0.045,0.05890367
0.66,0.05,0.032769674
0.66,0.055,0.006560956
0.66,0.06,7.01E-05
0.66,0.065,0
0.66,0.07,0
0.66,0.075,1.00E-05
0.66,0.08,0
0.66,0.085,0
0.66,0.09,0
0.66,0.095,0
0.66,0.1,0
0.68,0,0
0.68,0.005,0.009350585
0.68,0.01,0.01859624
0.68,0.015,0.02678803
0.68,0.02,0.03492891
0.68,0.025,0.04395026
0.68,0.03,0.05146253
0.68,0.035,0.05845985
0.68,0.04,0.06538398
0.68,0.045,0.06937632
0.68,0.05,0.05711547
0.68,0.055,0.022373171
0.68,0.06,0.000579116
0.68,0.065,4.00E-05
0.68,0.07,1.00E-05
0.68,0.075,0
0.68,0.08,0
0.68,0.085,0
0.68,0.09,0
0.68,0.095,0
0.68,0.1,0
0.7,0,0
0.7,0.005,0.009136305
0.7,0.01,0.01875643
0.7,0.015,0.02724935
0.7,0.02,0.03523879
0.7,0.025,0.04295886
0.7,0.03,0.05094549
0.7,0.035,0.06078064
0.7,0.04,0.06590605
0.7,0.045,0.07047122
0.7,0.05,0.07059084
0.7,0.055,0.04888056
0.7,0.06,0.009750018
0.7,0.065,0.000464105
0.7,0.07,1.00E-05
0.7,0.075,0
0.7,0.08,0
0.7,0.085,0
0.7,0.09,0
0.7,0.095,0
0.7,0.1,0
0.72,0,0
0.72,0.005,0.009463579
0.72,0.01,0.01935042
0.72,0.015,0.02690116
0.72,0.02,0.03649879
0.72,0.025,0.04530923
0.72,0.03,0.05361249
0.72,0.035,0.06037978
0.72,0.04,0.06803079
0.72,0.045,0.0725493
0.72,0.05,0.07585034
0.72,0.055,0.06989331
0.72,0.06,0.042911762
0.72,0.065,0.001960657
0.72,0.07,0.000282062
0.72,0.075,0
0.72,0.08,0
0.72,0.085,0
0.72,0.09,0
0.72,0.095,0
0.72,0.1,0
0.74,0,0
0.74,0.005,0.010218811
0.74,0.01,0.01817637
0.74,0.015,0.02925542
0.74,0.02,0.03742648
0.74,0.025,0.04801961
0.74,0.03,0.05430364
0.74,0.035,0.0621086
0.74,0.04,0.06956322
0.74,0.045,0.07372275
0.74,0.05,0.08277639
0.74,0.055,0.07716492
0.74,0.06,0.06938121
0.74,0.065,0.029040107
0.74,0.07,0.000573917
0.74,0.075,0.000150357
0.74,0.08,2.00E-05
0.74,0.085,0
0.74,0.09,0
0.74,0.095,0
0.74,0.1,0
0.76,0,0
0.76,0.005,0.010704616
0.76,0.01,0.01845935
0.76,0.015,0.03029887
0.76,0.02,0.0368645
0.76,0.025,0.04746576
0.76,0.03,0.0554383
0.76,0.035,0.06316602
0.76,0.04,0.07379525
0.76,0.045,0.07962588
0.76,0.05,0.08460875
0.76,0.055,0.08851816
0.76,0.06,0.08769616
0.76,0.065,0.0583044
0.76,0.07,0.014197165
0.76,0.075,0.000971287
0.76,0.08,5.01E-05
0.76,0.085,0
0.76,0.09,0
0.76,0.095,0
0.76,0.1,0
0.78,0,0
0.78,0.005,0.010006754
0.78,0.01,0.02030148
0.78,0.015,0.03053537
0.78,0.02,0.03852368
0.78,0.025,0.04698745
0.78,0.03,0.05742449
0.78,0.035,0.06502474
0.78,0.04,0.07303302
0.78,0.045,0.08029852
0.78,0.05,0.08685705
0.78,0.055,0.09340011
0.78,0.06,0.09472538
0.78,0.065,0.08702691
0.78,0.07,0.0549072
0.78,0.075,0.008971996
0.78,0.08,0.000910841
0.78,0.085,8.01E-05
0.78,0.09,2.00E-05
0.78,0.095,0
0.78,0.1,0
0.8,0,0
0.8,0.005,0.010353536
0.8,0.01,0.02065763
0.8,0.015,0.03111918
0.8,0.02,0.03883611
0.8,0.025,0.04877169
0.8,0.03,0.05921424
0.8,0.035,0.06526621
0.8,0.04,0.07517346
0.8,0.045,0.08654525
0.8,0.05,0.08993306
0.8,0.055,0.09890193
0.8,0.06,0.10313109
0.8,0.065,0.09582428
0.8,0.07,0.08874676
0.8,0.075,0.05481294
0.8,0.08,0.00768352
0.8,0.085,0.000610386
0.8,0.09,3.00E-05
0.8,0.095,2.00E-05
0.8,0.1,0
0.82,0,0
0.82,0.005,0.010630347
0.82,0.01,0.02037223
0.82,0.015,0.03085723
0.82,0.02,0.03914029
0.82,0.025,0.0502037
0.82,0.03,0.05694221
0.82,0.035,0.06802049
0.82,0.04,0.07748682
0.82,0.045,0.08321202
0.82,0.05,0.09348104
0.82,0.055,0.1004992
0.82,0.06,0.1073473
0.82,0.065,0.1076075
0.82,0.07,0.10409478
0.82,0.075,0.08956255
0.82,0.08,0.055800487
0.82,0.085,0.010546933
0.82,0.09,0.00108712
0.82,0.095,0.000100102
0.82,0.1,0
0.84,0,0
0.84,0.005,0.010628141
0.84,0.01,0.02081017
0.84,0.015,0.02949228
0.84,0.02,0.03995999
0.84,0.025,0.04956055
0.84,0.03,0.06078787
0.84,0.035,0.06953051
0.84,0.04,0.07784668
0.84,0.045,0.08708834
0.84,0.05,0.09485322
0.84,0.055,0.10314777
0.84,0.06,0.108237
0.84,0.065,0.1145237
0.84,0.07,0.1141726
0.84,0.075,0.11360593
0.84,0.08,0.10039727
0.84,0.085,0.05311352
0.84,0.09,0.006269593
0.84,0.095,0.001227458
0.84,0.1,7.01E-05
0.86,0,0
0.86,0.005,0.010743204
0.86,0.01,0.02152604
0.86,0.015,0.03160173
0.86,0.02,0.04100444
0.86,0.025,0.04921151
0.86,0.03,0.06343273
0.86,0.035,0.06964079
0.86,0.04,0.07969709
0.86,0.045,0.08852584
0.86,0.05,0.09712687
0.86,0.055,0.10436347
0.86,0.06,0.1116325
0.86,0.065,0.1188701
0.86,0.07,0.1259652
0.86,0.075,0.1240871
0.86,0.08,0.1223147
0.86,0.085,0.08535486
0.86,0.09,0.049721992
0.86,0.095,0.012256483
0.86,0.1,0.000564944
0.88,0,0
0.88,0.005,0.011156453
0.88,0.01,0.02159983
0.88,0.015,0.03182638
0.88,0.02,0.04188331
0.88,0.025,0.05273183
0.88,0.03,0.06411955
0.88,0.035,0.07012772
0.88,0.04,0.08293682
0.88,0.045,0.09182333
0.88,0.05,0.10005155
0.88,0.055,0.11081205
0.88,0.06,0.1160311
0.88,0.065,0.1231688
0.88,0.07,0.1289589
0.88,0.075,0.13161
0.88,0.08,0.1360183
0.88,0.085,0.130814
0.88,0.09,0.10103251
0.88,0.095,0.035922762
0.88,0.1,0.013245845
0.9,0,0
0.9,0.005,0.01090216
0.9,0.01,0.02133248
0.9,0.015,0.03216721
0.9,0.02,0.04234575
0.9,0.025,0.05224652
0.9,0.03,0.06366542
0.9,0.035,0.07464766
0.9,0.04,0.08325932
0.9,0.045,0.09318797
0.9,0.05,0.10423206
0.9,0.055,0.1130177
0.9,0.06,0.1226816
0.9,0.065,0.1302588
0.9,0.07,0.1383681
0.9,0.075,0.1403355
0.9,0.08,0.1460241
0.9,0.085,0.1412999
0.9,0.09,0.1308434
0.9,0.095,0.09980361
0.9,0.1,0.04448658
0.92,0,0
0.92,0.005,0.011046828
0.92,0.01,0.02267663
0.92,0.015,0.03354879
0.92,0.02,0.04512557
0.92,0.025,0.05668324
0.92,0.03,0.06494051
0.92,0.035,0.07575947
0.92,0.04,0.08659024
0.92,0.045,0.09616693
0.92,0.05,0.10625316
0.92,0.055,0.1157601
0.92,0.06,0.1234567
0.92,0.065,0.1321285
0.92,0.07,0.1430109
0.92,0.075,0.1423273
0.92,0.08,0.1523345
0.92,0.085,0.156831
0.92,0.09,0.1614546
0.92,0.095,0.1507124
0.92,0.1,0.12451903
0.94,0,0
0.94,0.005,0.010907317
0.94,0.01,0.02190263
0.94,0.015,0.03305634
0.94,0.02,0.04431285
0.94,0.025,0.05412324
0.94,0.03,0.06593807
0.94,0.035,0.0768183
0.94,0.04,0.08926404
0.94,0.045,0.09914228
0.94,0.05,0.10611633
0.94,0.055,0.1186299
0.94,0.06,0.1282596
0.94,0.065,0.1373226
0.94,0.07,0.1460924
0.94,0.075,0.1530036
0.94,0.08,0.1600981
0.94,0.085,0.1641748
0.94,0.09,0.1727951
0.94,0.095,0.1716679
0.94,0.1,0.1605508
0.96,0,0
0.96,0.005,0.010763204
0.96,0.01,0.02253959
0.96,0.015,0.03237369
0.96,0.02,0.04354878
0.96,0.025,0.05668024
0.96,0.03,0.06852539
0.96,0.035,0.08064525
0.96,0.04,0.091522
0.96,0.045,0.09944561
0.96,0.05,0.1074693
0.96,0.055,0.1174361
0.96,0.06,0.1327044
0.96,0.065,0.1370125
0.96,0.07,0.1526224
0.96,0.075,0.1569188
0.96,0.08,0.174369
0.96,0.085,0.1760483
0.96,0.09,0.1809198
0.96,0.095,0.1893785
0.96,0.1,0.1939921
0.98,0,0
0.98,0.005,0.010910928
0.98,0.01,0.02376514
0.98,0.015,0.03514971
0.98,0.02,0.04490235
0.98,0.025,0.05628846
0.98,0.03,0.06534465
0.98,0.035,0.07996641
0.98,0.04,0.09020342
0.98,0.045,0.10494548
0.98,0.05,0.1109571
0.98,0.055,0.1271626
0.98,0.06,0.136123
0.98,0.065,0.1453613
0.98,0.07,0.1554597
0.98,0.075,0.1667312
0.98,0.08,0.1737708
0.98,0.085,0.186347
0.98,0.09,0.1990479
0.98,0.095,0.2032095
0.98,0.1,0.2074878
1,0,0
1,0.005,0.01312466
1,0.01,0.02275051
1,0.015,0.03451381
1,0.02,0.04599354
1,0.025,0.05784597
1,0.03,0.06943117
1,0.035,0.08316143
1,0.04,0.09273508
1,0.045,0.10461333
1,0.05,0.1136677
1,0.055,0.1294233
1,0.06,0.140147
1,0.065,0.1521813
1,0.07,0.1604395
1,0.075,0.1722253
1,0.08,0.1865395
1,0.085,0.1974948
1,0.09,0.2068123
1,0.095,0.2192262
1,0.1,0.2290711
