Fitness,Migration Rate,RCT - Invasion
0.6,0,0
0.6,0.005,0.0086
0.6,0.01,0.0137
0.6,0.015,0.01359
0.6,0.02,0.00435
0.6,0.025,0.0008
0.6,0.03,0.00014
0.6,0.035,5.00E-05
0.6,0.04,8.00E-05
0.6,0.045,3.00E-05
0.6,0.05,0
0.6,0.055,0
0.6,0.06,0
0.6,0.065,0
0.6,0.07,0
0.6,0.075,2.00E-05
0.6,0.08,0
0.6,0.085,0
0.6,0.09,0
0.6,0.095,1.00E-05
0.6,0.1,0
0.62,0,0
0.62,0.005,0.00929
0.62,0.01,0.01632
0.62,0.015,0.01779
0.62,0.02,0.00772
0.62,0.025,0.00189
0.62,0.03,0.00037
0.62,0.035,7.00E-05
0.62,0.04,3.00E-05
0.62,0.045,1.00E-05
0.62,0.05,2.00E-05
0.62,0.055,1.00E-05
0.62,0.06,0
0.62,0.065,0
0.62,0.07,0
0.62,0.075,0
0.62,0.08,0
0.62,0.085,0
0.62,0.09,0
0.62,0.095,0
0.62,0.1,1.00E-05
0.64,0,0
0.64,0.005,0.00889
0.64,0.01,0.0172
0.64,0.015,0.01866
0.64,0.02,0.01412
0.64,0.025,0.00386
0.64,0.03,0.00104
0.64,0.035,0.00027
0.64,0.04,0.00011
0.64,0.045,4.00E-05
0.64,0.05,4.00E-05
0.64,0.055,2.00E-05
0.64,0.06,1.00E-05
0.64,0.065,2.00E-05
0.64,0.07,0
0.64,0.075,0
0.64,0.08,0
0.64,0.085,0
0.64,0.09,0
0.64,0.095,0
0.64,0.1,0
0.66,0,0
0.66,0.005,0.01002
0.66,0.01,0.01777
0.66,0.015,0.02173
0.66,0.02,0.01763
0.66,0.025,0.00847
0.66,0.03,0.00201
0.66,0.035,0.00072
0.66,0.04,0.00018
0.66,0.045,5.00E-05
0.66,0.05,0.0001
0.66,0.055,2.00E-05
0.66,0.06,1.00E-05
0.66,0.065,1.00E-05
0.66,0.07,0
0.66,0.075,0
0.66,0.08,2.00E-05
0.66,0.085,0
0.66,0.09,0
0.66,0.095,0
0.66,0.1,0
0.68,0,0
0.68,0.005,0.0105
0.68,0.01,0.01843
0.68,0.015,0.02351
0.68,0.02,0.02238
0.68,0.025,0.01366
0.68,0.03,0.00396
0.68,0.035,0.00091
0.68,0.04,0.00047
0.68,0.045,0.00017
0.68,0.05,9.00E-05
0.68,0.055,3.00E-05
0.68,0.06,2.00E-05
0.68,0.065,5.00E-05
0.68,0.07,1.00E-05
0.68,0.075,1.00E-05
0.68,0.08,3.00E-05
0.68,0.085,0
0.68,0.09,0
0.68,0.095,2.00E-05
0.68,0.1,0
0.7,0,0
0.7,0.005,0.01041
0.7,0.01,0.01929
0.7,0.015,0.02548
0.7,0.02,0.02624
0.7,0.025,0.01949
0.7,0.03,0.0087
0.7,0.035,0.00242
0.7,0.04,0.00059
0.7,0.045,0.00037
0.7,0.05,0.00021
0.7,0.055,1.00E-04
0.7,0.06,5.00E-05
0.7,0.065,5.00E-05
0.7,0.07,1.00E-05
0.7,0.075,3.00E-05
0.7,0.08,4.00E-05
0.7,0.085,0
0.7,0.09,0
0.7,0.095,2.00E-05
0.7,0.1,0
0.72,0,0
0.72,0.005,0.01155
0.72,0.01,0.02029
0.72,0.015,0.02767
0.72,0.02,0.03177
0.72,0.025,0.02689
0.72,0.03,0.01616
0.72,0.035,0.00542
0.72,0.04,0.00187
0.72,0.045,0.00067
0.72,0.05,0.00031
0.72,0.055,0.00016
0.72,0.06,0.00015
0.72,0.065,0.00013
0.72,0.07,4.00E-05
0.72,0.075,4.00E-05
0.72,0.08,3.00E-05
0.72,0.085,2.00E-05
0.72,0.09,1.00E-05
0.72,0.095,0
0.72,0.1,0
0.74,0,0
0.74,0.005,0.01094
0.74,0.01,0.02105
0.74,0.015,0.02881
0.74,0.02,0.03213
