Fitness,Migration Rate,Normal Allele - Invasion
0.6,0,0
0.6,0.005,0.007745261
0.6,0.01,0.010080995
0.6,0.015,0.011524269
0.6,0.02,0.010890997
0.6,0.025,0.01123137
0.6,0.03,0.01184172
0.6,0.035,0.011817634
0.6,0.04,0.011823509
0.6,0.045,0.010898707
0.6,0.05,0.010940706
0.6,0.055,0.01273306
0.6,0.06,0.010095814
0.6,0.065,0.011189822
0.6,0.07,0.011071206
0.6,0.075,0.009886683
0.6,0.08,0.009437253
0.6,0.085,0.010087361
0.6,0.09,0.009052623
0.6,0.095,0.008784449
0.6,0.1,0.009036867
0.62,0,0
0.62,0.005,0.008903422
0.62,0.01,0.01258913
0.62,0.015,0.013006866
0.62,0.02,0.01401631
0.62,0.025,0.0168432
0.62,0.03,0.01509983
0.62,0.035,0.01681311
0.62,0.04,0.01564696
0.62,0.045,0.014245828
0.62,0.05,0.01643496
0.62,0.055,0.012893467
0.62,0.06,0.013783264
0.62,0.065,0.01356269
0.62,0.07,0.014403387
0.62,0.075,0.01488162
0.62,0.08,0.01419099
0.62,0.085,0.012171617
0.62,0.09,0.013145024
0.62,0.095,0.012595926
0.62,0.1,0.011534039
0.64,0,0
0.64,0.005,0.011342362
0.64,0.01,0.01572275
0.64,0.015,0.01811062
0.64,0.02,0.01837713
0.64,0.025,0.01830287
0.64,0.03,0.01975937
0.64,0.035,0.02074724
0.64,0.04,0.02158883
0.64,0.045,0.02052809
0.64,0.05,0.02062129
0.64,0.055,0.01871752
0.64,0.06,0.01933409
0.64,0.065,0.0182528
0.64,0.07,0.0182897
0.64,0.075,0.01716526
0.64,0.08,0.01755617
0.64,0.085,0.01714935
0.64,0.09,0.01607941
0.64,0.095,0.01592582
0.64,0.1,0.01597974
0.66,0,0
0.66,0.005,0.012515458
0.66,0.01,0.01910656
0.66,0.015,0.022499
0.66,0.02,0.02382919
0.66,0.025,0.02484496
0.66,0.03,0.02585123
0.66,0.035,0.02509504
0.66,0.04,0.02626786
0.66,0.045,0.02628394
0.66,0.05,0.02513322
0.66,0.055,0.02424266
0.66,0.06,0.02361986
0.66,0.065,0.0236046
0.66,0.07,0.02378659
0.66,0.075,0.02244305
0.66,0.08,0.02364886
0.66,0.085,0.02279093
0.66,0.09,0.02141355
0.66,0.095,0.02157456
0.66,0.1,0.02079046
0.68,0,0
0.68,0.005,0.01510913
0.68,0.01,0.02316869
0.68,0.015,0.027613
0.68,0.02,0.03029445
0.68,0.025,0.03235297
0.68,0.03,0.03019644
0.68,0.035,0.031332
0.68,0.04,0.0331125
0.68,0.045,0.03087382
0.68,0.05,0.03071791
0.68,0.055,0.03199961
0.68,0.06,0.03031713
0.68,0.065,0.03264422
0.68,0.07,0.03087422
0.68,0.075,0.02920094
0.68,0.08,0.02935319
0.68,0.085,0.02819644
0.68,0.09,0.03050764
0.68,0.095,0.0296776
0.68,0.1,0.02865799
0.7,0,0
0.7,0.005,0.01706696
0.7,0.01,0.02667308
0.7,0.015,0.03411918
0.7,0.02,0.03415102
0.7,0.025,0.03983083
0.7,0.03,0.04172147
0.7,0.035,0.04447937
0.7,0.04,0.04158804
0.7,0.045,0.04082482
0.7,0.05,0.04426928
0.7,0.055,0.04235614
0.7,0.06,0.04072053
0.7,0.065,0.03991808
