Fitness,Migration Rate,2L2T - Persistance
0.6,0,0.843665
0.6,0.005,0.82081
0.6,0.01,0.801895
0.6,0.015,0.78013
0.6,0.02,0.761265
0.6,0.025,0.738
0.6,0.03,0.71596
0.6,0.035,0.686325
0.6,0.04,0.643385
0.6,0.045,0.562
0.6,0.05,0.330305
0.6,0.055,0.063745
0.6,0.06,0.00487
0.6,0.065,0.001225
0.6,0.07,0.00032
0.6,0.075,0.000125
0.6,0.08,6.00E-05
0.6,0.085,2.50E-05
0.6,0.09,3.00E-05
0.6,0.095,3.00E-05
0.6,0.1,5.00E-06
0.62,0,0.84927
0.62,0.005,0.82495
0.62,0.01,0.80763
0.62,0.015,0.78424
0.62,0.02,0.764975
0.62,0.025,0.745975
0.62,0.03,0.723845
0.62,0.035,0.69763
0.62,0.04,0.666995
0.62,0.045,0.612295
0.62,0.05,0.509925
0.62,0.055,0.26986
0.62,0.06,0.063865
0.62,0.065,0.005745
0.62,0.07,0.00159
0.62,0.075,0.000435
0.62,0.08,0.000175
0.62,0.085,8.00E-05
0.62,0.09,4.00E-05
0.62,0.095,3.50E-05
0.62,0.1,1.50E-05
0.64,0,0.85513
0.64,0.005,0.833075
0.64,0.01,0.81052
0.64,0.015,0.79188
0.64,0.02,0.77298
0.64,0.025,0.752685
0.64,0.03,0.731315
0.64,0.035,0.71231
0.64,0.04,0.682935
0.64,0.045,0.653955
0.64,0.05,0.602645
0.64,0.055,0.497185
0.64,0.06,0.24774
0.64,0.065,0.055225
0.64,0.07,0.0115
0.64,0.075,0.00232
0.64,0.08,0.00057
0.64,0.085,0.00021
0.64,0.09,0.000135
0.64,0.095,0.000135
0.64,0.1,5.50E-05
0.66,0,0.86143
0.66,0.005,0.83723
0.66,0.01,0.816275
0.66,0.015,0.797225
0.66,0.02,0.779055
0.66,0.025,0.76042
0.66,0.03,0.7401
0.66,0.035,0.722045
0.66,0.04,0.69572
0.66,0.045,0.67071
0.66,0.05,0.626385
0.66,0.055,0.578285
0.66,0.06,0.456505
0.66,0.065,0.25309
0.66,0.07,0.073415
0.66,0.075,0.01259
0.66,0.08,0.002995
0.66,0.085,0.001385
0.66,0.09,0.00039
0.66,0.095,0.00021
0.66,0.1,9.00E-05
0.68,0,0.868345
0.68,0.005,0.844445
0.68,0.01,0.8212
0.68,0.015,0.802565
0.68,0.02,0.78373
0.68,0.025,0.76562
0.68,0.03,0.74662
0.68,0.035,0.72838
0.68,0.04,0.71083
0.68,0.045,0.686875
0.68,0.05,0.662165
0.68,0.055,0.626875
0.68,0.06,0.5705
0.68,0.065,0.470045
0.68,0.07,0.26824
0.68,0.075,0.085225
0.68,0.08,0.024175
0.68,0.085,0.005985
0.68,0.09,0.00167
0.68,0.095,0.000615
0.68,0.1,0.00039
0.7,0,0.873115
0.7,0.005,0.848915
0.7,0.01,0.82775
0.7,0.015,0.807115
0.7,0.02,0.790885
0.7,0.025,0.772755
0.7,0.03,0.754415
0.7,0.035,0.735975
0.7,0.04,0.720355
0.7,0.045,0.70173
0.7,0.05,0.678215
0.7,0.055,0.65017
0.7,0.06,0.616535
0.7,0.065,0.577145
0.7,0.07,0.46931
0.7,0.075,0.32849
0.7,0.08,0.125785
0.7,0.085,0.041045
0.7,0.09,0.01084
0.7,0.095,0.004585
0.7,0.1,0.00115
0.72,0,0.878665
0.72,0.005,0.851875
0.72,0.01,0.83257
0.72,0.015,0.813465
0.72,0.02,0.794575
0.72,0.025,0.779255
0.72,0.03,0.76394
0.72,0.035,0.7455
0.72,0.04,0.729315
0.72,0.045,0.710575
0.72,0.05,0.69158
0.72,0.055,0.66748
0.72,0.06,0.646475
0.72,0.065,0.614515
0.72,0.07,0.56769
0.72,0.075,0.503465
0.72,0.08,0.382575
0.72,0.085,0.21286
0.72,0.09,0.090965
0.72,0.095,0.030655
0.72,0.1,0.00892
0.74,0,0.886655
0.74,0.005,0.86117
0.74,0.01,0.84029
0.74,0.015,0.81768
0.74,0.02,0.800565
0.74,0.025,0.783885
0.74,0.03,0.76855
0.74,0.035,0.75303
0.74,0.04,0.735875
0.74,0.045,0.72395
0.74,0.05,0.701855
0.74,0.055,0.686525
0.74,0.06,0.66783
0.74,0.065,0.64309
0.74,0.07,0.616155
0.74,0.075,0.577435
0.74,0.08,0.52838
0.74,0.085,0.44217
0.74,0.09,0.31423
0.74,0.095,0.191755
0.74,0.1,0.07447
0.76,0,0.893135
0.76,0.005,0.866245
0.76,0.01,0.845315
