Fitness,Migration Rate,RCT - Persistance
0.6,0,4.50E-05
0.6,0.005,2.00E-05
0.6,0.01,5.00E-06
0.6,0.015,0
0.6,0.02,0
0.6,0.025,0
0.6,0.03,0
0.6,0.035,0
0.6,0.04,0
0.6,0.045,0
0.6,0.05,0
0.6,0.055,1.00E-05
0.6,0.06,0
0.6,0.065,0
0.6,0.07,0
0.6,0.075,0
0.6,0.08,0
0.6,0.085,0
0.6,0.09,0
0.6,0.095,0
0.6,0.1,0
0.62,0,0.00022
0.62,0.005,2.50E-05
0.62,0.01,0
0.62,0.015,5.00E-06
0.62,0.02,1.50E-05
0.62,0.025,0
0.62,0.03,0
0.62,0.035,0
0.62,0.04,5.00E-06
0.62,0.045,0
0.62,0.05,0
0.62,0.055,0
0.62,0.06,0
0.62,0.065,0
0.62,0.07,0
0.62,0.075,0
0.62,0.08,0
0.62,0.085,0
0.62,0.09,0
0.62,0.095,0
0.62,0.1,5.00E-06
0.64,0,0.03505
0.64,0.005,0.00017
0.64,0.01,3.50E-05
0.64,0.015,1.50E-05
0.64,0.02,0
0.64,0.025,5.00E-06
0.64,0.03,0
0.64,0.035,1.00E-05
0.64,0.04,0
0.64,0.045,0
0.64,0.05,0
0.64,0.055,0
0.64,0.06,0
0.64,0.065,0
0.64,0.07,0
0.64,0.075,0
0.64,0.08,0
0.64,0.085,0
0.64,0.09,0
0.64,0.095,0
0.64,0.1,0
0.66,0,0.874715
0.66,0.005,0.00324
0.66,0.01,0.00022
0.66,0.015,2.50E-05
0.66,0.02,2.00E-05
0.66,0.025,5.00E-06
0.66,0.03,0
0.66,0.035,5.00E-06
0.66,0.04,0
0.66,0.045,0
0.66,0.05,0
0.66,0.055,0
0.66,0.06,0
0.66,0.065,0
0.66,0.07,0
0.66,0.075,0
0.66,0.08,0
0.66,0.085,0
0.66,0.09,0
0.66,0.095,0
0.66,0.1,0
0.68,0,0.996925
0.68,0.005,0.30915
0.68,0.01,0.001225
0.68,0.015,7.50E-05
0.68,0.02,5.50E-05
0.68,0.025,1.50E-05
0.68,0.03,1.00E-05
0.68,0.035,1.50E-05
0.68,0.04,0
0.68,0.045,0
0.68,0.05,0
0.68,0.055,0
0.68,0.06,0
0.68,0.065,0
0.68,0.07,0
0.68,0.075,0
0.68,0.08,0
0.68,0.085,0
0.68,0.09,0
0.68,0.095,0
0.68,0.1,0
0.7,0,0.99907
0.7,0.005,0.931415
0.7,0.01,0.0786
0.7,0.015,0.000915
0.7,0.02,0.000145
0.7,0.025,3.00E-05
0.7,0.03,5.00E-06
0.7,0.035,1.00E-05
0.7,0.04,5.00E-06
0.7,0.045,5.00E-06
0.7,0.05,0
0.7,0.055,5.00E-06
0.7,0.06,0
0.7,0.065,0
0.7,0.07,0
0.7,0.075,0
0.7,0.08,0
0.7,0.085,0
0.7,0.09,0
0.7,0.095,0
0.7,0.1,0
0.72,0,0.999765
0.72,0.005,0.970675
0.72,0.01,0.48901
0.72,0.015,0.0102
0.72,0.02,0.000465
0.72,0.025,0.000145
0.72,0.03,3.00E-05
0.72,0.035,4.00E-05
0.72,0.04,0
0.72,0.045,2.50E-05
0.72,0.05,0
0.72,0.055,5.00E-06
0.72,0.06,5.00E-06
0.72,0.065,0
0.72,0.07,0
0.72,0.075,0
0.72,0.08,1.50E-05
0.72,0.085,5.00E-06
0.72,0.09,0
0.72,0.095,0
0.72,0.1,0
0.74,0,0.999835
0.74,0.005,0.973505
0.74,0.01,0.910205
0.74,0.015,0.19109
0.74,0.02,0.00358
0.74,0.025,0.00039
0.74,0.03,0.00013
0.74,0.035,9.50E-05
0.74,0.04,7.50E-05
0.74,0.045,0
0.74,0.05,5.00E-06
0.74,0.055,5.00E-06
0.74,0.06,5.00E-06
0.74,0.065,1.00E-05
0.74,0.07,0
0.74,0.075,0
0.74,0.08,0
0.74,0.085,0
0.74,0.09,0
0.74,0.095,5.00E-06
0.74,0.1,0
0.76,0,0.999885
0.76,0.005,0.97797
0.76,0.01,0.93996
0.76,0.015,0.646795
0.76,0.02,0.044305
0.76,0.025,0.001995
0.76,0.03,0.000275
0.76,0.035,0.00011
0.76,0.04,5.00E-05
0.76,0.045,4.00E-05
0.76,0.05,2.00E-05
0.76,0.055,2.00E-05
0.76,0.06,3.00E-05
0.76,0.065,0
0.76,0.07,0
0.76,0.075,5.00E-06
0.76,0.08,1.00E-05
0.76,0.085,0
0.76,0.09,0
0.76,0.095,0
0.76,0.1,0
0.78,0,0.99996
0.78,0.005,0.9776
0.78,0.01,0.95126
0.78,0.015,0.88264
0.78,0.02,0.282405
0.78,0.025,0.01028
0.78,0.03,0.0011
0.78,0.035,0.00039
0.78,0.04,0.00017
0.78,0.045,5.50E-05
0.78,0.05,5.50E-05
0.78,0.055,5.00E-05
0.78,0.06,1.50E-05
0.78,0.065,2.00E-05
0.78,0.07,2.50E-05
0.78,0.075,0
0.78,0.08,0
0.78,0.085,0
0.78,0.09,0
0.78,0.095,0
0.78,0.1,1.00E-05
0.8,0,0.999995
0.8,0.005,0.98041
0.8,0.01,0.9543
0.8,0.015,0.91661
0.8,0.02,0.737695
0.8,0.025,0.08187
0.8,0.03,0.006455
0.8,0.035,0.00126
0.8,0.04,0.00037
0.8,0.045,9.00E-05
0.8,0.05,6.00E-05
0.8,0.055,7.00E-05
0.8,0.06,5.00E-05
0.8,0.065,1.00E-05
0.8,0.07,2.50E-05
0.8,0.075,3.00E-05
0.8,0.08,5.00E-06
0.8,0.085,1.00E-05
0.8,0.09,0
0.8,0.095,5.00E-06
0.8,0.1,5.00E-06
0.82,0,0.999985
0.82,0.005,0.98071
0.82,0.01,0.957445
0.82,0.015,0.927595
0.82,0.02,0.85244
0.82,0.025,0.413575
0.82,0.03,0.034005
0.82,0.035,0.00488
0.82,0.04,0.001035
0.82,0.045,0.00047
0.82,0.05,0.0001
0.82,0.055,0.000135
0.82,0.06,3.00E-05
0.82,0.065,4.50E-05
0.82,0.07,1.00E-05
0.82,0.075,5.00E-06
0.82,0.08,2.00E-05
0.82,0.085,2.50E-05
0.82,0.09,3.50E-05
0.82,0.095,1.00E-05
0.82,0.1,5.00E-06
0.84,0,0.999965
0.84,0.005,0.98086
0.84,0.01,0.96058
0.84,0.015,0.93321
0.84,0.02,0.890545
0.84,0.025,0.73355
0.84,0.03,0.2102
0.84,0.035,0.01816
0.84,0.04,0.002765
0.84,0.045,0.000915
0.84,0.05,0.000235
0.84,0.055,0.000285
0.84,0.06,7.00E-05
0.84,0.065,9.00E-05
0.84,0.07,4.00E-05
0.84,0.075,5.00E-05
0.84,0.08,4.00E-05
0.84,0.085,2.00E-05
0.84,0.09,2.50E-05
0.84,0.095,0
0.84,0.1,0
0.86,0,1
0.86,0.005,0.981375
0.86,0.01,0.96197
0.86,0.015,0.93828
0.86,0.02,0.90475
0.86,0.025,0.830485
0.86,0.03,0.58465
0.86,0.035,0.08407
0.86,0.04,0.010565
0.86,0.045,0.0021
0.86,0.05,0.000895
0.86,0.055,0.00037
0.86,0.06,0.00025
0.86,0.065,9.00E-05
0.86,0.07,8.00E-05
0.86,0.075,7.50E-05
0.86,0.08,4.50E-05
0.86,0.085,5.50E-05
0.86,0.09,2.00E-05
0.86,0.095,2.00E-05
0.86,0.1,3.50E-05
0.88,0,1
0.88,0.005,0.981925
0.88,0.01,0.96298
0.88,0.015,0.94173
0.88,0.02,0.914185
0.88,0.025,0.87363
0.88,0.03,0.766685
0.88,0.035,0.37226
0.88,0.04,0.04973
0.88,0.045,0.007755
0.88,0.05,0.00229
0.88,0.055,0.00104
0.88,0.06,0.00044
0.88,0.065,0.00026
0.88,0.07,0.000205
0.88,0.075,0.000105
0.88,0.08,5.00E-05
0.88,0.085,5.00E-05
0.88,0.09,2.50E-05
0.88,0.095,3.50E-05
0.88,0.1,4.00E-05
0.9,0,1
0.9,0.005,0.9829
0.9,0.01,0.964525
0.9,0.015,0.94568
0.9,0.02,0.922075
0.9,0.025,0.889275
0.9,0.03,0.829325
0.9,0.035,0.66913
0.9,0.04,0.26277
0.9,0.045,0.0419
0.9,0.05,0.00834
0.9,0.055,0.002525
0.9,0.06,0.000755
0.9,0.065,0.000535
0.9,0.07,0.00036
0.9,0.075,0.000195
0.9,0.08,9.50E-05
0.9,0.085,6.00E-05
0.9,0.09,9.50E-05
0.9,0.095,9.50E-05
0.9,0.1,2.00E-05
0.92,0,0.999995
