Fitness,Migration Rate,Normal Allele - Persistance
0.6,0,0.01826364
0.6,0.005,0.01582751
0.6,0.01,0.01343642
0.6,0.015,0.012617176
0.6,0.02,0.010723032
0.6,0.025,0.009021108
0.6,0.03,0.008798105
0.6,0.035,0.008843174
0.6,0.04,0.007261348
0.6,0.045,0.007286067
0.6,0.05,0.006827089
0.6,0.055,0.005858623
0.6,0.06,0.005582356
0.6,0.065,0.005616416
0.6,0.07,0.005162912
0.6,0.075,0.005168822
0.6,0.08,0.005509969
0.6,0.085,0.005177731
0.6,0.09,0.004564905
0.6,0.095,0.004730841
0.6,0.1,0.004715303
0.62,0,0.02503202
0.62,0.005,0.02267334
0.62,0.01,0.01890536
0.62,0.015,0.01515168
0.62,0.02,0.01502742
0.62,0.025,0.012868882
0.62,0.03,0.011741153
0.62,0.035,0.010565845
0.62,0.04,0.009743287
0.62,0.045,0.00936494
0.62,0.05,0.00905603
0.62,0.055,0.008606748
0.62,0.06,0.007772016
0.62,0.065,0.007780639
0.62,0.07,0.007702299
0.62,0.075,0.006920072
0.62,0.08,0.006370683
0.62,0.085,0.007177766
0.62,0.09,0.006712595
0.62,0.095,0.006573351
0.62,0.1,0.006809743
0.64,0,0.03523128
0.64,0.005,0.03094765
0.64,0.01,0.02574088
0.64,0.015,0.02447923
0.64,0.02,0.02092082
0.64,0.025,0.01851968
0.64,0.03,0.01541691
0.64,0.035,0.01465137
0.64,0.04,0.01315608
0.64,0.045,0.01330843
0.64,0.05,0.011337598
0.64,0.055,0.011677706
0.64,0.06,0.01098039
0.64,0.065,0.009943973
0.64,0.07,0.009874412
0.64,0.075,0.009708973
0.64,0.08,0.010457063
0.64,0.085,0.009420398
0.64,0.09,0.00967534
0.64,0.095,0.008913104
0.64,0.1,0.009143164
0.66,0,0.04896152
0.66,0.005,0.04194887
0.66,0.01,0.03482686
0.66,0.015,0.02996017
0.66,0.02,0.02770031
0.66,0.025,0.02375493
0.66,0.03,0.02353308
0.66,0.035,0.02137451
0.66,0.04,0.01815271
0.66,0.045,0.01731363
0.66,0.05,0.0170421
0.66,0.055,0.01465405
0.66,0.06,0.01523461
0.66,0.065,0.01389992
0.66,0.07,0.01482469
0.66,0.075,0.01324772
0.66,0.08,0.013066407
0.66,0.085,0.011935378
0.66,0.09,0.01245147
0.66,0.095,0.0118948
0.66,0.1,0.010972424
0.68,0,0.06836842
0.68,0.005,0.05277204
0.68,0.01,0.04714993
0.68,0.015,0.04073413
0.68,0.02,0.03566408
0.68,0.025,0.03227185
0.68,0.03,0.02940777
