Fitness,Migration Rate,RCT - Invasion
0.6,0,0
0.6,0.005,0.003115
0.6,0.01,6.00E-05
0.6,0.015,1.50E-05
0.6,0.02,0
0.6,0.025,5.00E-06
0.6,0.03,0
0.6,0.035,0
0.6,0.04,1.00E-05
0.6,0.045,0
0.6,0.05,0
0.6,0.055,0
0.6,0.06,0
0.6,0.065,0
0.6,0.07,0
0.6,0.075,0
0.6,0.08,0
0.6,0.085,0
0.6,0.09,0
0.6,0.095,0
0.6,0.1,0
0.62,0,0
0.62,0.005,0.007735
0.62,0.01,0.00036
0.62,0.015,1.50E-05
0.62,0.02,5.00E-06
0.62,0.025,5.00E-06
0.62,0.03,0
0.62,0.035,1.00E-05
0.62,0.04,0
0.62,0.045,0
0.62,0.05,5.00E-06
0.62,0.055,0
0.62,0.06,0
0.62,0.065,0
0.62,0.07,0
0.62,0.075,0
0.62,0.08,0
0.62,0.085,0
0.62,0.09,0
0.62,0.095,0
0.62,0.1,0
0.64,0,0
0.64,0.005,0.00857
0.64,0.01,0.001685
0.64,0.015,0.00016
0.64,0.02,2.50E-05
0.64,0.025,0
0.64,0.03,0
0.64,0.035,5.00E-06
0.64,0.04,5.00E-06
0.64,0.045,0
0.64,0.05,0
0.64,0.055,0
0.64,0.06,0
0.64,0.065,0
0.64,0.07,0
0.64,0.075,0
0.64,0.08,0
0.64,0.085,0
0.64,0.09,0
0.64,0.095,5.00E-06
0.64,0.1,0
0.66,0,0
0.66,0.005,0.00985
0.66,0.01,0.009495
0.66,0.015,0.00053
0.66,0.02,3.00E-05
0.66,0.025,1.00E-05
0.66,0.03,1.50E-05
0.66,0.035,2.50E-05
0.66,0.04,5.00E-06
0.66,0.045,1.00E-05
0.66,0.05,5.00E-06
0.66,0.055,0
0.66,0.06,0
0.66,0.065,0
0.66,0.07,0
0.66,0.075,0
0.66,0.08,5.00E-06
0.66,0.085,0
0.66,0.09,0
0.66,0.095,5.00E-06
0.66,0.1,0
0.68,0,0
0.68,0.005,0.00934
0.68,0.01,0.014735
0.68,0.015,0.003345
0.68,0.02,0.00017
0.68,0.025,6.50E-05
0.68,0.03,5.00E-06
0.68,0.035,5.00E-06
0.68,0.04,5.00E-06
0.68,0.045,5.00E-06
0.68,0.05,0
0.68,0.055,5.00E-06
0.68,0.06,5.00E-06
0.68,0.065,1.00E-05
0.68,0.07,0
0.68,0.075,0
0.68,0.08,0
0.68,0.085,5.00E-06
0.68,0.09,0
0.68,0.095,0
0.68,0.1,0
0.7,0,0
0.7,0.005,0.01041
0.7,0.01,0.018255
0.7,0.015,0.008555
0.7,0.02,0.000715
0.7,0.025,0.00017
0.7,0.03,5.50E-05
0.7,0.035,2.00E-05
0.7,0.04,0
0.7,0.045,1.00E-05
0.7,0.05,0
0.7,0.055,0
0.7,0.06,1.50E-05
0.7,0.065,0
0.7,0.07,0
0.7,0.075,0
0.7,0.08,0
0.7,0.085,0
0.7,0.09,0
0.7,0.095,0
0.7,0.1,0
0.72,0,0
0.72,0.005,0.01056
0.72,0.01,0.01962
0.72,0.015,0.01853
0.72,0.02,0.00332
0.72,0.025,0.00046
0.72,0.03,9.50E-05
0.72,0.035,6.00E-05
0.72,0.04,1.00E-05
0.72,0.045,1.50E-05
0.72,0.05,5.00E-06
