Fitness,Migration Rate,Normal Allele - Invasion
0.6,0,0
0.6,0.005,0.001120831
0.6,0.01,0.00225306
0.6,0.015,0.002719837
0.6,0.02,0.003146658
0.6,0.025,0.003202346
0.6,0.03,0.003905458
0.6,0.035,0.004483136
0.6,0.04,0.004453288
0.6,0.045,0.005041204
0.6,0.05,0.004634706
0.6,0.055,0.004618988
0.6,0.06,0.004568744
0.6,0.065,0.004716015
0.6,0.07,0.004539146
0.6,0.075,0.004554176
0.6,0.08,0.004498544
0.6,0.085,0.004116928
0.6,0.09,0.004649295
0.6,0.095,0.004544129
0.6,0.1,0.005002071
0.62,0,0
0.62,0.005,0.001611655
0.62,0.01,0.003316677
0.62,0.015,0.003653005
0.62,0.02,0.005085747
0.62,0.025,0.005774417
0.62,0.03,0.005674636
0.62,0.035,0.005795276
0.62,0.04,0.006068582
0.62,0.045,0.006732281
0.62,0.05,0.005936722
0.62,0.055,0.005932217
0.62,0.06,0.006128262
0.62,0.065,0.006526624
0.62,0.07,0.006540568
0.62,0.075,0.006304776
0.62,0.08,0.005943157
0.62,0.085,0.006632157
0.62,0.09,0.00642602
0.62,0.095,0.006023188
0.62,0.1,0.006456237
0.64,0,0
0.64,0.005,0.002077537
0.64,0.01,0.003456557
0.64,0.015,0.005185211
0.64,0.02,0.005824328
0.64,0.025,0.006750702
0.64,0.03,0.006987958
0.64,0.035,0.008330012
0.64,0.04,0.007884745
0.64,0.045,0.008235024
0.64,0.05,0.008272776
0.64,0.055,0.009197636
0.64,0.06,0.009030859
0.64,0.065,0.008410143
0.64,0.07,0.008727484
0.64,0.075,0.009373853
0.64,0.08,0.00883538
0.64,0.085,0.008683551
0.64,0.09,0.009126899
0.64,0.095,0.008879589
0.64,0.1,0.008956086
0.66,0,0
0.66,0.005,0.002909078
0.66,0.01,0.005751193
0.66,0.015,0.00715922
0.66,0.02,0.008507607
0.66,0.025,0.009138797
0.66,0.03,0.010853324
0.66,0.035,0.011156984
0.66,0.04,0.011069084
0.66,0.045,0.011437938
0.66,0.05,0.011482082
0.66,0.055,0.012099808
0.66,0.06,0.011973293
0.66,0.065,0.01197966
0.66,0.07,0.01315311
0.66,0.075,0.01209443
0.66,0.08,0.011513887
0.66,0.085,0.011545443
0.66,0.09,0.011721085
0.66,0.095,0.010375527
0.66,0.1,0.01116026
0.68,0,0
0.68,0.005,0.003831626
0.68,0.01,0.006936915
0.68,0.015,0.009078063
0.68,0.02,0.011225253
0.68,0.025,0.011463296
0.68,0.03,0.01334195
0.68,0.035,0.01535853
0.68,0.04,0.01550221
0.68,0.045,0.01524009
0.68,0.05,0.01511608
0.68,0.055,0.014326535
0.68,0.06,0.01655554
0.68,0.065,0.0150761
0.68,0.07,0.01616078
0.68,0.075,0.01546545
0.68,0.08,0.0161275
0.68,0.085,0.01611823
0.68,0.09,0.0158633
0.68,0.095,0.01563814
0.68,0.1,0.01531974
0.7,0,0
0.7,0.005,0.005487337
0.7,0.01,0.008777695
0.7,0.015,0.01329895
0.7,0.02,0.01464439
0.7,0.025,0.01518082
0.7,0.03,0.01799755
0.7,0.035,0.01821981
0.7,0.04,0.01912556
0.7,0.045,0.01983869
0.7,0.05,0.02008245
0.7,0.055,0.01975492
0.7,0.06,0.02203339
0.7,0.065,0.02144357
0.7,0.07,0.02056535
0.7,0.075,0.02004743
0.7,0.08,0.02001038
0.7,0.085,0.01899729
0.7,0.09,0.02033557
0.7,0.095,0.02136336
0.7,0.1,0.02067327
0.72,0,0
0.72,0.005,0.006163486
0.72,0.01,0.01233306
0.72,0.015,0.01481787
0.72,0.02,0.01868157
0.72,0.025,0.02044813
0.72,0.03,0.02260442
0.72,0.035,0.02398579
0.72,0.04,0.02574409
0.72,0.045,0.02542135
0.72,0.05,0.02716766
0.72,0.055,0.02772126
0.72,0.06,0.02675557
0.72,0.065,0.02622965
0.72,0.07,0.02706961
0.72,0.075,0.02738816
0.72,0.08,0.02739629
0.72,0.085,0.02569701
0.72,0.09,0.02753368
0.72,0.095,0.02581719
0.72,0.1,0.02724049
0.74,0,0
0.74,0.005,0.008867455
0.74,0.01,0.01510844
0.74,0.015,0.0197909
0.74,0.02,0.02389254
0.74,0.025,0.02625452
0.74,0.03,0.02979712
0.74,0.035,0.02894185
0.74,0.04,0.03203319
0.74,0.045,0.03322087
0.74,0.05,0.03278779
0.74,0.055,0.03340199
0.74,0.06,0.03515621
0.74,0.065,0.03499015
0.74,0.07,0.0352725
0.74,0.075,0.03523389
0.74,0.08,0.03426341
0.74,0.085,0.03292003
0.74,0.09,0.03593188
0.74,0.095,0.0357234
0.74,0.1,0.03341511
0.76,0,0
0.76,0.005,0.00962407
0.76,0.01,0.01799025
0.76,0.015,0.02425199
0.76,0.02,0.02858268
0.76,0.025,0.03204654
0.76,0.03,0.03588106
0.76,0.035,0.03778275
0.76,0.04,0.04044086
0.76,0.045,0.0431177
0.76,0.05,0.04336648
0.76,0.055,0.04227958
0.76,0.06,0.0450155
0.76,0.065,0.04282891
0.76,0.07,0.04255419
0.76,0.075,0.04346938
0.76,0.08,0.04568306
0.76,0.085,0.0465166
0.76,0.09,0.04339354
0.76,0.095,0.04415563
0.76,0.1,0.04614859
0.78,0,0
0.78,0.005,0.01313346
0.78,0.01,0.02314106
0.78,0.015,0.03099789
0.78,0.02,0.03614723
0.78,0.025,0.04371218
0.78,0.03,0.04385014
0.78,0.035,0.04829984
0.78,0.04,0.05208857
0.78,0.045,0.05335527
0.78,0.05,0.05458986
0.78,0.055,0.05645877
0.78,0.06,0.05605386
0.78,0.065,0.05441213
0.78,0.07,0.05553422
0.78,0.075,0.05534847
0.78,0.08,0.05455832
0.78,0.085,0.05683802
0.78,0.09,0.06015431
0.78,0.095,0.05560162
0.78,0.1,0.05409791
0.8,0,0
0.8,0.005,0.0154309
0.8,0.01,0.02679199
0.8,0.015,0.03759728
0.8,0.02,0.04608258
0.8,0.025,0.0523242
0.8,0.03,0.05667086
